정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,22040000
,교직원보수,0
,기타 교직원 보수,6360000
,교직원 복지 및 역량강화,15680000
학생복지/교육격차 해소,학생복지/교육격차 해소,549857000
,급식 관리,226144000
,기숙사 관리,0
,보건관리,51100000
,교육격차 해소,0
,학생복지,272613000
기본적 교육활동,기본적 교육활동,109288000
,교과 활동,46918000
,창의적 체험활동,62370000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,73071000
,방과후학교 운영,60736000
,직업교육,0
,국제교육,0
,독서활동,10635000
,교기육성,1000000
,기타 선택적 교육활동,700000
교육활동 지원,교육활동 지원,74292000
,교무업무 운영,10400000
,생활지도 운영,25022000
,연구학교 운영,15000000
,학습지원실 운영,11870000
,교육여건 개선,12000000
학교 일반운영,학교 일반운영,181791000
,학교기관운영,62489000
,시설 장비 유지,116442000
,학교운영 협력,2860000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,10000
,반환금,10000
,예비비,0
세출합계,세출합계,1010349000
