FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,A000000001,503000,N,10800000,복식부기,예산세출,450035000,125597000,112735000,279558000,58740000,S000003511,74320000,1820438.6,A000000001,1,N,서울교육대학교부설초등학교,,,
국립,2,서울특별시 종로구,서울특별시중부교육지원청,서울특별시교육청,A000000001,0,N,0,복식부기,예산세출,700000,0,278870000,70700000,10500000,S000003563,0,626336.8,A000000001,1,N,서울대학교사범대학부설초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,321901000,430986000,268696000,169160000,256045000,S010000737,23710000,1694122.1,B100000001,1,N,서울개원초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,20000000,N,0,복식부기,예산세출,357898000,70463000,18084000,148270000,110526000,S010000738,20560000,771252.3,B100000001,1,N,서울개일초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,5000000,N,0,복식부기,예산세출,391181000,66296000,24000000,178904000,189827000,S010000739,28197000,978300.1,B100000001,1,N,서울개포초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,332531000,108854000,25310000,194263000,97832000,S010000741,17940000,1236831.2,B100000001,1,N,서울구룡초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,365622000,56594000,23100000,95910000,157077000,S010000742,19750000,3163229.1,B100000001,1,N,서울논현초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,409082000,107713000,643781000,366174000,182886000,S010000743,60873000,1423238.7,B100000001,1,N,서울대곡초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,452427000,100303000,22180000,228840000,127943000,S010000744,21300000,467611.9,B100000001,1,N,서울대도초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,292256000,77185000,328290000,226642000,164647000,S010000745,35635000,1359921.4,B100000001,1,N,서울대모초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,347577000,107207000,20200000,148250000,132011000,S010000746,23130000,1559869.7,B100000001,1,N,서울대왕초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,274242000,109010000,154029000,83005000,142078000,S010000747,11970000,3535771.7,B100000001,1,N,서울대진초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,271358000,36831000,38700000,145876000,101032000,S010000748,19380000,6664967.4,B100000001,1,N,서울대청초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,473914000,74450000,14800000,194899000,82568000,S010000749,13580000,560138.4,B100000001,1,N,서울대치초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,295157000,89535000,18800000,196627000,139400000,S010000750,20140000,680088.6,B100000001,1,N,서울대현초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,569356000,140559000,675788000,195818000,74290000,S010000751,19620000,1948175.6,B100000001,1,N,서울도곡초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,426272000,114274000,17300000,250968000,160199000,S010000752,16900000,560496.3,B100000001,1,N,서울도성초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,364938000,88917000,879449000,213010000,259374000,S010000753,48620000,1410120.2,B100000001,1,N,서울반원초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,2600000,복식부기,예산세출,362033000,100374000,583545000,138000000,164498000,S010000755,28730000,1794252.3,B100000001,1,N,서울방배초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,361256000,57804000,18781000,179778000,137982000,S010000756,21740000,846776.7,B100000001,1,N,서울방일초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,280183000,48578000,102300000,63880000,106464000,S010000757,14035000,3273617.0,B100000001,1,N,서울방현초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,301298000,65657000,351880000,143922000,116006000,S010000758,16140000,2432525.7,B100000001,1,N,서울봉은초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,249152000,75157000,378700000,170394000,157783000,S010000759,19874000,2162674.9,B100000001,1,N,서울삼릉초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,375853000,75296000,22000000,188416000,138111000,S010000760,26350000,658188.0,B100000001,1,N,서울서래초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,1000000,N,0,복식부기,예산세출,492932000,81659000,19700000,222482000,114309000,S010000761,45350000,612426.1,B100000001,1,N,서울서원초등학교,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,50000000,N,0,복식부기,예산세출,385008000,90960000,199405000,221024000,130576000,S010000762,28718000,855136.1,B100000001,1,N,서울서이초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,300000,N,7247000,복식부기,예산세출,245447000,65529000,242770000,129982000,155058000,S010000763,19948000,1851027.8,B100000001,1,N,서울서일초등학교,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,2000000,N,0,복식부기,예산세출,388331000,72730000,569664000,186084000,173544000,S010000764,19185000,1517782.8,B100000001,1,N,서울서초초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,5000000,N,0,복식부기,예산세출,288064000,77765000,17400000,76705000,146041000,S010000765,12450000,4947817.5,B100000001,1,N,서울수서초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,377215000,116210000,22452000,131452000,212177000,S010000766,22170000,1990239.3,B100000001,1,N,서울신구초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,269333000,114610000,21650000,214500000,129703000,S010000767,18340000,673213.0,B100000001,1,N,서울신동초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,363181000,77395000,64000000,168410000,151343000,S010000768,28250000,1055172.0,B100000001,1,N,서울신중초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,30000000,복식부기,예산세출,295059000,94611000,643700000,218850000,196874000,S010000769,26520000,1822777.2,B100000001,1,N,서울압구정초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,1500000,N,0,복식부기,예산세출,280181000,55441000,153211000,166765000,146956000,S010000770,20190000,1839830.4,B100000001,1,N,서울양재초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,327675000,62820000,16000000,92750000,66690000,S010000771,17240000,1772568.4,B100000001,1,N,서울양전초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,486500000,68932000,23585000,161738000,101577000,S010000772,19255000,885495.4,B100000001,1,N,서울언남초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,1080000,N,146000000,복식부기,예산세출,832704000,134332000,35480000,280310000,178126000,S010000773,40576000,1071220.3,B100000001,1,N,서울언북초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,98000000,복식부기,예산세출,344410000,109574000,36640000,276925000,185107000,S010000774,39860000,795997.1,B100000001,1,N,서울언주초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,298451000,45211000,316571000,132290000,182313000,S010000775,16790000,3188508.0,B100000001,1,N,서울역삼초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,421311000,65799000,158126000,89819000,121060000,S010000776,23615000,3332310.6,B100000001,1,N,서울영희초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,2000000,N,0,복식부기,예산세출,377247000,71250000,17400000,150309000,130450000,S010000777,17290000,939811.0,B100000001,1,N,서울왕북초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,300431000,55578000,176770000,105535000,51270000,S010000778,16750000,3210609.1,B100000001,1,N,서울우암초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,391091000,67547000,31800000,165652000,105810000,S010000779,18090000,680026.2,B100000001,1,N,서울원명초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,411574000,75017000,17755000,182053000,88371000,S010000780,29335000,799309.1,B100000001,1,N,서울원촌초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,5000000,N,0,복식부기,예산세출,305899000,60647000,60832000,145105000,120471000,S010000781,31463000,1441535.6,B100000001,1,N,서울이수초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,440881000,125248000,149668000,243283000,163327000,S010000782,25855000,831471.4,B100000001,1,N,서울일원초등학교,초,2.0,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,2000000,N,0,복식부기,예산세출,466137000,127376000,1234000000,224330000,260286000,S010000783,36480000,1249659.2,B100000001,1,N,서울잠원초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,297090000,79524000,366200000,139060000,132913000,S010000784,18850000,2237309.5,B100000001,1,N,서울청담초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,1000000,N,108000000,복식부기,예산세출,523206000,136936000,178020000,105980000,127345000,S010000785,28400000,2656894.5,B100000001,1,N,서울포이초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,1000000,N,0,복식부기,예산세출,314110000,83320000,317732000,160412000,150011000,S010000786,23080000,2435417.6,B100000001,1,N,서울학동초등학교,초,2.0,
