FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,강원특별자치도 춘천시,강원특별자치도춘천교육지원청,강원특별자치도교육청,A000000001,50349050,N,6270000,미지정,결산세출,335372847,230778270,363926042,336421280,721419563,S000003568,55473290,5384641.9,A000000001,11,N,춘천교육대학교부설초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,2863880,N,0,미지정,결산세출,172311005,72703490,148641870,141915110,169962930,S100000566,4815545,13715650.6,K100000001,11,N,강동초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,78735640,N,99183000,미지정,결산세출,395213070,117931110,346068972,447030696,552403240,S100000567,42547310,4367884.5,K100000001,11,N,강릉초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,7176830,N,30558210,미지정,결산세출,143659885,32650710,122054010,162035050,144308010,S100000568,3112910,9092332.6,K100000001,11,N,경포대초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,10728330,N,0,미지정,결산세출,243347860,243282710,137076110,351255820,388913290,S100000569,46642510,3344109.7,K100000001,11,N,경포초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,16814630,N,82128600,복식부기,결산세출,250127140,46056320,200002410,285013060,315995290,S100000573,26350940,4061423.2,K100000001,11,N,교동초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,2100000,N,0,복식부기,결산세출,179353330,121864480,103766370,151672630,186517390,S100000574,34436150,7644219.1,K100000001,11,N,구정초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,28959930,N,0,복식부기,결산세출,178278950,89048310,138728680,58335500,205095000,S100000575,9362400,12203599.5,K100000001,11,N,금광초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,0,Y,0,복식부기,,0,0,0,0,0,S100000576,0,,K100000001,11,Y,옥계초등학교금진분교장,초,2.0,본교 통합 관리
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,9298650,N,0,복식부기,결산세출,190071270,124674730,78156390,179308230,155042190,S100000578,11319210,5266694.9,K100000001,11,N,남강초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,15963810,N,0,미지정,결산세출,283338140,263721660,228220960,436574840,615877360,S100000579,23842850,4825683.8,K100000001,11,N,남산초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,12357380,N,0,복식부기,결산세출,245909970,232633350,264290760,278691700,354485500,S100000582,7562140,5170114.1,K100000001,11,N,노암초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,32333410,N,0,미지정,결산세출,209253620,139076730,209204060,220683850,383068760,S100000586,13804870,2807965.8,K100000001,11,N,동명초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,13581110,N,2504700,복식부기,결산세출,271617680,432623210,277255550,401731710,589380500,S100000587,18936550,3141832.6,K100000001,11,N,명주초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,644730,N,0,미지정,결산세출,145112990,185104340,139404980,118796350,261803240,S100000588,44878200,11483908.1,K100000001,11,N,모산초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,8113710,N,98337500,미지정,결산세출,181720710,320243010,115897460,79142880,203838800,S100000596,42373330,14578713.9,K100000001,11,N,사천초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,17993670,N,0,복식부기,결산세출,367034710,294137890,323347400,333495480,571203790,S100000605,23808450,3084698.7,K100000001,11,N,성덕초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,14691920,N,0,미지정,결산세출,164529110,85602690,135737760,185195440,180803880,S100000607,1322750,11813593.1,K100000001,11,N,성산초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,6932130,N,0,복식부기,결산세출,140003300,148664130,72137510,152967170,133005620,S100000609,35339740,6960097.0,K100000001,11,N,송양초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,10491270,N,0,복식부기,결산세출,167255010,117863670,148981060,84497170,164205920,S100000611,2314430,17390213.3,K100000001,11,N,신영초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,22641240,N,0,복식부기,결산세출,132167000,74601440,173655710,69045270,166536520,S100000612,5178570,13139301.0,K100000001,11,N,신왕초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,30978130,N,9900000,미지정,결산세출,190764250,111035560,78393930,177108090,207959500,S100000619,41593350,5076244.4,K100000001,11,N,연곡초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,11760800,N,0,복식부기,결산세출,175128140,137177180,105077740,167519010,206162800,S100000621,87271020,6055079.5,K100000001,11,N,영동초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,12540890,N,0,복식부기,결산세출,227192930,276149580,287605250,185899250,175914870,S100000622,37501450,21869167.6,K100000001,11,N,옥계초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,47755130,N,0,복식부기,결산세출,241641440,137669670,260562360,315073200,290928470,S100000627,59957410,8407376.9,K100000001,11,N,옥천초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,35893080,N,0,미지정,결산세출,133946190,51129110,145149010,113971490,241147940,S100000629,7952420,17361648.6,K100000001,11,N,왕산초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,761960,N,12300000,복식부기,결산세출,145131590,115977470,76520250,63111040,92864830,S100000638,6912430,7133049.6,K100000001,11,N,운양초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,68654160,N,24354000,미지정,결산세출,363447430,155377770,351612310,333531090,732954040,S100000639,36779390,2239122.6,K100000001,11,N,율곡초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,6679820,N,0,복식부기,결산세출,104625250,60916300,164391510,102601700,192193060,S100000640,8202230,9840151.8,K100000001,11,N,숲실초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,12095720,N,0,미지정,결산세출,191816190,57411290,142838870,117295430,159427250,S100000641,10675710,15717283.2,K100000001,11,N,정동초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,14814080,N,55869300,미지정,결산세출,317510410,409171190,270987320,400152140,516925650,S100000644,15748340,6876901.8,K100000001,11,N,주문진초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,8074240,N,0,미지정,결산세출,180708630,286424890,99061640,207880010,171816610,S100000646,33001190,8089895.2,K100000001,11,N,주영초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,41766410,N,0,미지정,결산세출,361262880,360581600,411372260,440572980,834278400,S100000647,26447530,3001554.0,K100000001,11,N,중앙초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,21748450,N,29810810,미지정,결산세출,191094060,188257110,169344940,146554320,263067100,S100000648,14785490,3925909.1,K100000001,11,N,초당초등학교,,,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,27455020,N,0,복식부기,결산세출,205985080,71695050,100010460,233425670,165502900,S100000650,51264440,5740527.7,K100000001,11,N,포남초등학교,초,2.0,
공립,2,강원특별자치도 강릉시,강원특별자치도강릉교육지원청,강원특별자치도교육청,K100000092,31004700,N,0,복식부기,결산세출,223052020,146637600,233797400,438077890,336183840,S100000651,35626120,4311580.8,K100000001,11,N,한솔초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,76148190,N,0,미지정,결산세출,261477160,193764940,264999800,360372350,395703400,S100000718,71184000,5541467.0,K100000001,11,N,간성초등학교,초,2.0,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,5155930,N,71417090,복식부기,결산세출,121155960,47432980,133810350,118537640,125234680,S100000720,12709990,23535356.3,K100000001,11,N,거성초등학교,초,2.0,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,26161730,N,0,복식부기,결산세출,198506590,99413440,194048310,171593930,205626060,S100000721,5346440,10851765.1,K100000001,11,N,거진초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,23865000,N,7619000,복식부기,결산세출,122484440,99377870,104150550,86610960,172786060,S100000726,4654900,11510162.6,K100000001,11,N,공현진초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,66177340,N,8509000,복식부기,결산세출,168200610,84177420,141533610,111073180,190749240,S100000727,16423420,12691029.4,K100000001,11,N,광산초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,18113290,N,0,복식부기,결산세출,178441560,216863850,173901930,161593500,130818380,S100000731,25389310,21550519.5,K100000001,11,N,대진초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,5604590,N,51551300,복식부기,결산세출,117770360,37039750,94770440,87620660,167659020,S100000733,2939190,11529700.2,K100000001,11,N,도학초등학교,초,2.0,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,8358420,N,15000000,미지정,결산세출,189064920,31860810,97379250,104958600,169291580,S100000734,1750600,15837543.1,K100000001,11,N,동광초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,0,Y,0,미지정,,0,0,0,0,0,S100000736,0,,K100000001,11,Y,대진초등학교명파분교장,초,2.0,본교통합작성
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,16194970,N,37000000,미지정,결산세출,133289050,41807990,122927780,160413640,274790610,S100000740,11407120,8487565.5,K100000001,11,N,아야진초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,3490880,N,0,복식부기,결산세출,149122000,104735790,142798470,78558190,157928270,S100000742,4928520,15275288.6,K100000001,11,N,오호초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,1232040,N,0,복식부기,결산세출,133092360,91133360,89051590,120965920,130507170,S100000743,4830320,10193085.0,K100000001,11,N,인흥초등학교,초,2.0,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,45932520,N,13200000,미지정,결산세출,211951130,71223710,119393250,108903760,137306660,S100000745,8760770,14930662.5,K100000001,11,N,죽왕초등학교,,,
공립,2,강원특별자치도 고성군,강원특별자치도고성교육지원청,강원특별자치도교육청,K100000107,21910740,N,56589510,복식부기,결산세출,200009160,53758170,90151330,207361240,234888410,S100000748,2520180,6238767.9,K100000001,11,N,천진초등학교,,,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,18496850,N,17859680,미지정,결산세출,420014890,81131110,344543070,382592630,694455970,S100000777,66881880,2719431.0,K100000001,11,N,남호초등학교,,,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,44757930,N,0,복식부기,결산세출,289288800,318923760,219236600,380743850,673318190,S100000779,16460210,2767420.7,K100000001,11,N,동해중앙초등학교,,,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,20252090,N,0,복식부기,결산세출,259936700,110282550,142898740,314937760,351280310,S100000780,47802530,4872619.8,K100000001,11,N,동해초등학교,초,2.0,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,9948270,N,104216000,복식부기,결산세출,238923130,160529970,190933010,209095800,278330000,S100000781,43247930,4661223.1,K100000001,11,N,동호초등학교,초,2.0,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,4410970,N,0,미지정,결산세출,169301680,31960420,96899220,135920180,190181490,S100000782,3446320,9876879.4,K100000001,11,N,망상초등학교,초,2.0,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,5728060,N,0,복식부기,결산세출,205048320,29906260,73076980,164608530,117565460,S100000783,37208430,7034911.6,K100000001,11,N,묵호초등학교,초,2.0,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,18508010,N,0,복식부기,결산세출,202945170,259243350,235805490,275706120,359057790,S100000784,9025340,3533224.1,K100000001,11,N,북삼초등학교,,,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,10289240,N,75453920,미지정,결산세출,258821000,385199930,165814980,335197300,700022800,S100000785,12601230,2788235.9,K100000001,11,N,북평초등학교,초,2.0,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,18020670,N,0,복식부기,결산세출,197812510,159156820,109856700,151726910,175860830,S100000787,14909050,13563008.0,K100000001,11,N,삼화초등학교,,,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,3105700,N,0,복식부기,결산세출,169955410,92546300,60911970,73260700,104504730,S100000791,13042800,7390394.4,K100000001,11,N,송정초등학교,,,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,7840850,N,53482000,미지정,결산세출,153391950,13122070,84696490,136189620,149538270,S100000792,2443000,9386003.9,K100000001,11,N,창호초등학교,,,
공립,2,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,17536140,N,40000000,미지정,결산세출,256276700,113985820,215433040,306374060,331620630,S100000794,8009290,5116014.6,K100000001,11,N,천곡초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,36856260,N,64176910,복식부기,결산세출,136175590,55383390,231003320,293383430,290953170,S100000855,12873170,9498349.5,K100000001,11,N,근덕초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,67988330,N,74673640,복식부기,결산세출,174700200,89486400,130872960,341633170,174655610,S100000873,25448720,9903293.9,K100000001,11,N,도계초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,15422770,N,0,복식부기,결산세출,181267430,121628080,149467790,133787250,157279820,S100000888,39090810,11082554.9,K100000001,11,N,맹방초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,22598900,N,3010000,복식부기,결산세출,147111850,106923830,103581380,177945610,240489620,S100000891,7049030,18379777.7,K100000001,11,N,미로초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,3118160,N,0,복식부기,결산세출,115221840,109513340,95251430,118631190,115251950,S100000897,12683330,11625943.7,K100000001,11,N,삼척남초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,6342560,N,0,복식부기,결산세출,172571030,480588590,88098140,69608040,149290070,S100000898,3109500,10425891.7,K100000001,11,N,삼척중앙초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,22420340,N,0,복식부기,결산세출,360950540,518340960,420810870,492721320,665679060,S100000899,72933060,3224565.8,K100000001,11,N,삼척초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,17749900,N,216629120,미지정,결산세출,214150340,45660100,125584880,272666090,197430780,S100000900,33155510,6103406.1,K100000001,11,N,서부초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,79250,N,0,미지정,결산세출,85474430,59223220,41713240,74432100,48735140,S100000908,5152080,39351182.5,K100000001,11,N,신동초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,9485290,N,55716580,미지정,결산세출,133654839,22074360,106281840,115489840,72933002,S100000919,2165000,51780075.1,K100000001,11,N,오저초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,4400210,N,58463070,미지정,결산세출,149749500,9846700,124860790,74046030,79775040,S100000925,2299220,17980020.0,K100000001,11,N,임원초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,844480,N,70057020,미지정,결산세출,116649580,185077690,38514990,115543150,88303030,S100000928,714500,14318707.9,K100000001,11,N,장원초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,6294180,N,12386000,미지정,결산세출,124289250,36680870,91993130,84404650,101516450,S100000930,3451830,51224040.0,K100000001,11,N,장호초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,80875600,N,0,복식부기,결산세출,319965280,185526510,484965640,447873980,586135230,S100000933,57516790,4224334.0,K100000001,11,N,정라초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,7688800,N,34763000,복식부기,결산세출,194800080,244009000,218728540,262779050,237617140,S100000934,11498750,8910914.4,K100000001,11,N,진주초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,13697840,N,0,미지정,결산세출,180311180,228037160,66538880,51772260,64388830,S100000944,2757160,50625275.8,K100000001,11,N,하장초등학교,,,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,17758280,N,132983470,복식부기,결산세출,202786750,62997130,125837550,102039650,174878360,S100000952,48108490,18455099.6,K100000001,11,N,호산초등학교,초,2.0,
공립,2,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,4398840,N,0,미지정,결산세출,181461580,54279020,105538780,72157310,62974981,S100000959,1696340,19300274.0,K100000001,11,N,흥전초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,2064420,N,0,복식부기,결산세출,141704610,181606910,113144690,124729130,178483050,S100001003,8243420,12930624.7,K100000001,11,N,강현초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,0,Y,0,복식부기,,0,0,0,0,0,S100001004,0,,K100000001,11,Y,상평초등학교공수전분교장,,,본교통합작성
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,28666840,N,71036460,복식부기,결산세출,93783240,57801140,92368290,114586470,110657880,S100001006,1082280,22799304.0,K100000001,11,N,광정초등학교,초,2.0,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,32552940,N,0,미지정,결산세출,340978480,362945150,256695410,353419360,668062870,S100001007,40275040,2668739.3,K100000001,11,N,교동초등학교,초,2.0,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,222660,N,9539220,복식부기,결산세출,122411080,84298130,109370030,93765300,105765880,S100001008,1156350,37609189.3,K100000001,11,N,남애초등학교,초,2.0,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,5386130,N,38169000,복식부기,결산세출,169147140,38945530,201180410,148915780,217911310,S100001010,10545250,13177786.5,K100000001,11,N,대포초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,13943110,N,0,복식부기,결산세출,301598610,170218600,275033600,278113250,236918780,S100001013,18918070,40460750.6,K100000001,11,N,상평초등학교,초,2.0,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,14455250,N,66082010,복식부기,결산세출,141799620,38236140,141175480,75571270,164063100,S100001018,21025170,11227254.9,K100000001,11,N,설악초등학교,초,2.0,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,14921090,N,56896890,미지정,결산세출,230580420,218651870,183381720,216857340,212833750,S100001019,8635210,5951866.1,K100000001,11,N,속초초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,3132560,N,0,복식부기,결산세출,121776390,211993440,161446920,121910520,98728750,S100001020,8821840,25993229.3,K100000001,11,N,손양초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,12826020,N,36167490,미지정,결산세출,153233320,27470640,111030450,75977830,121338720,S100001021,4981660,18100871.0,K100000001,11,N,송포초등학교,초,2.0,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,24889220,N,84804660,복식부기,결산세출,284138310,217599210,275962530,507300210,495228660,S100001022,11287010,3928119.4,K100000001,11,N,양양초등학교,초,2.0,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,14257030,N,12628000,복식부기,결산세출,184652100,108412830,221251090,162061180,189996150,S100001024,5246600,6372375.7,K100000001,11,N,영랑초등학교,초,2.0,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,0,Y,0,복식부기,,0,0,0,0,0,S100001025,0,,K100000001,11,Y,상평초등학교오색분교장,,,본교통합작성
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,12647640,N,0,복식부기,결산세출,245791540,31252340,155091060,163615210,182494960,S100001026,12913630,11820682.1,K100000001,11,N,온정초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,2397800,N,47000000,복식부기,결산세출,136364760,40400190,120043030,78521480,147186830,S100001029,7264190,19305942.7,K100000001,11,N,인구초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,3460760,N,21430780,미지정,결산세출,138662120,37355160,160921000,123122030,181143920,S100001035,6353820,19212845.4,K100000001,11,N,조산초등학교,초,2.0,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,42842360,N,99474510,미지정,결산세출,238224780,122110870,183840570,282167910,410451610,S100001037,20297900,3663378.3,K100000001,11,N,조양초등학교,,,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,24355150,N,0,복식부기,결산세출,182629740,512274580,201474070,175822230,279926460,S100001039,9227960,4984569.0,K100000001,11,N,중앙초등학교,,,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,12019750,N,0,복식부기,결산세출,496546320,258275460,360493610,525972380,703104030,S100001040,47183710,3221977.6,K100000001,11,N,청대초등학교,초,2.0,
공립,2,강원특별자치도 속초시,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,2829700,N,29166100,미지정,결산세출,160209450,41180960,73699760,133907520,190931940,S100001041,2726070,6610953.1,K100000001,11,N,청호초등학교,초,2.0,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,15868850,N,18217520,복식부기,결산세출,142743670,38375370,216380580,144378900,139359490,S100001042,1705450,29876242.9,K100000001,11,N,한남초등학교,,,
공립,2,강원특별자치도 양양군,강원특별자치도속초양양교육지원청,강원특별자치도교육청,K100000152,3375050,N,85962040,복식부기,결산세출,148717120,86020410,150427860,143352350,179213330,S100001043,14356780,14753180.7,K100000001,11,N,현북초등학교,,,
