FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
공립,4,경기도 가평군,경기도가평교육지원청,경기도교육청,J100000001,41118000,N,0,복식부기,예산세출,509741000,77642000,99399000,305827000,1091261000,S090000445,6500000,3564361.2,J100000001,10,일반고등학교,N,가평고등학교,,고,4.0
공립,4,경기도 수원시 장안구,경기도수원교육지원청,경기도교육청,J100000001,0,N,2000000,복식부기,예산세출,1285687000,685840000,964460000,1496498000,2115006000,S090000447,525870000,18717886.2,J100000001,10,특수목적고등학교,N,경기과학고등학교,,고,4.0
공립,4,경기도 수원시 권선구,경기도수원교육지원청,경기도교육청,J100000001,0,N,0,복식부기,예산세출,251623000,41714000,76922000,200220000,228584000,S090000448,6936000,10605250.0,J100000001,10,특성화고등학교,N,경기대명고등학교,,고,4.0
공립,4,경기도 수원시 장안구,경기도수원교육지원청,경기도교육청,J100000001,0,N,0,복식부기,예산세출,1581714000,108085000,17300000,1876670000,2194281000,S090000449,25853000,23593101.6,J100000001,10,특수목적고등학교,N,경기체육고등학교,,고,4.0
공립,4,경기도 이천시,경기도이천교육지원청,경기도교육청,J100000001,0,N,0,복식부기,예산세출,104355000,58975000,53080000,90760000,395052000,S090000450,4900000,5356984.8,J100000001,10,특성화고등학교,N,이천세무고등학교,,고,4.0
공립,4,경기도 부천시 원미구,경기도부천교육지원청,경기도교육청,J100000001,100000,N,0,복식부기,예산세출,520933000,50852000,37550000,413943000,839852000,S090000463,11890000,2694137.9,J100000001,10,일반고등학교,N,계남고등학교,,고,4.0
공립,4,경기도 고양시 덕양구,경기도고양교육지원청,경기도교육청,J100000001,0,N,0,복식부기,예산세출,472420000,80413000,834549000,245503000,871557000,S090000470,7170000,5043397.6,J100000001,10,특성화고등학교,N,고양고등학교,,고,4.0
공립,4,경기도 안산시 단원구,경기도안산교육지원청,경기도교육청,J100000001,0,N,0,복식부기,예산세출,537674000,68707000,106852000,529080000,1248965000,S090000471,22050000,2912315.2,J100000001,10,일반고등학교,N,고잔고등학교,,고,4.0
공립,4,경기도 과천시,경기도안양과천교육지원청,경기도교육청,J100000001,0,N,0,복식부기,예산세출,464773000,122061000,654974000,353640000,861432000,S090000472,8930000,4310856.6,J100000001,10,일반고등학교,N,과천고등학교,,고,4.0
공립,4,경기도 과천시,경기도안양과천교육지원청,경기도교육청,J100000001,0,N,0,복식부기,예산세출,526085000,107830000,53366000,214304000,698706000,S090000475,9300000,2975214.4,J100000001,10,일반고등학교,N,과천중앙고등학교,,고,4.0
