SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,경상남도 진주시,3.0,진주교육지원청,경상남도교육청,A000000001,0,N,11961100,미지정,결산세출,312461950,184183870,56268760,256898380,742394040,S000003605,187340370,3434330.3,A000000001,17,N,경상국립대학교사범대학부설중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,0,N,0,복식부기,결산세출,407259000,957872960,230992860,364538250,1095860980,S160000750,47999120,4063512.0,S100000001,17,N,거제고현중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,0,N,737000,미지정,결산세출,262481160,130376010,21591450,231359480,426363860,S160000752,23842480,6728536.4,S100000001,17,N,거제제일중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,0,N,365932910,복식부기,결산세출,442235640,319317710,231515490,396730010,1410219320,S160000753,91161410,3156116.8,S100000001,17,N,거제중앙중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,0,N,0,미지정,결산세출,178961220,160191920,21025700,106565130,384990750,S160000756,47441930,7818927.4,S100000001,17,N,성포중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,0,N,0,복식부기,결산세출,201802350,140200070,41851460,82860630,246797960,S160000757,15504340,15848191.5,S100000001,17,N,동부중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,0,N,48510000,복식부기,결산세출,301966980,488495140,184801510,269685020,1044778000,S160000759,48547490,3610868.6,S100000001,17,N,신현중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,0,N,473728380,복식부기,결산세출,170593940,255705600,77286820,180337520,380363920,S160000760,19653870,12362460.7,S100000001,17,N,연초중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,0,N,34730260,미지정,결산세출,411362450,272348910,35827360,371801000,1059547210,S160000761,74661600,3314191.8,S100000001,17,N,옥포중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,0,N,0,미지정,결산세출,202513210,293357390,26804200,190680270,411554140,S160000764,26178470,7239545.2,S100000001,17,N,지세포중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,0,N,16087000,미지정,결산세출,186132030,540665020,28063130,110362450,118322260,S160000765,15781080,13721796.9,S100000001,17,N,하청중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,0,N,58004420,복식부기,결산세출,92732140,140910980,59850380,44656100,93243700,S160000909,43014500,13310305.5,S100000001,17,N,가조중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,0,N,0,미지정,결산세출,245198500,150975730,41632570,225847470,662246880,S160000912,59697150,4649658.7,S100000001,17,N,거창여자중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,0,N,61380410,미지정,결산세출,346864990,274781450,170067060,322601800,768210850,S160000913,66422540,6464080.7,S100000001,17,N,거창중학교,
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,0,Y,0,복식부기,,0,0,0,0,0,S160000914,0,,S100000001,17,Y,거창중학교고제분교장,본교통합작성
중,공립,3,경상남도 거창군,3.0,거창교육지원청,경상남도교육청,S100000123,0,N,0,미지정,결산세출,75689930,150058300,21783030,38480710,77445820,S160000920,42036240,19309239.5,S100000001,17,N,웅양중학교,
중,공립,3,경상남도 고성군,3.0,고성교육지원청,경상남도교육청,S100000137,0,N,131689790,미지정,결산세출,140034530,230633040,26582600,96390170,269231230,S160001022,16095650,11982329.1,S100000001,17,N,고성동중학교,
