FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,경상남도 진주시,진주교육지원청,경상남도교육청,A000000001,71819000,N,9300000,미지정,결산세출,350516761,212396620,347813750,397841225,818366980,S000003526,73027210,4361532.6,A000000001,17,N,진주교육대학교부설초등학교,초,2.0,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,0,N,35400000,복식부기,결산세출,224229897,139127120,233030730,248187190,342654080,S160000768,46964910,8463959.5,S100000001,17,N,거제초등학교,초,2.0,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,0,N,0,미지정,결산세출,312762060,612972110,549289040,380356680,851004030,S160000771,28035010,6300504.4,S100000001,17,N,계룡초등학교,,,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,1091560,N,53665780,미지정,결산세출,369392020,376609750,1009717960,608651890,1161215980,S160000778,64847850,3641551.2,S100000001,17,N,국산초등학교,,,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,8074560,N,8000000,복식부기,결산세출,340455500,100616500,538246720,357749960,1277694210,S160000780,61825200,3841173.5,S100000001,17,N,기성초등학교,초,2.0,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,0,N,0,미지정,결산세출,212730260,156463160,151756940,131695280,206749230,S160000782,41779950,14080856.6,S100000001,17,N,능포초등학교,,,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,0,N,32425080,미지정,결산세출,348037490,78431110,279071960,206848920,366627650,S160000791,75453070,25683245.9,S100000001,17,N,동부초등학교,,,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,0,Y,0,복식부기,,0,0,0,0,0,S160000795,0,,S100000001,17,Y,동부초등학교율포분교장,,,분교는 해당사항 없음
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,0,N,37431200,미지정,결산세출,206284513,86617210,198129250,232900110,437277018,S160000799,45616490,6316019.2,S100000001,17,N,마전초등학교,,,
공립,2,경상남도 거제시,거제교육지원청,경상남도교육청,S100000106,12980,N,0,복식부기,결산세출,250837610,51613850,116684780,64035010,198809630,S160000802,39795940,65617254.5,S100000001,17,N,명사초등학교,,,
