FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,광주광역시 북구,교육부,광주광역시교육청,A000000001,3000000,N,0,복식부기,예산세출,636450000,93527000,173872000,445630000,1109302000,S000003516,110010000,4209150.6,A000000001,5,일반고등학교,N,전남대학교사범대학부설고등학교,,고,4.0
공립,4,광주광역시 동구,광주광역시교육청,광주광역시교육청,F100000001,1000000,N,1554284000,복식부기,예산세출,455523000,223548000,96240000,163578000,1022115000,S050000094,42950000,5713062.6,F100000001,5,자율고등학교,N,광주고등학교,,고,4.0
공립,4,광주광역시 북구,광주광역시교육청,광주광역시교육청,F100000001,150000000,N,312581000,복식부기,예산세출,874528000,599980000,200020000,1845470000,1587166000,S050000096,87800000,19441735.4,F100000001,5,특수목적고등학교,N,광주과학고등학교,,,
공립,4,광주광역시 북구,광주광역시교육청,광주광역시교육청,F100000001,0,N,1303649000,복식부기,예산세출,805897000,88631000,63855000,378405000,892963000,S050000097,39200000,5024753.9,F100000001,5,특성화고등학교,N,광주공업고등학교,,,
공립,4,광주광역시 서구,광주광역시교육청,광주광역시교육청,F100000001,1000000,N,0,복식부기,예산세출,322316000,56145000,26810000,258003000,945346000,S050000112,19350000,2313877.8,F100000001,5,일반고등학교,N,광주여자고등학교,,,
공립,4,광주광역시 북구,광주광역시교육청,광주광역시교육청,F100000001,0,N,63424000,복식부기,예산세출,448253000,76067000,13920000,1016407000,545266000,S050000116,27952000,6086913.9,F100000001,5,특수목적고등학교,N,광주예술고등학교,,,
공립,4,광주광역시 북구,광주광역시교육청,광주광역시교육청,F100000001,0,N,0,복식부기,예산세출,401612000,70423000,7690000,276095000,455632000,S050000119,11500000,2591000.0,F100000001,5,특성화고등학교,N,광주자연과학고등학교,,고,4.0
공립,4,광주광역시 광산구,광주광역시교육청,광주광역시교육청,F100000001,0,N,0,복식부기,예산세출,300452000,73436000,12800000,54780000,924118000,S050000120,7700000,6417224.3,F100000001,5,특수목적고등학교,N,광주소프트웨어마이스터고등학교,,,
공립,4,광주광역시 광산구,광주광역시교육청,광주광역시교육청,F100000001,1000000,N,0,복식부기,예산세출,675623000,89280000,101350000,647198000,871961000,S050000121,35600000,2809758.7,F100000001,5,특성화고등학교,N,광주전자공업고등학교,,,
공립,4,광주광역시 광산구,광주광역시교육청,광주광역시교육청,F100000001,1000000,N,0,복식부기,예산세출,309974000,85178000,10750000,18080000,1026278000,S050000122,34720000,7178647.3,F100000001,5,특수목적고등학교,N,광주자동화설비공업고등학교,,고,4.0
공립,4,광주광역시 북구,광주광역시교육청,광주광역시교육청,F100000001,2000000,N,986808000,복식부기,예산세출,345106000,155398000,507496000,204892000,872217000,S050000123,49750000,4981925.0,F100000001,5,자율고등학교,N,광주제일고등학교,,,
