SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,국립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,A000000001,N,미지정,결산세입,152852096,5709300,0,85987880,648068000,S000003517,928974000,A000000001,5,N,전남대학교사범대학부설중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,8022816,2753120,0,45441360,200000,S050000169,906814000,F100000001,5,N,각화중학교,
,공립,3,광주광역시 동구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,5026155,6902110,0,87209710,13795000,S050000175,1233086340,F100000001,5,N,무등중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,18258137,5181743,0,22478930,100000,S050000176,732868810,F100000001,5,N,광주북성중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,7239779,19683396,0,202665200,579948400,S050000182,4051414210,F100000001,5,N,광주체육중학교,
,공립,3,광주광역시 동구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,1693428,5235969,0,69957160,0,S050000183,942742820,F100000001,5,N,광주충장중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,8783925,3382007,0,57810010,300000,S050000185,953687940,F100000001,5,N,두암중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,11015473,3453204,0,96721430,2110000,S050000186,1125693970,F100000001,5,N,문산중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,9064418,3451336,0,41129130,3250000,S050000188,900587370,F100000001,5,N,문화중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,9370310,10206750,0,88392320,36218000,S050000189,1283665140,F100000001,5,N,문흥중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,15967054,6621997,0,46583630,1500000,S050000195,991434340,F100000001,5,N,신광중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,17889387,6557756,0,104828180,0,S050000196,1513933080,F100000001,5,N,양산중학교,
중,공립,3,광주광역시 북구,3.0,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,복식부기,결산세입,10930957,5652205,0,67083930,5850000,S050000197,1081513290,F100000001,5,N,용봉중학교,
,공립,3,광주광역시 북구,,광주광역시동부교육지원청,광주광역시교육청,F100000057,N,미지정,결산세입,5881511,4332844,0,81047500,3500000,S050000198,1151765000,F100000001,5,N,우산중학교,
