FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,A000000001,0,N,0,미지정,결산세출,298631420,200359112,614145000,371149607,914934730,S000003503,111670840,4329121.9,A000000001,5,N,광주교육대학교광주부설초등학교,,,
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,290850,N,0,미지정,결산세출,302819599,279568472,391404970,271472065,529372640,S050000210,137714370,3528861.6,F100000001,5,N,각화초등학교,,,
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,857720,N,0,복식부기,결산세출,206909378,136397580,359114340,341045330,361000740,S050000211,65286300,4154269.5,F100000001,5,N,경양초등학교,,,
공립,2,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,복식부기,결산세출,470766280,402302040,726559095,516505349,792145590,S050000212,123977800,3087837.2,F100000001,5,N,광주계림초등학교,초,2.0,
공립,2,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,미지정,결산세출,330695836,114703910,293476470,247646860,484108815,S050000213,83493260,2937854.7,F100000001,5,N,광주남초등학교,초,2.0,
공립,2,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,미지정,결산세출,276233180,267116748,283070070,278472776,359496535,S050000214,99983550,5030137.8,F100000001,5,N,광주동산초등학교,,,
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,복식부기,결산세출,190134716,68298908,127192270,127546254,237410970,S050000215,52058830,3648372.5,F100000001,5,N,광주동운초등학교,초,2.0,
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,4482140,N,0,미지정,결산세출,270787750,222960210,116847640,183520410,351712990,S050000216,134331360,22537587.7,F100000001,5,N,광주동초등학교,,,
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,Y,0,복식부기,,0,0,0,0,0,S050000218,0,,F100000001,5,Y,광주동초등학교충효분교장,,,본교통합작성
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,미지정,결산세출,257748005,166130350,350212980,253169726,462910950,S050000219,58767950,3274714.5,F100000001,5,N,광주문화초등학교,초,2.0,
공립,2,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,미지정,결산세출,239356660,76291150,180286910,193077079,459155715,S050000221,100276312,6402276.0,F100000001,5,N,광주산수초등학교,초,2.0,
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,6237000,미지정,결산세출,371592500,150588040,469751059,348610970,356438980,S050000222,68063710,4800222.9,F100000001,5,N,광주서림초등학교,초,2.0,
공립,2,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,복식부기,결산세출,253593366,125803343,258224760,269328646,338981815,S050000223,87860860,4815136.4,F100000001,5,N,광주서산초등학교,초,2.0,
