FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,대구광역시 중구,교육부,대구광역시교육청,A000000001,N,복식부기,예산세입,10000000,900000,0,510484000,516419000,S000003493,1137602000,A000000001,3,N,경북대학교사범대학부설초등학교,,,
국립,2,대구광역시 달서구,교육부,대구광역시교육청,A000000001,N,복식부기,예산세입,5000000,2464000,0,314994000,489870000,S000003506,1034741000,A000000001,3,N,대구교육대학교대구부설초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,3000000,0,91370000,0,S030000406,368494000,D100000001,3,N,남대구초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,2500000,8300000,0,199643000,0,S030000407,365277000,D100000001,3,N,대구감삼초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,3200000,0,143675000,0,S030000408,382977000,D100000001,3,N,대구감천초등학교,,,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,7000000,2710000,0,195642000,0,S030000409,359388000,D100000001,3,N,대구남덕초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,4500000,14864000,0,438272000,0,S030000410,374893000,D100000001,3,N,대구남도초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,3251000,0,118018000,0,S030000411,357472000,D100000001,3,N,대구남명초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,7500000,0,144810000,0,S030000412,402577000,D100000001,3,N,대구남부초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,4870000,0,123258000,0,S030000413,341267000,D100000001,3,N,대구남송초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,4720000,0,276889000,0,S030000414,421909000,D100000001,3,N,대구내당초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,8000000,5992000,0,290866000,0,S030000415,398695000,D100000001,3,N,대구노전초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,3000000,8515000,0,283928000,0,S030000416,365298000,D100000001,3,N,대구대곡초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,27700000,0,120147000,0,S030000417,367320000,D100000001,3,N,대구대남초등학교,,,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5500000,5050000,0,189645000,0,S030000418,331211000,D100000001,3,N,대구대덕초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,6000000,7218000,0,274334000,0,S030000419,431172000,D100000001,3,N,대구대명초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,0,118163000,0,425305000,0,S030000420,404295000,D100000001,3,N,대구대봉초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,8000000,8490000,0,362412000,0,S030000421,364781000,D100000001,3,N,대구대서초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,7950000,0,303738000,0,S030000422,387132000,D100000001,3,N,대구대진초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,4000000,6900000,0,272194000,0,S030000423,417196000,D100000001,3,N,대구덕인초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,11900000,0,125956000,0,S030000424,418676000,D100000001,3,N,대구도원초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,8000000,17340000,0,898331000,0,S030000425,522511000,D100000001,3,N,대구본리초등학교,,,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,9000000,8170000,0,355714000,0,S030000426,460364000,D100000001,3,N,대구봉덕초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,7000000,3700000,0,214145000,0,S030000427,334655000,D100000001,3,N,대구상원초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,5950000,0,303316000,0,S030000428,414643000,D100000001,3,N,대구상인초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5720000,10970000,0,155969000,0,S030000429,337388000,D100000001,3,N,대구선원초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,7000000,12050000,0,181883000,0,S030000430,356021000,D100000001,3,N,대구성곡초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,4000000,5614000,0,209937000,0,S030000431,377413000,D100000001,3,N,대구성남초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,8000000,11750000,0,425398000,0,S030000432,444241000,D100000001,3,N,대구성당초등학교,,,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,2720000,0,162289000,0,S030000433,407135000,D100000001,3,N,대구성명초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,3000000,11250000,0,297837000,0,S030000434,377196000,D100000001,3,N,대구성산초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,6500000,13870000,0,177829000,0,S030000435,414650000,D100000001,3,N,대구성서초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,10000000,5950000,0,317443000,0,S030000436,471509000,D100000001,3,N,대구성지초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,6000000,11700000,0,374602000,0,S030000437,364888000,D100000001,3,N,대구송일초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,6000000,2803000,0,153757000,0,S030000438,351074000,D100000001,3,N,대구송현초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,2400000,0,137157000,0,S030000439,408802000,D100000001,3,N,대구신당초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,7200000,2580000,0,118835000,0,S030000440,359560000,D100000001,3,N,대구신서초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,6600000,12200000,0,300182000,0,S030000441,398770000,D100000001,3,N,대구신흥초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,6800000,12230000,0,225536000,0,S030000442,404910000,D100000001,3,N,대구영선초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,5000000,14785000,0,203902000,0,S030000443,382676000,D100000001,3,N,대구와룡초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,8000000,9420000,0,282437000,0,S030000444,363873000,D100000001,3,N,대구용산초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,6600000,9200000,0,249643000,0,S030000445,421408000,D100000001,3,N,대구용전초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,7200000,3000000,0,74748000,0,S030000446,325374000,D100000001,3,N,대구월곡초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,N,복식부기,예산세입,7000000,11850000,0,310579000,0,S030000447,408919000,D100000001,3,N,대구월배초등학교,초,2.0,
