FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,대구광역시 중구,대구광역시동부교육지원청,대구광역시교육청,A000000001,2399000,N,25000000,복식부기,예산세출,372174000,192632000,366380000,386254000,793863000,S000003493,72945000,4336562.7,A000000001,3,N,경북대학교사범대학부설초등학교,,,
국립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,A000000001,5000000,N,16000000,복식부기,예산세출,304839000,184125000,328490000,474171000,555930000,S000003506,71140000,4873605.5,A000000001,3,N,대구교육대학교대구부설초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,1000000,N,3000000,복식부기,예산세출,132555000,74912000,123382000,82615000,164630000,S030000406,11865000,2955019.9,D100000001,3,N,남대구초등학교,,,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,139912000,56650000,123523000,99363000,215792000,S030000407,8470000,2564581.7,D100000001,3,N,대구감삼초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,1000000,N,0,복식부기,예산세출,164226000,42260000,115422000,85330000,201736000,S030000408,15055000,2367534.1,D100000001,3,N,대구감천초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,145032000,64630000,143580000,90063000,182115000,S030000409,5895000,2756834.1,D100000001,3,N,대구남덕초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,161133000,47474000,425696000,129085000,139365000,S030000410,16130000,2019523.1,D100000001,3,N,대구남도초등학교,초,2.0,
공립,2,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,0,복식부기,예산세출,103425000,75832000,97800000,75730000,147492000,S030000411,5970000,3695248.2,D100000001,3,N,대구남명초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,1875000000,복식부기,예산세출,194796000,47142000,118884000,82145000,215344000,S030000412,7345000,8671180.9,D100000001,3,N,대구남부초등학교,초,2.0,
공립,2,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,3000000,N,0,복식부기,예산세출,144107000,50173000,89070000,115425000,251889000,S030000413,8205000,2155925.1,D100000001,3,N,대구남송초등학교,,,
