SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,2001000,N,0,복식부기,예산세출,321853000,169981000,52380000,234944000,785939000,S060000249,57431000,2810603.8,G100000001,6,N,대전가양중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,2180000,N,0,복식부기,예산세출,286895000,103139000,49940000,210708000,874066000,S060000250,49293000,2886851.6,G100000001,6,N,대전가오중학교,
중,공립,3,대전광역시 중구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,2002000,N,0,복식부기,예산세출,222403000,74782000,22263000,133078000,308278000,S060000251,28241000,6038526.7,G100000001,6,N,대전대문중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,10000,N,0,복식부기,예산세출,271900000,93870000,31013000,160450000,423405000,S060000252,40542000,4052341.3,G100000001,6,N,대전대화중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,1130000,N,0,복식부기,예산세출,280182000,141849000,67300000,294705000,1028894000,S060000255,57050000,2383579.6,G100000001,6,N,대전매봉중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,1100000,N,0,복식부기,예산세출,299375000,77406000,39454000,135071000,372511000,S060000256,35080000,5333316.7,G100000001,6,N,대전문화여자중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,829000,N,0,복식부기,예산세출,315369000,135953000,22380000,151063000,634929000,S060000257,49023000,3419180.2,G100000001,6,N,대전법동중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,231000,N,0,복식부기,예산세출,342995000,179120000,69680000,282198000,973233000,S060000258,66515000,2718710.2,G100000001,6,N,대전송촌중학교,
중,공립,3,대전광역시 중구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,2000000,N,0,복식부기,예산세출,304462000,133627000,47094000,225799000,813960000,S060000259,54756000,2902198.2,G100000001,6,N,대전여자중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,1020000,N,3000000,복식부기,예산세출,236086000,78150000,67127000,161701000,304578000,S060000260,39818000,7619487.2,G100000001,6,N,오정중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,2181000,N,0,복식부기,예산세출,271205000,102904000,31455000,249302000,595222000,S060000261,38594000,3301439.9,G100000001,6,N,대전용운중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,490000,N,0,복식부기,예산세출,280288000,141269000,78000000,166657000,668689000,S060000262,44369000,3449405.0,G100000001,6,N,대전용전중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,1000,N,0,복식부기,예산세출,247235000,40177000,23815000,213479000,365800000,S060000263,38996000,5702472.4,G100000001,6,N,중리중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,298000,N,0,복식부기,예산세출,297559000,115290000,91777000,181619000,686256000,S060000266,42352000,3610079.1,G100000001,6,N,대전중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,300000,N,0,복식부기,예산세출,314033000,144083000,86770000,77969000,627716000,S060000267,50163000,2846901.5,G100000001,6,N,대전태평중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,1916000,N,720000,복식부기,예산세출,253978000,88118000,24434000,104917000,445114000,S060000268,37782000,4234420.4,G100000001,6,N,동대전중학교,
,공립,3,대전광역시 동구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,2000000,N,0,복식부기,예산세출,273221000,71199000,39739000,92352000,282873000,S060000270,33832000,6855310.3,G100000001,6,N,동신중학교,
,공립,3,대전광역시 대덕구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,10000,N,0,복식부기,예산세출,230294000,104970000,59756000,185515000,430468000,S060000273,39650000,5027095.7,G100000001,6,N,신탄중앙중학교,
,공립,3,대전광역시 중구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,15100000,N,0,복식부기,예산세출,359244000,196723000,62832000,358902000,1338503000,S060000276,75418000,2375836.1,G100000001,6,N,충남여자중학교,
중,공립,3,대전광역시 동구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,4500000,N,1000000,복식부기,예산세출,335831000,158502000,387076000,294017000,1080388000,S060000277,64010000,3035671.0,G100000001,6,N,충남중학교,
,공립,3,대전광역시 동구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,3045000,N,0,복식부기,예산세출,295707000,106607000,46540000,147144000,580653000,S060000278,44313000,3335174.4,G100000001,6,N,한밭여자중학교,
,공립,3,대전광역시 동구,,대전광역시동부교육지원청,대전광역시교육청,G100000108,3629000,N,0,복식부기,예산세출,280270000,81001000,294750000,174895000,260157000,S060000279,34090000,12683056.2,G100000001,6,N,한밭중학교,
중,공립,3,대전광역시 대덕구,3.0,대전광역시동부교육지원청,대전광역시교육청,G100000108,5246000,N,0,복식부기,예산세출,230915000,96972000,31142000,96540000,368718000,S060000281,27400000,6591792.3,G100000001,6,N,회덕중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,501000,N,0,복식부기,예산세출,233299000,93768000,22498000,139025000,423928000,S060000447,37186000,5793932.9,G100000001,6,N,가수원중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,2000,N,0,복식부기,예산세출,236738000,77820000,29560000,192648000,285908000,S060000448,33134000,11565000.0,G100000001,6,N,갈마중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,1300000,N,0,복식부기,예산세출,208331000,69783000,18190000,81623000,82311000,S060000449,25935000,15724935.5,G100000001,6,N,기성중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,2035000,N,0,복식부기,예산세출,237424000,117010000,45036000,227044000,825896000,S060000450,47795000,2834415.1,G100000001,6,N,대덕중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,571000,N,0,복식부기,예산세출,313294000,154915000,45053000,292915000,1111478000,S060000451,50783000,2537382.7,G100000001,6,N,대전갑천중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,1212000,N,0,복식부기,예산세출,284662000,168062000,46078000,321272000,1011603000,S060000452,62810000,2586219.6,G100000001,6,N,대전관저중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,10000,N,0,복식부기,예산세출,267264000,105959000,85130000,99557000,423680000,S060000453,33641000,5902564.0,G100000001,6,N,대전남선중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,110000,N,1000000,복식부기,예산세출,249011000,165505000,35020000,197290000,781346000,S060000454,51428000,2706965.3,G100000001,6,N,대전내동중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,4700000,N,0,복식부기,예산세출,384124000,141807000,46920000,227479000,1130667000,S060000455,65540000,2357169.6,G100000001,6,N,대전노은중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,2200000,N,2000000,복식부기,예산세출,246362000,90803000,45913000,87495000,460581000,S060000457,36510000,4478635.9,G100000001,6,N,대전도마중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,1100000,N,0,복식부기,예산세출,320068000,133990000,44950000,181332000,857735000,S060000458,57364000,2820740.3,G100000001,6,N,대전둔산중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,9366000,N,0,복식부기,예산세출,282889000,145687000,49726000,216608000,711126000,S060000459,47976000,2968312.4,G100000001,6,N,대전둔원중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,0,N,0,복식부기,예산세출,274311000,147154000,54565000,128158000,536054000,S060000460,46650000,4149972.0,G100000001,6,N,대전만년중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,650000,N,2000000,복식부기,예산세출,404868000,150821000,95150000,397361000,1592787000,S060000461,84473000,2203643.0,G100000001,6,N,대전문정중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,0,N,0,복식부기,예산세출,251246000,99325000,36480000,109396000,419774000,S060000462,34158000,4635995.1,G100000001,6,N,대전문지중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,70000,N,0,복식부기,예산세출,287945000,154053000,305585000,214009000,1128844000,S060000463,67810000,2461021.7,G100000001,6,N,대전버드내중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,503000,N,0,복식부기,예산세출,267746000,110221000,33200000,90642000,509728000,S060000464,35708000,3551688.1,G100000001,6,N,대전변동중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,319000,N,0,복식부기,예산세출,255099000,115974000,14980000,144491000,351235000,S060000465,35700000,4934397.8,G100000001,6,N,대전봉산중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,1000000,N,0,복식부기,예산세출,248614000,170517000,31010000,175756000,949413000,S060000466,62865000,2417662.2,G100000001,6,N,대전봉우중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,1030000,N,0,복식부기,예산세출,391738000,199780000,55980000,326971000,1303569000,S060000469,78922000,2492589.9,G100000001,6,N,대전삼천중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,200000,N,0,복식부기,예산세출,246079000,100995000,29641000,97661000,385072000,S060000470,30820000,6315375.9,G100000001,6,N,대전서중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,2746000,N,0,복식부기,예산세출,279832000,90105000,61980000,171303000,539310000,S060000471,47328000,3847109.7,G100000001,6,N,대전송강중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,2000,N,0,복식부기,예산세출,263204000,119924000,43144000,206601000,720219000,S060000472,49794000,3083270.3,G100000001,6,N,대전어은중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,148000,N,0,복식부기,예산세출,257023000,102963000,31420000,85573000,422676000,S060000473,31011000,4585290.6,G100000001,6,N,대전월평중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,1900000,N,0,복식부기,예산세출,281695000,161521000,34010000,145904000,847928000,S060000475,52800000,2542930.0,G100000001,6,N,대전전민중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,110000,N,0,복식부기,예산세출,256184000,86235000,25320000,91330000,410110000,S060000476,32163000,4846516.1,G100000001,6,N,대전정림중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,2695000,N,0,복식부기,예산세출,339606000,108159000,63075000,145368000,970433000,S060000477,60223000,2611374.0,G100000001,6,N,대전지족중학교,
