FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,부산광역시 금정구,교육부,부산광역시교육청,A000000001,N,복식부기,예산세입,0,31358000,0,143100000,458480000,S000003509,1640645000,A000000001,2,일반고등학교,N,부산대학교사범대학부설고등학교,,고,4.0
국립,4,부산광역시 해운대구,교육부,부산광역시교육청,A000000001,N,복식부기,예산세입,1200000000,33000000,0,396002000,0,S000003543,7558000000,A000000001,2,특수목적고등학교,N,부산기계공업고등학교,,고,4.0
국립,4,부산광역시 영도구,교육부,부산광역시교육청,A000000001,N,복식부기,예산세입,389963000,15800000,0,59720000,0,S000003604,990000000,A000000001,2,특수목적고등학교,N,부산해사고등학교,,,
공립,4,부산광역시 부산진구,부산광역시교육청,부산광역시교육청,C100000001,N,복식부기,예산세입,0,5100000,0,160313000,0,S020000339,2033221000,C100000001,2,일반고등학교,N,개금고등학교,,고,4.0
공립,4,부산광역시 서구,부산광역시교육청,부산광역시교육청,C100000001,N,복식부기,예산세입,11829000,9400000,0,948734000,0,S020000342,1420312000,C100000001,2,일반고등학교,N,경남고등학교,,,
공립,4,부산광역시 부산진구,부산광역시교육청,부산광역시교육청,C100000001,N,복식부기,예산세입,0,52100000,0,657923000,0,S020000344,2133192000,C100000001,2,특성화고등학교,N,경남공업고등학교,,,
공립,4,부산광역시 서구,부산광역시교육청,부산광역시교육청,C100000001,N,복식부기,예산세입,0,11297000,0,1008795000,0,S020000345,1574242000,C100000001,2,일반고등학교,N,부경고등학교,,,
공립,4,부산광역시 동구,부산광역시교육청,부산광역시교육청,C100000001,N,복식부기,예산세입,0,4500000,0,492671000,0,S020000346,2490017000,C100000001,2,일반고등학교,N,경남여자고등학교,,,
공립,4,부산광역시 사상구,부산광역시교육청,부산광역시교육청,C100000001,N,복식부기,예산세입,0,18743000,0,226878000,0,S020000359,1989626000,C100000001,2,일반고등학교,N,구덕고등학교,,고,4.0
공립,4,부산광역시 동래구,부산광역시교육청,부산광역시교육청,C100000001,N,복식부기,예산세입,0,3500000,0,393890000,0,S020000364,2326012000,C100000001,2,일반고등학교,N,금정고등학교,,고,4.0
