FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,서울특별시 서초구,교육부,서울특별시교육청,A000000001,0,N,24545650,복식부기,결산세출,277795013,333918635,309733329,368269148,621125611,S000003511,56255721,3259645.0,A000000001,1,N,서울교육대학교부설초등학교,,,
국립,2,서울특별시 종로구,교육부,서울특별시교육청,A000000001,0,N,0,복식부기,결산세출,1000000,233249040,259428430,185711390,617701140,S000003563,5000000,2096763.3,A000000001,1,N,서울대학교사범대학부설초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,48982930,복식부기,결산세출,290672620,271054960,346149170,260460070,983784150,S010000738,141103800,2332876.2,B100000001,1,N,서울개일초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,결산세출,382376280,678067595,433142900,439632190,828508320,S010000741,107677990,3914604.7,B100000001,1,N,서울구룡초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,1810,N,267005000,복식부기,결산세출,505684519,700639310,466546680,292747230,463440910,S010000742,44043320,9448651.0,B100000001,1,N,서울논현초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,322907530,미지정,결산세출,314997656,764561595,685786735,321975404,1098578338,S010000743,91117050,2948341.0,B100000001,1,N,서울대곡초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,결산세출,774050210,255785930,190767940,627549795,1699691020,S010000744,137330420,1730941.9,B100000001,1,N,서울대도초등학교,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,미지정,결산세출,368453270,619612300,451240430,282824430,913800100,S010000745,110101700,2770971.0,B100000001,1,N,서울대모초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,293294030,복식부기,결산세출,342971370,246548190,336684670,376805190,884546220,S010000746,159195480,3501386.1,B100000001,1,N,서울대왕초등학교,초,2.0,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,결산세출,217225840,593991961,259089720,338952410,427764390,S010000747,64951170,6650264.0,B100000001,1,N,서울대진초등학교,초,2.0,
