FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,30000000,4600000,0,320668000,0,S080000069,892711000,I100000001,8,일반고등학교,N,세종여자고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,25000000,11300000,0,591330000,0,S080000071,843919000,I100000001,8,자율고등학교,N,한솔고등학교,,고,4.0
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,12000000,15700000,0,152236000,0,S080000072,2029846000,I100000001,8,특성화고등학교,N,세종미래고등학교,,고,4.0
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,10000000,12400000,0,571862000,0,S080000076,1128046000,I100000001,8,일반고등학교,N,세종고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,25000000,7650000,0,241278000,0,S080000107,1082014000,I100000001,8,일반고등학교,N,아름고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,15000000,18850000,0,279455000,0,S080000119,716448000,I100000001,8,일반고등학교,N,도담고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,20000000,12400000,0,1302704000,0,S080000120,657290000,I100000001,8,특수목적고등학교,N,세종국제고등학교,,고,4.0
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,30000000,3300000,0,212606000,0,S080000144,1047787000,I100000001,8,일반고등학교,N,종촌고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,15348000,1200000,0,272550000,0,S080000145,912446000,I100000001,8,일반고등학교,N,고운고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,10000000,7350000,0,213232000,0,S080000147,1420840000,I100000001,8,특수목적고등학교,N,세종예술고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,40000000,48800000,0,1596278000,0,S080000149,2303596000,I100000001,8,특수목적고등학교,N,세종과학예술영재학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,5000000,20822000,0,286050000,440000,S080000150,855129000,I100000001,8,일반고등학교,N,양지고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,8000000,6300000,0,323681000,0,S080000156,869091000,I100000001,8,일반고등학교,N,두루고등학교,,고,4.0
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,10000000,6600000,0,186120000,0,S080000160,867681000,I100000001,8,일반고등학교,N,소담고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,5000000,4000000,0,249278000,0,S080000161,863134000,I100000001,8,일반고등학교,N,보람고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,20000000,3300000,0,282940000,0,S080000162,1006736000,I100000001,8,일반고등학교,N,새롬고등학교,,고,4.0
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,1000000,3050000,0,294720000,0,S080000200,722114000,I100000001,8,일반고등학교,N,반곡고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,2000000,8480000,0,437240000,0,S080000201,1100961000,I100000001,8,일반고등학교,N,다정고등학교,,,
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,5000000,6500000,0,188094000,0,S080000223,1636944000,I100000001,8,특성화고등학교,N,세종장영실고등학교,,고,4.0
공립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,5000000,3250000,0,99550000,0,S080000240,439623000,I100000001,8,일반고등학교,N,해밀고등학교,,,
사립,4,세종특별자치시 ,세종특별자치시교육청,세종특별자치시교육청,I100000001,N,복식부기,예산세입,3000000,15881000,0,740410000,25800000,S080000068,5150801000,I100000001,8,일반고등학교,N,세종대성고등학교,,,
