FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,278661000,79070000,369476000,187695000,443855000,S070000152,21030000,3212962.9,H100000001,7,N,강남초등학교,초,2.0,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,4000000,N,0,복식부기,예산세출,206034000,57147000,360009000,165147000,443364000,S070000153,23450000,2314615.8,H100000001,7,N,개운초등학교,초,2.0,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,4000000,N,0,복식부기,예산세출,228644000,72737000,509875000,185680000,427293000,S070000155,18260000,2858673.9,H100000001,7,N,격동초등학교,초,2.0,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,288628000,80438000,414080000,360522000,575113000,S070000156,32013000,1914715.4,H100000001,7,N,구영초등학교,초,2.0,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,1000000,N,0,복식부기,예산세출,290891000,68820000,295005000,179100000,355553000,S070000157,23140000,2194410.5,H100000001,7,N,굴화초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,0,Y,0,복식부기,,0,0,0,0,0,S070000159,0,,H100000001,7,Y,상북초등학교소호분교장,초,2.0,본교 공시에 따름
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,218448000,128090000,418676000,139730000,795952000,S070000164,37650000,1686214.7,H100000001,7,N,대현초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,3000000,N,0,복식부기,예산세출,342832000,90162000,301882000,245546000,556681000,S070000165,37016000,2479746.9,H100000001,7,N,덕신초등학교,초,2.0,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,2000000,N,0,복식부기,예산세출,307307000,75191000,331865000,190070000,604845000,S070000167,33750000,2524555.6,H100000001,7,N,동백초등학교,초,2.0,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,3000000,N,0,복식부기,예산세출,383399000,42660000,278930000,211469000,306409000,S070000168,18000000,6009019.3,H100000001,7,N,동평초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,0,N,0,복식부기,예산세출,190253000,37188000,116660000,86165000,327711000,S070000170,16521000,9803772.2,H100000001,7,N,두동초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,16618000,N,0,복식부기,예산세출,166443000,28880000,45830000,38900000,195874000,S070000173,9560000,20084200.0,H100000001,7,N,두서초등학교,초,2.0,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,3000000,N,0,복식부기,예산세출,171666000,29774000,83850000,35400000,164983000,S070000178,11810000,3249889.6,H100000001,7,N,명산초등학교,초,2.0,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,285309000,85260000,605406000,157045000,765614000,S070000179,42574000,1695303.1,H100000001,7,N,무거초등학교,초,2.0,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,10546000,N,0,복식부기,예산세출,156330000,48684000,96370000,83230000,170279000,S070000181,10420000,11074211.5,H100000001,7,N,반곡초등학교,초,2.0,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,4000000,N,0,복식부기,예산세출,197073000,23370000,46465000,57939000,162002000,S070000182,10387000,4819576.9,H100000001,7,N,반천초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,4000000,N,0,복식부기,예산세출,193231000,47230000,97220000,49680000,87736000,S070000183,17842000,9376207.5,H100000001,7,N,방기초등학교,초,2.0,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,257896000,60871000,393690000,207643000,408562000,S070000184,17680000,2374942.0,H100000001,7,N,백합초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,3000000,N,0,복식부기,예산세출,437783000,62224000,502777000,247128000,606777000,S070000185,25790000,2197528.0,H100000001,7,N,범서초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,2000000,N,0,복식부기,예산세출,171831000,56386000,64040000,80002000,123487000,S070000189,9367000,14086472.2,H100000001,7,N,삼동초등학교,초,2.0,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,3300000,N,0,복식부기,예산세출,236331000,80088000,428894000,134910000,534663000,S070000191,23446000,2092354.1,H100000001,7,N,삼산초등학교,,,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,3797000,N,0,복식부기,예산세출,309244000,107121000,456970000,330690000,704231000,S070000192,29794000,1949645.6,H100000001,7,N,삼신초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,2454000,N,4000000,복식부기,예산세출,236437000,32220000,167614000,107166000,266982000,S070000193,14255000,2621854.9,H100000001,7,N,삼정초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,0,N,0,복식부기,예산세출,127664000,54179000,35864000,64432000,173711000,S070000194,11301000,9732312.5,H100000001,7,N,삼평초등학교,초,2.0,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,1000000,N,0,복식부기,예산세출,238392000,75522000,244280000,221015000,274771000,S070000195,8600000,4358934.4,H100000001,7,N,삼호초등학교,초,2.0,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,3000000,N,0,복식부기,예산세출,159743000,60275000,101317000,118360000,211991000,S070000196,13584000,4311419.4,H100000001,7,N,서생초등학교,,,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,193416000,23872000,120245000,120551000,60070000,S070000198,3608000,4147732.3,H100000001,7,N,선암초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,4050000,N,0,복식부기,예산세출,138171000,29354000,46860000,53722000,39104000,S070000199,7521000,4035215.2,H100000001,7,N,성동초등학교,,,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,335339000,65795000,153927000,229714000,597743000,S070000200,20870000,2071158.8,H100000001,7,N,수암초등학교,,,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,259732000,70798000,225605000,157500000,662095000,S070000202,63010000,1344264.4,H100000001,7,N,신정초등학교,,,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,137927000,46912000,177903000,115479000,255727000,S070000203,8130000,3000313.3,H100000001,7,N,야음초등학교,,,
공립,2,울산광역시 울주군,울산광역시강남교육지원청,울산광역시교육청,H100000041,10000000,N,0,복식부기,예산세출,268990000,131439000,363210000,304884000,663368000,S070000204,36422000,2063008.1,H100000001,7,N,언양초등학교,,,
공립,2,울산광역시 남구,울산광역시강남교육지원청,울산광역시교육청,H100000041,5000000,N,0,복식부기,예산세출,211817000,52764000,153866000,78910000,194691000,S070000205,7284000,3827891.3,H100000001,7,N,여천초등학교,초,2.0,
