FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,인천광역시 중구,교육부,인천광역시교육청,A000000001,0,N,240329000,미지정,결산세출,226734550,219346430,70267470,609634001,51380040,S000003549,294196813,5434566.0,A000000001,4,특수목적고등학교,N,인천해사고등학교,,고,4.0
공립,4,인천광역시 서구,인천광역시교육청,인천광역시교육청,E100000001,132225810,N,130966400,미지정,결산세출,299070970,765417680,21392610,545308020,1035997800,S040000181,69670550,3271592.0,E100000001,4,일반고등학교,N,가정고등학교,,고,4.0
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,27849740,N,0,복식부기,결산세출,214109940,620266500,184973890,265028110,944900920,S040000182,108715780,13675403.9,E100000001,4,특성화고등학교,N,강남영상미디어고등학교,,,
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,83928670,N,0,미지정,결산세출,397971610,263208130,424548290,571684340,1459366000,S040000183,123328820,6997970.2,E100000001,4,자율고등학교,N,강화고등학교,,고,4.0
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,61584900,N,0,복식부기,결산세출,254010570,251047240,147457090,906308970,1472965160,S040000184,128651030,6826324.1,E100000001,4,일반고등학교,N,강화여자고등학교,,,
공립,4,인천광역시 서구,인천광역시교육청,인천광역시교육청,E100000001,22332650,N,0,미지정,결산세출,436074800,178266480,19494970,613377880,1023461770,S040000186,65877440,2897894.3,E100000001,4,일반고등학교,N,검단고등학교,,고,4.0
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,49371000,N,0,복식부기,결산세출,419019000,941419630,363554020,644521150,753028140,S040000188,84916580,4910753.4,E100000001,4,일반고등학교,N,계산고등학교,,고,4.0
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,44950240,N,0,복식부기,결산세출,427135260,852941530,308987220,1082144100,724482660,S040000189,133322020,7278947.1,E100000001,4,특성화고등학교,N,계산공업고등학교,,,
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,47982230,N,0,미지정,결산세출,330775100,726534340,39229760,497505040,671395180,S040000190,48575330,4820402.0,E100000001,4,일반고등학교,N,계산여자고등학교,,,
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,17398990,N,0,미지정,결산세출,445038340,657827512,15956550,572066908,731440920,S040000191,44346210,4583165.0,E100000001,4,일반고등학교,N,계양고등학교,,,
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,14313460,N,0,복식부기,결산세출,145053300,43867920,30608970,132830820,229088200,S040000194,17751940,23596715.8,E100000001,4,일반고등학교,N,교동고등학교,,,
공립,4,인천광역시 옹진군,인천광역시교육청,인천광역시교육청,E100000001,3727750,N,0,미지정,결산세출,165970020,181548230,66277230,49040950,116857980,S040000200,105148030,68857019.0,E100000001,4,일반고등학교,N,대청고등학교,,,
공립,4,인천광역시 옹진군,인천광역시교육청,인천광역시교육청,E100000001,6241990,N,47570000,미지정,결산세출,231913780,93287990,478687460,151279710,204569810,S040000203,102865890,35578827.8,E100000001,4,일반고등학교,N,덕적고등학교,,,
공립,4,인천광역시 남동구,인천광역시교육청,인천광역시교육청,E100000001,80897820,N,0,미지정,결산세출,398526480,266594560,295162740,734887780,805387190,S040000205,50655990,3976000.8,E100000001,4,일반고등학교,N,동인천고등학교,,,
공립,4,인천광역시 미추홀구,인천광역시교육청,인천광역시교육청,E100000001,29638680,N,19324000,미지정,결산세출,356390320,654025450,261915650,1380165550,637913170,S040000211,101254310,13492655.4,E100000001,4,특성화고등학교,N,문학정보고등학교,,,
공립,4,인천광역시 옹진군,인천광역시교육청,인천광역시교육청,E100000001,7849150,N,0,복식부기,결산세출,225534000,143633380,14765880,290262270,320717490,S040000212,106180110,15401976.1,E100000001,4,일반고등학교,N,백령고등학교,,,
공립,4,인천광역시 서구,인천광역시교육청,인천광역시교육청,E100000001,46051210,N,0,미지정,결산세출,510024210,382616200,219246370,849054150,1313397260,S040000213,117833990,3210292.6,E100000001,4,일반고등학교,N,백석고등학교,,고,4.0
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,34136880,N,0,복식부기,결산세출,357769000,404160000,142722590,674055670,595190239,S040000214,96071740,5201142.5,E100000001,4,일반고등학교,N,부개여자고등학교,,고,4.0
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,19601410,N,0,복식부기,결산세출,409522740,970648580,135043330,718283160,816299430,S040000215,71399320,5405848.5,E100000001,4,일반고등학교,N,부광고등학교,,고,4.0
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,23498240,N,0,복식부기,결산세출,417082478,96436200,105940080,571537350,648730180,S040000216,84323620,3803805.0,E100000001,4,일반고등학교,N,부광여자고등학교,,,
