FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,인천광역시 중구,교육부,인천광역시교육청,A000000001,0,N,0,복식부기,예산세출,9836000,118200000,73716000,686946000,64167000,S000003549,425202000,4374815.9,A000000001,4,특수목적고등학교,N,인천해사고등학교,,,
공립,4,인천광역시 서구,인천광역시교육청,인천광역시교육청,E100000001,300000,N,0,복식부기,예산세출,245065000,103988000,19740000,146406000,66277000,S040000181,66450000,706898.6,E100000001,4,일반고등학교,N,가정고등학교,,고,4.0
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,300000,N,0,복식부기,예산세출,163390000,89396000,26911000,118382000,228516000,S040000182,26440000,3776502.9,E100000001,4,특성화고등학교,N,강남영상미디어고등학교,,,
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,2000000,N,0,복식부기,예산세출,255435000,41863000,69430000,90708000,109910000,S040000183,47760000,1299170.5,E100000001,4,자율고등학교,N,강화고등학교,,고,4.0
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,5000000,N,0,복식부기,예산세출,226427000,51364000,50850000,95529000,865689000,S040000184,58216000,2866684.3,E100000001,4,일반고등학교,N,강화여자고등학교,,,
공립,4,인천광역시 서구,인천광역시교육청,인천광역시교육청,E100000001,5000000,N,0,복식부기,예산세출,254096000,73521000,18900000,143419000,813149000,S040000186,64290000,1685964.4,E100000001,4,일반고등학교,N,검단고등학교,,고,4.0
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,2999000,N,0,복식부기,예산세출,326641000,44268000,105142000,63613000,44870000,S040000188,44620000,953473.6,E100000001,4,일반고등학교,N,계산고등학교,,,
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,10000000,N,0,복식부기,예산세출,344151000,140179000,128338000,405303000,95375000,S040000189,87820000,2466733.2,E100000001,4,특성화고등학교,N,계산공업고등학교,,,
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,4000000,N,0,복식부기,예산세출,288347000,42309000,15767000,188525000,38511000,S040000190,49510000,1279528.6,E100000001,4,일반고등학교,N,계산여자고등학교,,,
공립,4,인천광역시 계양구,인천광역시교육청,인천광역시교육청,E100000001,6000000,N,0,복식부기,예산세출,234473000,41604000,16150000,112105000,461576000,S040000191,50370000,1701619.9,E100000001,4,일반고등학교,N,계양고등학교,,,
공립,4,인천광역시 강화군,인천광역시교육청,인천광역시교육청,E100000001,5000000,N,0,복식부기,예산세출,70200000,35084000,15300000,59905000,128506000,S040000194,17910000,12765576.9,E100000001,4,일반고등학교,N,교동고등학교,,,
공립,4,인천광역시 옹진군,인천광역시교육청,인천광역시교육청,E100000001,3000000,N,0,복식부기,예산세출,184200000,46538000,11700000,27055000,75047000,S040000200,31929000,37946900.0,E100000001,4,일반고등학교,N,대청고등학교,,,
공립,4,인천광역시 옹진군,인천광역시교육청,인천광역시교육청,E100000001,1900000,N,0,복식부기,예산세출,139734000,22900000,233969000,47120000,154610000,S040000203,59944000,17842621.6,E100000001,4,일반고등학교,N,덕적고등학교,,,
공립,4,인천광역시 남동구,인천광역시교육청,인천광역시교육청,E100000001,6000000,N,0,복식부기,예산세출,283627000,42445000,157954000,87016000,64899000,S040000205,44740000,1037282.5,E100000001,4,일반고등학교,N,동인천고등학교,,,
공립,4,인천광역시 미추홀구,인천광역시교육청,인천광역시교육청,E100000001,500000,N,0,복식부기,예산세출,232698000,47556000,83747000,103651000,313729000,S040000211,87006000,3407400.0,E100000001,4,특성화고등학교,N,문학정보고등학교,,,
공립,4,인천광역시 옹진군,인천광역시교육청,인천광역시교육청,E100000001,168000,N,0,복식부기,예산세출,139116000,14413000,4600000,77853000,126121000,S040000212,29220000,5437375.0,E100000001,4,일반고등학교,N,백령고등학교,,,
공립,4,인천광역시 서구,인천광역시교육청,인천광역시교육청,E100000001,1000000,N,0,복식부기,예산세출,342952000,120790000,104654000,152330000,119656000,S040000213,86400000,866276.4,E100000001,4,일반고등학교,N,백석고등학교,,,
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,2000000,N,0,복식부기,예산세출,247767000,34264000,87672000,130360000,50929000,S040000214,51855000,1365343.1,E100000001,4,일반고등학교,N,부개여자고등학교,,,
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,9000000,N,0,복식부기,예산세출,303925000,60699000,69447000,90689000,104411000,S040000215,53670000,1190776.2,E100000001,4,일반고등학교,N,부광고등학교,,고,4.0
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,1526000,N,0,복식부기,예산세출,194797000,45519000,11000000,100440000,59064000,S040000216,50420000,903839.8,E100000001,4,일반고등학교,N,부광여자고등학교,,,
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,1000000,N,0,복식부기,예산세출,327599000,39376000,289075000,217722000,542404000,S040000217,58420000,2208976.0,E100000001,4,일반고등학교,N,부평고등학교,,고,4.0
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,10000000,N,35000000,복식부기,예산세출,402565000,113592000,197865000,336860000,121969000,S040000218,72380000,2919074.7,E100000001,4,특성화고등학교,N,부평공업고등학교,,,
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,5118000,N,0,복식부기,예산세출,255318000,57709000,81281000,102408000,62703000,S040000220,57534000,1043743.3,E100000001,4,일반고등학교,N,부평여자고등학교,,,
공립,4,인천광역시 부평구,인천광역시교육청,인천광역시교육청,E100000001,11600000,N,0,복식부기,예산세출,335870000,174432000,171583000,386764000,147002000,S040000221,72630000,2568934.8,E100000001,4,특성화고등학교,N,인천미래생활고등학교,,고,4.0
