SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,2030000,N,0,복식부기,예산세출,178988000,31829000,59572000,45504000,338275000,S040000317,25048000,5406714.3,E100000001,4,N,강남중학교,
,공립,3,인천광역시 강화군,,인천광역시강화교육지원청,인천광역시교육청,E100000070,565000,N,0,복식부기,예산세출,78646000,21000000,11100000,56747000,88115000,S040000318,17574000,10528730.8,E100000001,4,N,강서중학교,
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,4000000,N,0,복식부기,예산세출,156407000,54050000,69749000,105687000,41694000,S040000320,47886000,957031.9,E100000001,4,N,강화여자중학교,
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,3720000,N,0,복식부기,예산세출,185734000,73225000,52834000,87478000,487226000,S040000321,36996000,1931693.8,E100000001,4,N,강화중학교,
,공립,3,인천광역시 강화군,,인천광역시강화교육지원청,인천광역시교육청,E100000070,1000000,N,0,복식부기,예산세출,129348000,3000000,12000000,45435000,8821000,S040000322,7800000,9427454.5,E100000001,4,N,교동중학교,
,공립,3,인천광역시 강화군,,인천광역시강화교육지원청,인천광역시교육청,E100000070,2000000,N,0,복식부기,예산세출,45402000,83748000,4000000,44950000,19242000,S040000326,4692000,102017000.0,E100000001,4,N,서도중학교,
중,공립,3,인천광역시 강화군,3.0,인천광역시강화교육지원청,인천광역시교육청,E100000070,1000,N,0,복식부기,예산세출,80249000,29926000,6954000,43420000,88603000,S040000329,15830000,5520479.2,E100000001,4,N,심도중학교,
,공립,3,인천광역시 미추홀구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,5000000,N,0,복식부기,예산세출,195000000,61235000,66057000,135862000,47742000,S040000412,58524000,986863.1,E100000001,4,N,관교여자중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,4991000,N,0,복식부기,예산세출,221710000,52105000,135737000,115525000,104043000,S040000413,63555000,787433.4,E100000001,4,N,관교중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,3000000,N,0,복식부기,예산세출,137713000,60974000,138124000,121871000,94180000,S040000416,47895000,890497.1,E100000001,4,N,남인천여자중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1996000,N,0,복식부기,예산세출,56924000,55036000,14000000,30762000,9974000,S040000417,1350000,9446777.8,E100000001,4,N,대청중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1000000,N,0,복식부기,예산세출,84676000,2320000,5000000,35940000,15774000,S040000420,8690000,9587500.0,E100000001,4,N,덕적중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1100000,N,0,복식부기,예산세출,64056000,147354000,24100000,70454000,16296000,S040000422,33980000,5497538.5,E100000001,4,N,백령중학교,
,공립,3,인천광역시 미추홀구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,3500000,N,0,복식부기,예산세출,205454000,47182000,64239000,53052000,47768000,S040000424,33810000,1919852.3,E100000001,4,N,선인중학교,
,공립,3,인천광역시 미추홀구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,5600000,N,0,복식부기,예산세출,131005000,46340000,115753000,98446000,467353000,S040000425,40993000,2053265.3,E100000001,4,N,선화여자중학교,
,공립,3,인천광역시 중구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,3362000,N,0,복식부기,예산세출,139585000,39740000,76028000,90159000,336789000,S040000427,31790000,1793632.5,E100000001,4,N,신흥여자중학교,
,공립,3,인천광역시 중구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,3000000,N,0,복식부기,예산세출,203214000,50365000,66433000,109791000,279772000,S040000428,40230000,2757527.5,E100000001,4,N,신흥중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,2400000,N,0,복식부기,예산세출,109033000,20166000,19400000,22360000,12800000,S040000429,6960000,16093250.0,E100000001,4,N,연평중학교,
,공립,3,인천광역시 중구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,5000000,N,0,복식부기,예산세출,169082000,50907000,17600000,137770000,98379000,S040000430,68364000,798689.1,E100000001,4,N,영종중학교,
,공립,3,인천광역시 옹진군,,인천광역시남부교육지원청,인천광역시교육청,E100000082,1600000,N,0,복식부기,예산세출,55273000,47955000,28180000,46316000,6305000,S040000431,17820000,1724144.1,E100000001,4,N,영흥중학교,
,공립,3,인천광역시 중구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,500000,N,0,복식부기,예산세출,69471000,14224000,11055000,39036000,120984000,S040000432,149390000,8796956.5,E100000001,4,N,용유중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,5500000,N,0,복식부기,예산세출,180713000,39674000,72187000,182275000,617130000,S040000433,51850000,1561588.3,E100000001,4,N,용현여자중학교,
,공립,3,인천광역시 미추홀구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,5000000,N,0,복식부기,예산세출,227582000,49023000,123352000,124273000,92263000,S040000434,45430000,896401.9,E100000001,4,N,용현중학교,
,공립,3,인천광역시 중구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,6549000,N,0,복식부기,예산세출,252532000,32636000,62651000,162896000,62494000,S040000436,75100000,785201.4,E100000001,4,N,인천공항중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,4904000,N,0,복식부기,예산세출,195185000,37940000,17870000,75942000,22770000,S040000437,41300000,951709.1,E100000001,4,N,인천남중학교,
,공립,3,인천광역시 미추홀구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,4000000,N,0,복식부기,예산세출,229716000,60335000,124673000,145834000,98753000,S040000441,51700000,816222.6,E100000001,4,N,인화여자중학교,
중,공립,3,인천광역시 미추홀구,3.0,인천광역시남부교육지원청,인천광역시교육청,E100000082,3000000,N,0,복식부기,예산세출,154325000,33890000,66427000,94195000,79140000,S040000442,38270000,1348410.9,E100000001,4,N,제물포여자중학교,
,공립,3,인천광역시 동구,,인천광역시남부교육지원청,인천광역시교육청,E100000082,2000000,N,0,복식부기,예산세출,157691000,42790000,127057000,67195000,34594000,S040000444,40076000,1343028.5,E100000001,4,N,화도진중학교,
,공립,3,인천광역시 남동구,,인천광역시동부교육지원청,인천광역시교육청,E100000117,3228000,N,0,복식부기,예산세출,146606000,38715000,67794000,66241000,25704000,S040000615,37570000,1392989.2,E100000001,4,N,간석여자중학교,
,공립,3,인천광역시 남동구,,인천광역시동부교육지원청,인천광역시교육청,E100000117,3000000,N,0,복식부기,예산세출,223890000,40223000,73856000,116100000,65892000,S040000616,49908000,766892.9,E100000001,4,N,구월여자중학교,
