FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,인천광역시 계양구,교육부,인천광역시교육청,A000000001,N,복식부기,예산세입,0,134000000,0,294045000,604478000,S000003564,1036415000,A000000001,4,N,경인교육대학교부설초등학교,초,2.0,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,15000000,6400000,0,0,0,S040000330,800298000,E100000001,4,N,갑룡초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,4639000,6200000,0,0,0,S040000331,379100000,E100000001,4,N,강화초등학교,초,2.0,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,7000000,4000000,0,0,0,S040000333,283153000,E100000001,4,N,교동초등학교,초,2.0,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,5000000,2610000,0,0,0,S040000334,474934000,E100000001,4,N,길상초등학교,초,2.0,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,13329000,2900000,0,0,0,S040000338,210392000,E100000001,4,N,내가초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,10000000,4000000,0,0,0,S040000342,309006000,E100000001,4,N,대월초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,9500000,2500000,0,0,0,S040000345,279649000,E100000001,4,N,명신초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,4500000,12500000,0,18870000,0,S040000349,341736000,E100000001,4,N,불은초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,15000,1440000,0,0,0,S040000350,252624000,E100000001,4,N,삼산초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,3515000,1750000,0,0,0,S040000354,203165000,E100000001,4,N,삼성초등학교,초,2.0,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,2000000,500000,0,6062000,0,S040000355,231892000,E100000001,4,N,서도초등학교,초,2.0,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,13000000,3200000,0,29548000,0,S040000360,741557000,E100000001,4,N,선원초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,9734000,6300000,0,0,0,S040000364,317772000,E100000001,4,N,송해초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,6000000,3000000,0,0,0,S040000367,225228000,E100000001,4,N,양도초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,4800000,3000000,0,0,0,S040000368,535873000,E100000001,4,N,양사초등학교,,,
공립,2,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,N,복식부기,예산세입,3000000,1800000,0,0,0,S040000371,216204000,E100000001,4,N,조산초등학교,,,
