FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
공립,4,전라남도 강진군,전라남도교육청,전라남도교육청,Q100000001,24376240,N,0,미지정,결산세출,317729550,514157340,52055480,629228840,1099746770,S140000162,45377800,7514487.5,Q100000001,15,일반고등학교,N,강진고등학교,,,
공립,4,전라남도 강진군,전라남도교육청,전라남도교육청,Q100000001,75954340,N,290192000,미지정,결산세출,395225010,2459058520,395342290,450940310,815693390,S140000163,43822270,17593671.9,Q100000001,15,특수목적고등학교,N,전남생명과학고등학교,,,
공립,4,전라남도 완도군,전라남도교육청,전라남도교육청,Q100000001,12181000,N,0,미지정,결산세출,130798140,245610810,211462300,247103690,331638240,S140000164,13361030,23375592.4,Q100000001,15,일반고등학교,N,고금고등학교,,고,4.0
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,109949000,N,0,복식부기,결산세출,377266360,283539930,135324830,522339900,1171257440,S140000165,41644860,7236499.5,Q100000001,15,일반고등학교,N,고흥고등학교,,,
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,48758650,N,10492190,복식부기,결산세출,227297610,121016160,35423640,443649560,816113420,S140000166,36456940,7246700.7,Q100000001,15,일반고등학교,N,녹동고등학교,,,
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,51375250,N,0,미지정,결산세출,170669320,315847060,80445550,115585630,373380630,S140000167,15130900,18707239.0,Q100000001,15,특성화고등학교,N,고흥도화고등학교,,,
공립,4,전라남도 고흥군,전라남도교육청,전라남도교육청,Q100000001,38239230,N,563642210,복식부기,결산세출,284280280,334087880,245000840,383398140,608767390,S140000169,57541630,13167317.3,Q100000001,15,특성화고등학교,N,고흥산업과학고등학교,,,
공립,4,전라남도 곡성군,전라남도교육청,전라남도교육청,Q100000001,28986760,N,0,미지정,결산세출,262305160,307340230,520857430,267851970,720207790,S140000171,29004220,12208877.5,Q100000001,15,특성화고등학교,N,전남조리과학고등학교,,고,4.0
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,37464000,N,0,복식부기,결산세출,407867700,1528041860,168897490,713449550,1282744320,S140000174,48727990,8705182.8,Q100000001,15,일반고등학교,N,광양고등학교,,,
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,144285670,N,0,미지정,결산세출,414887150,288442050,679148020,587143630,666542290,S140000175,52062910,8662115.4,Q100000001,15,특성화고등학교,N,광양하이텍고등학교,,,
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,33552000,N,0,복식부기,결산세출,348349530,847786170,395200610,484487640,1186132590,S140000176,45032730,6831372.7,Q100000001,15,일반고등학교,N,광양여자고등학교,,고,4.0
공립,4,전라남도 구례군,전라남도교육청,전라남도교육청,Q100000001,173552000,N,0,복식부기,결산세출,236783960,209091930,108115970,384980330,778676550,S140000178,33065440,8188366.7,Q100000001,15,일반고등학교,N,구례고등학교,,,
공립,4,전라남도 영암군,전라남도교육청,전라남도교육청,Q100000001,70921830,N,106000000,복식부기,결산세출,230661780,172291750,264587380,468612310,521044520,S140000180,27280030,13788145.2,Q100000001,15,특성화고등학교,N,구림공업고등학교,,,
공립,4,전라남도 나주시,전라남도교육청,전라남도교육청,Q100000001,18196000,N,148946750,미지정,결산세출,358143930,213604930,145671420,466351950,1332932600,S140000184,43361230,7660698.9,Q100000001,15,일반고등학교,N,나주고등학교,,,
공립,4,전라남도 나주시,전라남도교육청,전라남도교육청,Q100000001,132662890,N,39687420,복식부기,결산세출,241982070,479437720,336039790,379502820,537429630,S140000186,30329250,11580168.0,Q100000001,15,특성화고등학교,N,나주상업고등학교,,,
공립,4,전라남도 완도군,전라남도교육청,전라남도교육청,Q100000001,33259860,N,0,복식부기,결산세출,225344320,236052140,53627972,111177288,536903470,S140000187,53148810,10679605.6,Q100000001,15,일반고등학교,N,노화고등학교,,,
공립,4,전라남도 담양군,전라남도교육청,전라남도교육청,Q100000001,40319000,N,0,미지정,결산세출,244550070,291299850,158651620,281151240,819784180,S140000189,35752570,7310580.2,Q100000001,15,일반고등학교,N,담양고등학교,,,
공립,4,전라남도 담양군,전라남도교육청,전라남도교육청,Q100000001,60790310,N,899289570,복식부기,결산세출,325078970,351879170,522891400,371071450,391671360,S140000190,37527360,20700696.4,Q100000001,15,특성화고등학교,N,담양공업고등학교,,고,4.0
공립,4,전라남도 장흥군,전라남도교육청,전라남도교육청,Q100000001,12844270,N,72542960,미지정,결산세출,176923520,128489000,90911900,965330710,333303110,S140000193,14309060,35189304.5,Q100000001,15,특성화고등학교,N,한국말산업고등학교,,고,4.0
공립,4,전라남도 신안군,전라남도교육청,전라남도교육청,Q100000001,100071870,N,82191740,복식부기,결산세출,283656070,174679360,271111670,233914330,1090361860,S140000194,30932500,13574367.7,Q100000001,15,일반고등학교,N,도초고등학교,,,
공립,4,전라남도 광양시,전라남도교육청,전라남도교육청,Q100000001,84193000,N,0,미지정,결산세출,367713980,439434290,311260300,415893180,1274436940,S140000195,49435930,5301563.3,Q100000001,15,일반고등학교,N,광양백운고등학교,,,
공립,4,전라남도 목포시,전라남도교육청,전라남도교육청,Q100000001,52378340,N,327991820,미지정,결산세출,455434860,661805090,269574191,530765547,1102267910,S140000196,52809250,7193806.3,Q100000001,15,일반고등학교,N,목포고등학교,,고,4.0
공립,4,전라남도 목포시,전라남도교육청,전라남도교육청,Q100000001,221927900,N,0,복식부기,결산세출,584186565,2220660735,1257170460,1129963360,1079231470,S140000198,64897100,11648379.4,Q100000001,15,특성화고등학교,N,목포공업고등학교,,,
공립,4,전라남도 목포시,전라남도교육청,전라남도교육청,Q100000001,37800780,N,0,미지정,결산세출,397305410,542756340,108028930,358943790,947306850,S140000205,51015610,5154341.2,Q100000001,15,일반고등학교,N,목포여자고등학교,,고,4.0
공립,4,전라남도 목포시,전라남도교육청,전라남도교육청,Q100000001,31450000,N,0,복식부기,결산세출,385811220,814738940,168600510,444271020,984647160,S140000209,41694200,5932258.4,Q100000001,15,일반고등학교,N,목포제일여자고등학교,,,
공립,4,전라남도 무안군,전라남도교육청,전라남도교육청,Q100000001,133835800,N,415415780,복식부기,결산세출,431309960,271413620,400165160,410513430,1784859020,S140000213,129405650,8001847.9,Q100000001,15,일반고등학교,N,무안고등학교,,,
공립,4,전라남도 보성군,전라남도교육청,전라남도교육청,Q100000001,61431000,N,0,미지정,결산세출,271454920,223872740,93257760,269266270,410727790,S140000220,22453310,13800650.9,Q100000001,15,특성화고등학교,N,벌교상업고등학교,,,
공립,4,전라남도 영광군,전라남도교육청,전라남도교육청,Q100000001,45458490,N,0,복식부기,결산세출,273634240,164323820,369548840,126574030,424783470,S140000222,44657640,13172550.3,Q100000001,15,특성화고등학교,N,법성고등학교,,,
공립,4,전라남도 강진군,전라남도교육청,전라남도교육청,Q100000001,18344000,N,0,미지정,결산세출,110882900,120253840,69078130,64095500,279565480,S140000223,19632040,12175926.6,Q100000001,15,특성화고등학교,N,병영상업고등학교,,,
공립,4,전라남도 보성군,전라남도교육청,전라남도교육청,Q100000001,21623180,N,0,미지정,결산세출,278238240,446185290,65772600,341779030,757343640,S140000224,24295360,12248337.6,Q100000001,15,일반고등학교,N,보성고등학교,,고,4.0
공립,4,전라남도 보성군,전라남도교육청,전라남도교육청,Q100000001,9913000,N,0,미지정,결산세출,163992320,172908410,223250110,180404220,383077400,S140000226,19933210,11308614.4,Q100000001,15,특성화고등학교,N,다향고등학교,,,
공립,4,전라남도 나주시,전라남도교육청,전라남도교육청,Q100000001,34468270,N,0,미지정,결산세출,329320340,342420600,101857480,437527260,831474560,S140000228,47110460,6266014.7,Q100000001,15,일반고등학교,N,봉황고등학교,,고,4.0
공립,4,전라남도 여수시,전라남도교육청,전라남도교육청,Q100000001,29591010,N,0,복식부기,결산세출,412590970,1140548050,276336190,331634990,1233624340,S140000229,79006430,5525760.2,Q100000001,15,일반고등학교,N,부영여자고등학교,,,
공립,4,전라남도 장성군,전라남도교육청,전라남도교육청,Q100000001,26860240,N,0,복식부기,결산세출,175748100,201970880,241552000,143165580,795782260,S140000233,33173450,12353072.6,Q100000001,15,특성화고등학교,N,삼계부사관고등학교,,고,4.0
