FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,A000000001,6140000,N,0,복식부기,예산세출,275224000,147600000,250299000,384973000,652228000,S000003504,231582000,4944279.2,A000000001,15,N,광주교육대학교목포부설초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1939000,N,0,복식부기,예산세출,86924000,61681000,52016000,54623000,100819000,S140000348,21280000,7023740.7,Q100000001,15,N,강진동초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,4936000,N,0,복식부기,예산세출,246370000,134157000,46288000,234058000,505893000,S140000351,53480000,2015102.0,Q100000001,15,N,강진중앙초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1800000,N,0,복식부기,예산세출,88324000,53492000,30060000,59113000,94347000,S140000352,20330000,6682038.5,Q100000001,15,N,계산초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1821000,N,0,복식부기,예산세출,104336000,46132000,24565000,37433000,72055000,S140000353,18330000,10155733.3,Q100000001,15,N,군동초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1345000,N,0,복식부기,예산세출,93078000,49436000,19835000,30139000,113106000,S140000354,17022000,14725500.0,Q100000001,15,N,대구초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1800000,N,0,복식부기,예산세출,194932000,41402000,16150000,51437000,100789000,S140000356,17336000,18428087.0,Q100000001,15,N,도암초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1808000,N,0,복식부기,예산세출,117184000,43812000,19622000,35581000,75975000,S140000358,26840000,11457928.6,Q100000001,15,N,마량초등학교,초,2.0,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1000000,N,0,복식부기,예산세출,98920000,41959000,20996000,38620000,71379000,S140000359,17640000,12104750.0,Q100000001,15,N,병영초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1500000,N,0,복식부기,예산세출,107534000,42757000,24110000,34391000,73004000,S140000360,17380000,10738428.6,Q100000001,15,N,성전초등학교,,,
공립,2,전라남도 강진군,전라남도강진교육지원청,전라남도교육청,Q100000051,1600000,N,0,복식부기,예산세출,95562000,42424000,24408000,45576000,78793000,S140000362,17400000,9863322.6,Q100000001,15,N,신전초등학교,,,
