SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,50000,N,0,복식부기,예산세출,214076000,98272000,15120000,145822000,281225000,S130000469,1000000,1947332.5,P100000001,14,N,고창중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,300000,N,0,복식부기,예산세출,61124000,20000000,9740000,54950000,22177000,S130000470,7350000,6755423.1,P100000001,14,N,공음중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,60809000,34359000,17200000,35634000,27127000,S130000471,2800000,5391787.9,P100000001,14,N,대성중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1000000,N,0,복식부기,예산세출,69048000,17446000,3800000,43707000,26135000,S130000472,5940000,5967000.0,P100000001,14,N,상하중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,0,N,0,복식부기,예산세출,59752000,22380000,8436000,39672000,23954000,S130000473,6310000,11464571.4,P100000001,14,N,성내중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,480000,N,0,복식부기,예산세출,63408000,18871000,16812000,39620000,28831000,S130000474,5680000,10217764.7,P100000001,14,N,신림중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,974000,N,0,복식부기,예산세출,56185000,20260000,8220000,59821000,27915000,S130000475,5270000,5413484.8,P100000001,14,N,심원중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,500000,N,0,복식부기,예산세출,64590000,22395000,5660000,47617000,26069000,S130000476,2660000,9416166.7,P100000001,14,N,아산중학교,
중,공립,3,전북특별자치도 고창군,3.0,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1388000,N,0,복식부기,예산세출,64329000,25079000,10200000,57924000,32323000,S130000478,6340000,7599346.2,P100000001,14,N,해리중학교,
,공립,3,전북특별자치도 고창군,,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1000000,N,0,복식부기,예산세출,76075000,8060000,8500000,56601000,22567000,S130000479,3690000,5348272.7,P100000001,14,N,흥덕중학교,
