FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,제주특별자치도 제주시,교육부,제주특별자치도교육청,A000000001,0,N,0,복식부기,예산세출,724716000,171370000,33210000,540363000,1575578000,S000003566,164820000,3858241.6,A000000001,18,일반고등학교,N,제주대학교사범대학부설고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,2000000,N,0,복식부기,예산세출,208251000,109140000,35445000,176534000,692732000,S170000122,10520000,4021570.0,T100000001,18,일반고등학교,N,대정고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,3000000,N,0,복식부기,예산세출,222193000,161355000,27265000,98165000,458011000,S170000123,8990000,3296225.6,T100000001,18,일반고등학교,N,대정여자고등학교,,고,4.0
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,10000000,N,0,복식부기,예산세출,280012000,75055000,134000000,301212000,1030746000,S170000124,49608000,3083004.9,T100000001,18,일반고등학교,N,서귀포고등학교,,,
공립,4,제주특별자치도 서귀포시,제주특별자치도교육청,제주특별자치도교육청,T100000001,2000000,N,0,복식부기,예산세출,253413000,106500000,45997000,324776000,1077889000,S170000125,27480000,3104822.6,T100000001,18,일반고등학교,N,서귀포여자고등학교,,고,4.0
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,4800000,N,0,복식부기,예산세출,347868000,72597000,59490000,119899000,973425000,S170000126,18890000,2946437.3,T100000001,18,일반고등학교,N,세화고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,6600000,N,0,복식부기,예산세출,712319000,267270000,227790000,639146000,1724987000,S170000127,26760000,3118401.4,T100000001,18,일반고등학교,N,제주제일고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,4000000,N,0,복식부기,예산세출,507668000,146958000,119834000,518006000,1627788000,S170000128,18158000,2487246.0,T100000001,18,일반고등학교,N,제주중앙여자고등학교,,고,4.0
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,4800000,N,0,복식부기,예산세출,305823000,100332000,39220000,322877000,883625000,S170000129,36953000,2966077.1,T100000001,18,일반고등학교,N,한림고등학교,,,
공립,4,제주특별자치도 제주시,제주특별자치도교육청,제주특별자치도교육청,T100000001,3000000,N,0,복식부기,예산세출,263739000,115948000,183064000,1151213000,890170000,S170000140,20713000,6472529.6,T100000001,18,일반고등학교,N,애월고등학교,,,
