SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,제주특별자치도 제주시,3.0,제주시교육지원청,제주특별자치도교육청,A000000001,N,복식부기,예산세입,65620000,15899000,0,149240000,1162486000,S000003567,1098845000,A000000001,18,N,제주대학교사범대학부설중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,3000000,1000000,0,24413000,10000000,S170000160,506072000,T100000001,18,N,김녕중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,7000000,3000000,0,31248000,0,S170000161,583606000,T100000001,18,N,세화중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,6000000,5312000,0,40144000,0,S170000162,602329000,T100000001,18,N,신엄중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,10000000,1800000,0,40626000,0,S170000163,858227000,T100000001,18,N,신창중학교,
중,공립,3,제주특별자치도 제주시,3.0,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,5000000,3350000,0,71651000,0,S170000164,818617000,T100000001,18,N,애월중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,3000000,3000000,0,41864000,0,S170000165,645675000,T100000001,18,N,우도중학교,
중,공립,3,제주특별자치도 제주시,3.0,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,9000000,5900000,0,36204000,0,S170000166,836908000,T100000001,18,N,저청중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,5000000,2000000,0,80088000,0,S170000167,888351000,T100000001,18,N,조천중학교,
,공립,3,제주특별자치도 제주시,,제주시교육지원청,제주특별자치도교육청,T100000110,N,복식부기,예산세입,3000000,540000,0,15810000,4956000,S170000168,262375000,T100000001,18,N,추자중학교,
