FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,제주특별자치도 제주시,교육부,제주특별자치도교육청,A000000001,5263000,N,200863900,복식부기,결산세출,282786892,273624530,205119610,317870150,597612660,S000003565,46205970,4507819.4,A000000001,18,N,제주대학교교육대학부설초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,10307140,복식부기,결산세출,117085820,82435600,92563580,83979190,154741840,S170000174,13617300,6232926.6,T100000001,18,N,고산초등학교,초,2.0,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,92987030,174341470,58193790,113635190,119423060,S170000175,36231260,6132080.4,T100000001,18,N,곽금초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,160063330,N,0,복식부기,결산세출,168598550,348133710,134759500,221997510,358895720,S170000176,27512900,4164109.1,T100000001,18,N,광령초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,117823100,복식부기,결산세출,139945990,220823280,121317620,180075450,270396710,S170000177,16510730,4784273.0,T100000001,18,N,구엄초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,130186290,342221130,55341180,129947540,147710820,S170000178,8142600,11963964.1,T100000001,18,N,구좌중앙초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,107044880,90969450,92171420,154410170,189118490,S170000179,6759910,7624694.3,T100000001,18,N,귀덕초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,104944020,295232810,92731460,95832290,167542790,S170000180,11232010,8527948.7,T100000001,18,N,금악초등학교,초,2.0,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,96695850,복식부기,결산세출,184944410,211487360,146974310,351076210,259089300,S170000181,22742400,12604057.8,T100000001,18,N,김녕초등학교,초,2.0,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,114241160,104128160,170115620,136520180,213757720,S170000182,12089710,5561870.7,T100000001,18,N,납읍초등학교,초,2.0,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,153087810,273261990,135192860,150736710,370098390,S170000183,12928940,4544841.1,T100000001,18,N,대흘초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,미지정,결산세출,131425230,393767170,115568600,95863640,167572600,S170000186,15648870,7861932.6,T100000001,18,N,물메초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,116505730,208766550,99550720,139963390,140360490,S170000187,8205140,8392376.7,T100000001,18,N,북촌초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,120175450,354473440,91727370,102372080,172349930,S170000190,10258410,6810853.4,T100000001,18,N,세화초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,28270,N,117799000,복식부기,결산세출,133580810,187999420,121909210,85403330,111004140,S170000191,1616800,11004941.7,T100000001,18,N,송당초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,5204200,N,167772190,복식부기,결산세출,146564840,50712080,58400140,97878960,205565000,S170000192,22814870,4414691.7,T100000001,18,N,수원초등학교,초,2.0,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,Y,0,복식부기,,0,0,0,0,0,S170000194,0,,T100000001,18,N,신창초등학교,초,2.0,"초중통합학교로써 예,결산서 분리가 어려워 중학교로 공시함"
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,242052410,복식부기,결산세출,110497160,216127150,154720960,209809530,318457200,S170000195,7139840,4679569.7,T100000001,18,N,신촌초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,239040,N,0,복식부기,결산세출,143590960,370181500,104844830,126668130,255419400,S170000196,13975040,5486048.1,T100000001,18,N,애월초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,34458200,N,47494600,미지정,결산세출,134420320,210149140,58020970,136839100,151272770,S170000197,25988020,7534369.1,T100000001,18,N,어도초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,Y,0,복식부기,,0,0,0,0,0,S170000198,0,,T100000001,18,N,우도초등학교,,,통합학교로 상급학교인 우도중에서 입력
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,141878680,214314050,103888950,126546190,336945220,S170000200,44868000,3282851.2,T100000001,18,N,장전초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,미지정,결산세출,156112090,317583770,152083030,199968640,287366210,S170000201,13254280,4434519.8,T100000001,18,N,재릉초등학교,초,2.0,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,Y,0,미지정,,0,0,0,0,0,S170000202,0,,T100000001,18,N,저청초등학교,,,초중통합학교로 중학교에서 처리
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,145104470,복식부기,결산세출,173971540,249336910,254609040,323487870,587891150,S170000204,40860130,6038303.1,T100000001,18,N,조천초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,미지정,결산세출,132185850,41399420,69020940,82805410,128689940,S170000205,24624260,6938055.4,T100000001,18,N,종달초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,87341890,복식부기,결산세출,151324640,131133500,59382540,208190520,134949060,S170000206,33836500,18747875.6,T100000001,18,N,추자초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,67106000,복식부기,결산세출,128808170,136698760,43225220,85175530,115917500,S170000208,6459850,10058466.0,T100000001,18,N,평대초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,97637110,복식부기,결산세출,213042780,238133540,138733450,158989660,378886950,S170000209,20646590,4514746.7,T100000001,18,N,하귀초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,182149650,복식부기,결산세출,104540390,153251700,113978280,131124870,126299490,S170000210,5931680,10215950.8,T100000001,18,N,하도초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,76032650,복식부기,결산세출,85078320,68186240,42118660,74648000,109563470,S170000211,4396000,8518950.7,T100000001,18,N,한동초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,922619900,미지정,결산세출,236041910,366123560,228994350,285990880,458568070,S170000212,19817950,5415390.6,T100000001,18,N,한림초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,380660,N,23711000,미지정,결산세출,352935100,445306430,378926240,403457500,765874720,S170000213,33091960,5377368.3,T100000001,18,N,함덕초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,N,0,복식부기,결산세출,109809120,52079100,38500730,133017420,122045490,S170000219,35501400,4909532.6,T100000001,18,N,더럭초등학교,,,
공립,2,제주특별자치도 제주시,제주시교육지원청,제주특별자치도교육청,T100000110,0,Y,0,복식부기,,0,0,0,0,0,S170000228,0,,T100000001,18,N,선흘초등학교,초,2.0,2022.3.1.본교 승격
