FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
국립,2,충청남도 공주시,교육부,충청남도교육청,A000000001,1000000,N,0,복식부기,예산세출,411475000,197554000,463409000,524964000,699682000,S000003499,63100000,5023795.7,A000000001,13,N,공주교육대학교부설초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1500000,N,0,복식부기,예산세출,117030000,38660000,45940000,71244000,176795000,S120000293,5200000,21731857.1,N100000001,13,N,경천초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1001000,N,0,복식부기,예산세출,160437000,26550000,40520000,58214000,85347000,S120000294,3200000,7818104.2,N100000001,13,N,계룡초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1000000,N,0,복식부기,예산세출,190399000,34224000,66360000,68017000,208445000,S120000295,8250000,4032832.2,N100000001,13,N,공주교동초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1000000,N,0,복식부기,예산세출,129610000,37828000,59740000,66050000,82824000,S120000296,7450000,6745649.1,N100000001,13,N,공주금학초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,예산세출,169021000,33680000,33742000,42915000,301002000,S120000297,6770000,7073855.4,N100000001,13,N,공주봉황초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,예산세출,486418000,120980000,695778000,447620000,801903000,S120000298,25500000,2172029.5,N100000001,13,N,공주신월초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,3000000,N,0,복식부기,예산세출,220604000,46070000,192750000,100687000,252818000,S120000299,10547000,5264178.3,N100000001,13,N,공주중동초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1000000,N,0,복식부기,예산세출,130205000,27580000,44850000,47730000,136371000,S120000302,7860000,12362375.0,N100000001,13,N,구산초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1000000,N,0,복식부기,예산세출,126919000,26522000,58105000,82737000,150536000,S120000304,5350000,8203072.7,N100000001,13,N,귀산초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,200000,N,0,복식부기,예산세출,124033000,23752000,29000000,42479000,163953000,S120000312,3370000,18418428.6,N100000001,13,N,덕암초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1600000,N,0,복식부기,예산세출,122127000,36910000,48980000,50650000,141147000,S120000315,8300000,20485700.0,N100000001,13,N,마곡초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,500000,N,0,복식부기,예산세출,152528000,23390000,50400000,47128000,130580000,S120000317,7014000,9353181.8,N100000001,13,N,반포초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,예산세출,115009000,28343000,46780000,60035000,227993000,S120000323,6472000,8214101.7,N100000001,13,N,상서초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1000000,N,0,복식부기,예산세출,125202000,48500000,34625000,59380000,176158000,S120000326,7090000,9223571.4,N100000001,13,N,석송초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,예산세출,128159000,58210000,53970000,65963000,153241000,S120000330,9260000,8845339.6,N100000001,13,N,수촌초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1000000,N,0,복식부기,예산세출,371224000,79864000,318966000,230055000,454542000,S120000331,23080000,2594264.9,N100000001,13,N,신관초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,500000,N,0,복식부기,예산세출,127750000,28480000,46521000,97690000,71455000,S120000332,7686000,14618538.5,N100000001,13,N,신풍초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,800000,N,0,복식부기,예산세출,135056000,34640000,39460000,70529000,238002000,S120000338,5411000,13786789.5,N100000001,13,N,우성초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,201000,N,0,복식부기,예산세출,156387000,20775000,58151000,66073000,178167000,S120000343,4750000,5505727.3,N100000001,13,N,유구초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1662000,N,0,복식부기,예산세출,119018000,35404000,38500000,66040000,216244000,S120000345,5760000,8321172.4,N100000001,13,N,의당초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,1000000,N,0,복식부기,예산세출,155419000,18650000,42340000,46721000,211259000,S120000348,8450000,12732605.3,N100000001,13,N,이인초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,500000,N,0,복식부기,예산세출,125664000,25620000,52212000,56704000,206403000,S120000353,4750000,11234595.2,N100000001,13,N,정안초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,370000,N,0,복식부기,예산세출,197601000,29250000,63600000,65377000,184671000,S120000360,8876000,15270694.4,N100000001,13,N,탄천초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,300000,N,0,복식부기,예산세출,105102000,29280000,33810000,76625000,192098000,S120000361,3600000,12594714.3,N100000001,13,N,태봉초등학교,초,2.0,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,2000000,N,0,복식부기,예산세출,139132000,24640000,35300000,45729000,138377000,S120000362,5140000,10549135.1,N100000001,13,N,학봉초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,280000,N,0,복식부기,예산세출,147810000,22750000,38780000,34867000,158369000,S120000364,7050000,15181703.7,N100000001,13,N,호계초등학교,,,
공립,2,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,200000,N,0,복식부기,예산세출,121960000,30040000,42650000,44440000,76265000,S120000366,3800000,9392794.1,N100000001,13,N,효포초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,871000,N,0,복식부기,예산세출,110419000,37719000,44290000,89484000,87063000,S120000376,11558000,10594555.6,N100000001,13,N,군북초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,0,Y,0,복식부기,,0,0,0,0,0,S120000378,0,,N100000001,13,Y,금성초등학교금계분교장,,,본교는 해당 항목에 대해서 통계자료가 없으므로 제외 함.
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,500000,N,0,복식부기,예산세출,155241000,45690000,45263000,79505000,148080000,S120000382,7900000,5184720.4,N100000001,13,N,금산동초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,4000000,N,0,복식부기,예산세출,292690000,55544000,151642000,199785000,443836000,S120000383,14150000,2440434.9,N100000001,13,N,금산중앙초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,5000000,N,0,복식부기,예산세출,256072000,103160000,159213000,199035000,489654000,S120000385,17880000,2782837.1,N100000001,13,N,금산초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,500000,N,0,복식부기,예산세출,193607000,36500000,67910000,111630000,120872000,S120000386,9360000,20014037.0,N100000001,13,N,금성초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,2000000,N,0,복식부기,예산세출,118974000,27730000,30340000,36801000,70984000,S120000389,5200000,17178176.5,N100000001,13,N,남이초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,591000,N,0,복식부기,예산세출,126249000,25844000,105539000,85873000,100776000,S120000392,6970000,9413375.0,N100000001,13,N,남일초등학교,초,2.0,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,1596000,N,0,복식부기,예산세출,143960000,26010000,47575000,47029000,113756000,S120000395,6930000,16119000.0,N100000001,13,N,복수초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,1877000,N,0,복식부기,예산세출,128358000,23350000,46030000,54125000,149531000,S120000399,9900000,11476972.2,N100000001,13,N,부리초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,2000000,N,0,복식부기,예산세출,119609000,34797000,58208000,42992000,183207000,S120000402,6290000,17196269.2,N100000001,13,N,상곡초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,500000,N,0,복식부기,예산세출,106647000,23832000,68850000,64897000,88395000,S120000405,4700000,11181906.3,N100000001,13,N,성대초등학교,초,2.0,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,610000,N,0,복식부기,예산세출,119394000,26836000,41060000,48707000,64480000,S120000406,7280000,15418350.0,N100000001,13,N,신대초등학교,,,
공립,2,충청남도 금산군,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,0,복식부기,예산세출,136975000,63150000,51464000,68550000,144146000,S120000408,8500000,5909812.5,N100000001,13,N,용문초등학교,,,
