SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,04,서울특별시 강동구,4,서울특별시교육청,서울특별시교육청,B100000001,300000,N,0,복식부기,예산세출,390255000,238406000,11800000,89250000,146748000,S010000371,4090326000,6794917.9,B100000001,01,일반고등학교,N,강동고등학교
고,사립,04,서울특별시 양천구,4,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,50000000,복식부기,예산세출,497223000,259231000,31408000,95770000,207102000,S010000372,5789026000,6886554.1,B100000001,01,일반고등학교,N,강서고등학교
,사립,04,서울특별시 광진구,,서울특별시교육청,서울특별시교육청,B100000001,1000,N,62000000,복식부기,예산세출,616796000,288369000,21800000,77177000,257261000,S010000374,6793931000,8125460.5,B100000001,01,일반고등학교,N,건국대학교사범대학부속고등학교
고,사립,04,서울특별시 동작구,4,서울특별시교육청,서울특별시교육청,B100000001,6000000,N,20000000,복식부기,예산세출,588303000,163228000,78600000,336586000,373225000,S010000378,4137909000,8668466.6,B100000001,01,일반고등학교,N,경문고등학교
,사립,04,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,44000000,복식부기,예산세출,407747000,188449000,74854000,184782000,617900000,S010000380,4867151000,10054933.9,B100000001,01,일반고등학교,N,경복여자고등학교
고,사립,04,서울특별시 마포구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,23000000,복식부기,예산세출,347447000,261169000,411200000,92410000,131831000,S010000381,4191256000,8475641.3,B100000001,01,일반고등학교,N,경성고등학교
,사립,04,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,10495000,N,0,복식부기,예산세출,643818000,118475000,98000000,37538000,75077000,S010000382,4762214000,12409540.0,B100000001,01,일반고등학교,N,경신고등학교
고,사립,04,서울특별시 동대문구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,20000000,복식부기,예산세출,391971000,207149000,60270000,128220000,665425000,S010000384,4370965000,7865410.5,B100000001,01,자율고등학교,N,경희고등학교
,사립,04,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,489915000,122316000,50280000,190736000,62521000,S010000385,3885751000,12838286.1,B100000001,01,일반고등학교,N,경희여자고등학교
고,사립,04,서울특별시 성북구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,12000000,복식부기,예산세출,685662000,323484000,53583000,419571000,382055000,S010000386,4972396000,7845075.6,B100000001,01,일반고등학교,N,계성고등학교
,사립,04,서울특별시 성북구,,서울특별시교육청,서울특별시교육청,B100000001,8000000,N,35000000,복식부기,예산세출,458304000,150133000,59504000,411837000,219067000,S010000387,5678453000,9929700.1,B100000001,01,일반고등학교,N,고려대학교사범대학부속고등학교
고,사립,04,서울특별시 강동구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,1980000,복식부기,예산세출,599123000,405396000,28550000,86640000,149044000,S010000392,6914459000,6942486.9,B100000001,01,일반고등학교,N,광문고등학교
,사립,04,서울특별시 마포구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,74836000,복식부기,예산세출,392738000,253447000,434300000,572023000,852644000,S010000393,5102704000,10162291.0,B100000001,01,일반고등학교,N,광성고등학교
,사립,04,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,467732000,195561000,11412000,64104000,160914000,S010000394,4212914000,9701398.5,B100000001,01,일반고등학교,N,광신고등학교
고,사립,04,서울특별시 양천구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,671551000,220307000,4600000,67730000,138148000,S010000396,6316639000,8354701.6,B100000001,01,일반고등학교,N,광영고등학교
고,사립,04,서울특별시 양천구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,616622000,207121000,17000000,80300000,149812000,S010000397,6926490000,8553310.2,B100000001,01,일반고등학교,N,광영여자고등학교
고,사립,04,서울특별시 관악구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,65000000,복식부기,예산세출,444736000,105832000,39298000,144025000,192764000,S010000403,5604203000,9800680.5,B100000001,01,일반고등학교,N,남강고등학교
,사립,04,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,629600000,175125000,65083000,389154000,160127000,S010000405,6431621000,6826704.3,B100000001,01,일반고등학교,N,단국대학교사범대학부속고등학교
고,사립,04,서울특별시 동대문구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,24000000,복식부기,예산세출,617884000,294948000,116798000,206804000,283012000,S010000407,4209739000,7640351.9,B100000001,01,자율고등학교,N,대광고등학교
고,사립,04,서울특별시 은평구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,410694000,164296000,84200000,475863000,825616000,S010000408,5668099000,10090963.0,B100000001,01,일반고등학교,N,대성고등학교
,사립,04,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,250000000,복식부기,예산세출,530531000,187232000,30650000,55385000,119424000,S010000409,4247867000,15667887.3,B100000001,01,일반고등학교,N,대신고등학교
,사립,04,서울특별시 광진구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,62275000,복식부기,예산세출,448970000,221696000,144480000,49390000,1866382000,S010000411,4383896000,10477502.2,B100000001,01,일반고등학교,N,대원고등학교
,사립,04,서울특별시 광진구,,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,5876000,복식부기,예산세출,591397000,117433000,48450000,415589000,189399000,S010000412,4463349000,9127532.1,B100000001,01,일반고등학교,N,대원여자고등학교
고,사립,04,서울특별시 강서구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,585978000,439975000,97600000,91400000,221342000,S010000413,5567290000,6832765.9,B100000001,01,일반고등학교,N,대일고등학교
,사립,04,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,24000000,복식부기,예산세출,984795000,79415000,32000000,377355000,274236000,S010000414,5882092000,9882442.6,B100000001,01,일반고등학교,N,대진고등학교
,사립,04,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,55000000,N,5000000,복식부기,예산세출,558817000,89869000,38930000,208850000,436547000,S010000415,7523630000,10296354.5,B100000001,01,일반고등학교,N,대진여자고등학교
,사립,04,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,90000000,N,25000000,복식부기,예산세출,489698000,128607000,68700000,240650000,106580000,S010000416,6490737000,17207144.1,B100000001,01,특성화고등학교,N,대진디자인고등학교
고,사립,04,서울특별시 종로구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,469339000,279367000,163700000,97080000,304055000,S010000417,4672608000,10232733.3,B100000001,01,일반고등학교,N,덕성여자고등학교
고,사립,04,서울특별시 강서구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,583595000,1553054000,115240000,120334000,149310000,S010000418,6577845000,10121666.3,B100000001,01,일반고등학교,N,덕원여자고등학교
,사립,04,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,143000000,복식부기,예산세출,645783000,165704000,42900000,177522000,135448000,S010000420,5923690000,7663185.4,B100000001,01,일반고등학교,N,동국대학교사범대학부속고등학교
,사립,04,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,638251000,223746000,26960000,65460000,163461000,S010000421,6136858000,8133112.1,B100000001,01,일반고등학교,N,동덕여자고등학교
,사립,04,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,467585000,219453000,50150000,558975000,311890000,S010000422,6347581000,9092153.1,B100000001,01,일반고등학교,N,동명여자고등학교
고,사립,04,서울특별시 강동구,4,서울특별시교육청,서울특별시교육청,B100000001,2000000,N,0,복식부기,예산세출,465056000,325162000,614060000,314496000,538661000,S010000423,6497864000,9773771.2,B100000001,01,일반고등학교,N,동북고등학교
고,사립,04,서울특별시 종로구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,100211000,복식부기,예산세출,479884000,131924000,37377000,102822000,123336000,S010000424,5259115000,10187367.6,B100000001,01,일반고등학교,N,동성고등학교
,사립,04,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,2100000,N,107800000,복식부기,예산세출,432269000,274485000,18310000,105961000,788288000,S010000425,5302701000,11197315.3,B100000001,01,일반고등학교,N,동일여자고등학교
,사립,04,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,48000000,복식부기,예산세출,385124000,154096000,70045000,61865000,180518000,S010000426,4563042000,14055758.4,B100000001,01,특성화고등학교,N,서울매그넷고등학교
,사립,04,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,380024000,219281000,51500000,150628000,207493000,S010000429,5238740000,8113851.9,B100000001,01,일반고등학교,N,마포고등학교
,사립,04,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,327828000,108012000,32722000,256170000,6002486000,S010000431,5412301000,15425055.9,B100000001,01,일반고등학교,N,명덕고등학교
고,사립,04,서울특별시 강서구,4,서울특별시교육청,서울특별시교육청,B100000001,8000000,N,0,복식부기,예산세출,645650000,217997000,24790000,158356000,649424000,S010000432,7204219000,8356881.8,B100000001,01,일반고등학교,N,명덕여자고등학교
고,사립,04,서울특별시 광진구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,536705000,254364000,25800000,72822000,119203000,S010000433,5706070000,9918706.1,B100000001,01,일반고등학교,N,동국대학교사범대학부속가람고등학교
고,사립,04,서울특별시 서대문구,4,서울특별시교육청,서울특별시교육청,B100000001,500000,N,0,복식부기,예산세출,639159000,250700000,18300000,88229000,368227000,S010000435,7868624000,6804523.9,B100000001,01,일반고등학교,N,명지고등학교
,사립,04,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,3000000,N,20000000,복식부기,예산세출,377744000,209860000,10050000,70582000,359750000,S010000437,5100830000,9703179.8,B100000001,01,일반고등학교,N,서울문영여자고등학교
고,사립,04,서울특별시 금천구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,656686000,197330000,15800000,63607000,620688000,S010000438,5699247000,9044087.3,B100000001,01,일반고등학교,N,문일고등학교
고,사립,04,서울특별시 관악구,4,서울특별시교육청,서울특별시교육청,B100000001,100000,N,39328000,복식부기,예산세출,359921000,245576000,18730000,43140000,182387000,S010000439,3703120000,9240044.3,B100000001,01,일반고등학교,N,미림여자고등학교
고,사립,04,서울특별시 송파구,4,서울특별시교육청,서울특별시교육청,B100000001,40000000,N,40000000,복식부기,예산세출,413866000,271986000,882400000,604900000,882055000,S010000441,6169456000,11822951.7,B100000001,01,일반고등학교,N,배명고등학교
고,사립,04,서울특별시 용산구,4,서울특별시교육청,서울특별시교육청,B100000001,2000000,N,24960000,복식부기,예산세출,275646000,212184000,66658000,80005000,348854000,S010000442,3990016000,14881913.7,B100000001,01,일반고등학교,N,배문고등학교
고,사립,04,서울특별시 강동구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,130000000,복식부기,예산세출,1106875000,356826000,1159228000,686839000,1865377000,S010000443,7715855000,10148869.8,B100000001,01,자율고등학교,N,배재고등학교
고,사립,04,서울특별시 종로구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,446316000,177177000,30000000,55900000,93456000,S010000444,4801752000,11676252.1,B100000001,01,일반고등학교,N,배화여자고등학교
고,사립,04,서울특별시 양천구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,645097000,91767000,23700000,168970000,150801000,S010000445,6025717000,6780584.0,B100000001,01,일반고등학교,N,백암고등학교
고,사립,04,서울특별시 송파구,4,서울특별시교육청,서울특별시교육청,B100000001,13000000,N,0,복식부기,예산세출,580035000,201558000,240637000,90076000,501861000,S010000446,6256086000,9829492.5,B100000001,01,일반고등학교,N,보성고등학교
고,사립,04,서울특별시 용산구,4,서울특별시교육청,서울특별시교육청,B100000001,14000000,N,0,복식부기,예산세출,332831000,125201000,24248000,177477000,114871000,S010000447,3866292000,12314603.2,B100000001,01,일반고등학교,N,보성여자고등학교
,사립,04,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,20000000,N,70000000,복식부기,예산세출,303583000,271806000,20200000,130041000,167970000,S010000450,3784916000,13624331.4,B100000001,01,일반고등학교,N,상명대학교사범대학부속여자고등학교
고,사립,04,서울특별시 노원구,4,서울특별시교육청,서울특별시교육청,B100000001,1000,N,108535000,복식부기,예산세출,532991000,196953000,92940000,90470000,1040537000,S010000451,5858960000,9210915.1,B100000001,01,일반고등학교,N,상명고등학교
고,사립,04,서울특별시 서초구,4,서울특별시교육청,서울특별시교육청,B100000001,10000000,N,0,복식부기,예산세출,1015218000,240339000,20080000,166685000,173816000,S010000452,6797773000,6733741.8,B100000001,01,일반고등학교,N,상문고등학교
고,사립,04,서울특별시 강동구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,58000000,복식부기,예산세출,496268000,205824000,21927000,86055000,136141000,S010000453,5908330000,8576358.6,B100000001,01,일반고등학교,N,상일여자고등학교
고,사립,04,서울특별시 노원구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,20000000,복식부기,예산세출,662616000,206717000,18500000,79460000,288142000,S010000454,6816447000,7758276.1,B100000001,01,일반고등학교,N,서라벌고등학교
