FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,02,서울특별시 강서구,서울특별시강서양천교육지원청,서울특별시교육청,B100000271,0,N,37079400,미지정,결산세출,430876966,135554150,900704140,378128957,806237610,S010001061,1687771370,13024858.9,B100000001,01,N,유석초등학교,,
사립,02,서울특별시 금천구,서울특별시남부교육지원청,서울특별시교육청,B100000282,0,N,500271540,복식부기,결산세출,266025226,532252811,1445671980,632639445,1393559150,S010001197,1630192890,14160648.3,B100000001,01,N,동광초등학교,,
사립,02,서울특별시 동대문구,서울특별시동부교육지원청,서울특별시교육청,B100000293,120000000,N,306583930,복식부기,결산세출,282278032,128254647,1204892205,891261108,1510508030,S010001394,3580396855,12879895.4,B100000001,01,N,경희초등학교,초,2
사립,02,서울특별시 중랑구,서울특별시동부교육지원청,서울특별시교육청,B100000293,0,N,1029479820,복식부기,결산세출,926079501,141036534,521884290,1081042150,1326329347,S010001395,2929989900,12588356.9,B100000001,01,N,금성초등학교,초,2
사립,02,서울특별시 동대문구,서울특별시동부교육지원청,서울특별시교육청,B100000293,103000,N,412265620,복식부기,결산세출,402979917,227791761,1294128520,1264367905,1673179160,S010001396,2274097800,10543175.5,B100000001,01,N,서울삼육초등학교,,
사립,02,서울특별시 동대문구,서울특별시동부교육지원청,서울특별시교육청,B100000293,0,N,642408340,미지정,결산세출,610486666,252974340,1189820040,447385800,1261851410,S010001434,3903116632,12290004.8,B100000001,01,N,은석초등학교,,
사립,02,서울특별시 동작구,서울특별시동작관악교육지원청,서울특별시교육청,B100000304,0,N,529810460,복식부기,결산세출,444852295,507615633,1352004061,597772171,909178555,S010001613,3997291442,11469772.5,B100000001,01,N,중앙대학교사범대학부속초등학교,,
사립,02,서울특별시 도봉구,서울특별시북부교육지원청,서울특별시교육청,B100000315,0,N,1909528070,복식부기,결산세출,764384884,364217419,1111892042,1380401374,1668441530,S010001733,2421129250,12964952.2,B100000001,01,N,동북초등학교,,
사립,02,서울특별시 노원구,서울특별시북부교육지원청,서울특별시교육청,B100000315,0,N,646049540,복식부기,결산세출,471394820,199157712,1665229500,478930850,1416192612,S010001734,3157118870,11267985.8,B100000001,01,N,상명초등학교,초,2
사립,02,서울특별시 노원구,서울특별시북부교육지원청,서울특별시교육청,B100000315,0,N,224385160,복식부기,결산세출,572196356,296817542,1383217868,885451450,1219658594,S010001792,2778134160,10544213.7,B100000001,01,N,청원초등학교,,
사립,02,서울특별시 노원구,서울특별시북부교육지원청,서울특별시교육청,B100000315,0,N,1160406990,미지정,결산세출,461042914,433254270,1210804060,1222545608,1542028560,S010001793,2521485170,11120374.0,B100000001,01,N,태강삼육초등학교,,
사립,02,서울특별시 도봉구,서울특별시북부교육지원청,서울특별시교육청,B100000315,0,N,17694500,복식부기,결산세출,393667428,422743256,1821604630,762287575,1841793437,S010001794,2273636375,13357140.4,B100000001,01,N,한신초등학교,초,2
사립,02,서울특별시 노원구,서울특별시북부교육지원청,서울특별시교육청,B100000315,0,N,333215920,복식부기,결산세출,756386568,358036855,1411049715,816593248,1606065938,S010001795,3273786192,12655524.3,B100000001,01,N,화랑초등학교,,
사립,02,서울특별시 서대문구,서울특별시서부교육지원청,서울특별시교육청,B100000326,0,N,601300210,복식부기,결산세출,848330548,209577335,582281410,546922029,1318993670,S010001966,3841210350,13823679.2,B100000001,01,N,경기초등학교,,
사립,02,서울특별시 서대문구,서울특별시서부교육지원청,서울특별시교육청,B100000326,0,N,423529469,복식부기,결산세출,401524001,597790201,1286561530,299889380,855112300,S010001967,4207605788,11783960.1,B100000001,01,N,명지초등학교,,
사립,02,서울특별시 은평구,서울특별시서부교육지원청,서울특별시교육청,B100000326,0,N,239271630,미지정,결산세출,218872029,319879084,793045819,333766197,1028176030,S010002019,2601064650,12663788.2,B100000001,01,N,선일초등학교,초,2
