SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,강원특별자치도 강릉시,4.0,강원특별자치도교육청,강원특별자치도교육청,K100000001,71187250,N,903342650,미지정,결산세출,379813170,616174760,246529250,508016130,1028381360,S100000356,4347529400,15459874.0,K100000001,11,일반고등학교,N,강릉명륜고등학교
,사립,4,강원특별자치도 강릉시,,강원특별자치도교육청,강원특별자치도교육청,K100000001,70348460,N,289507200,복식부기,결산세출,570556639,181227070,497448800,473312220,1053277150,S100000357,5259739790,12996002.1,K100000001,11,일반고등학교,N,강릉문성고등학교
,사립,4,강원특별자치도 춘천시,,강원특별자치도교육청,강원특별자치도교육청,K100000001,35088420,N,2007351180,복식부기,결산세출,482450830,533769782,560432190,475438840,1531127300,S100000364,4341975970,16421144.2,K100000001,11,일반고등학교,N,강원고등학교
고,사립,4,강원특별자치도 강릉시,4.0,강원특별자치도교육청,강원특별자치도교육청,K100000001,406579640,N,1104232050,복식부기,결산세출,579616600,254962920,207042960,641331900,1153067900,S100000371,5542593590,14961312.5,K100000001,11,일반고등학교,N,강일여자고등학교
고,사립,4,강원특별자치도 평창군,4.0,강원특별자치도교육청,강원특별자치도교육청,K100000001,148555660,N,661525220,복식부기,결산세출,263589460,153059270,521354010,277992260,331866640,S100000387,1782029880,54473321.1,K100000001,11,일반고등학교,N,상지대관령고등학교
고,사립,4,강원특별자치도 원주시,4.0,강원특별자치도교육청,강원특별자치도교육청,K100000001,49220830,N,2643245060,복식부기,결산세출,560473850,675728350,148011040,592840440,1578230600,S100000389,5543169490,13710371.7,K100000001,11,일반고등학교,N,대성고등학교
,사립,4,강원특별자치도 동해시,,강원특별자치도교육청,강원특별자치도교육청,K100000001,28672410,N,2655038080,복식부기,결산세출,396194470,389497630,281214440,551681250,1487703520,S100000400,5314841520,18294634.8,K100000001,11,일반고등학교,N,동해광희고등학교
,사립,4,강원특별자치도 동해시,,강원특별자치도교육청,강원특별자치도교육청,K100000001,46926620,N,211871470,미지정,결산세출,139393180,382364390,59093580,180684780,857337280,S100000401,1506389040,36387745.6,K100000001,11,일반고등학교,N,동해삼육고등학교
,사립,4,강원특별자치도 횡성군,,강원특별자치도교육청,강원특별자치도교육청,K100000001,0,N,1782007990,미지정,결산세출,1295960027,1132076115,329610558,2138090385,3082473219,S100000414,8614159389,40561540.1,K100000001,11,자율고등학교,N,민족사관고등학교
고,사립,4,강원특별자치도 삼척시,4.0,강원특별자치도교육청,강원특별자치도교육청,K100000001,19665120,N,188407530,복식부기,결산세출,195807201,160260010,365706210,370927320,554554600,S100000425,2164679500,18356198.6,K100000001,11,일반고등학교,N,삼일고등학교
