FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
사립,3,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,31631740,N,24956000,복식부기,결산세출,130601730,296221770,150062700,146882760,480642480,S100000768,2639299450,11573586.4,K100000001,11,N,동해광희중학교,,,
사립,3,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,114255650,N,46086370,미지정,결산세출,65334000,187993340,52538910,128367420,156045320,S100000769,868505660,19989218.1,K100000001,11,N,동해삼육중학교,,,
사립,3,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,49708360,N,102522020,미지정,결산세출,121069110,147218620,289493850,276399180,519607480,S100000835,2084765690,12090182.9,K100000001,11,N,삼일중학교,중,3.0,
사립,3,강원특별자치도 영월군,강원특별자치도영월교육지원청,강원특별자치도교육청,K100000184,93359790,N,573839000,복식부기,결산세출,116602420,325074180,138370930,265784280,374515620,S100001146,2031631510,18313914.6,K100000001,11,N,석정여자중학교,중,3.0,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,12324580,N,39757000,미지정,결산세출,76906750,102740250,23579640,59415730,77443850,S100001297,973855890,50593470.0,K100000001,11,N,귀래중학교,중,3.0,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,80600340,N,16927000,복식부기,결산세출,172884640,309183140,149357350,439029980,803489510,S100001299,3511807500,8787306.8,K100000001,11,N,원주대성중학교,중,3.0,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,153720920,N,0,복식부기,결산세출,129095180,1511743594,50422060,322632503,305664240,S100001304,2701886190,15311138.1,K100000001,11,N,상지여자중학교,중,3.0,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,78452400,N,59507000,복식부기,결산세출,138931645,376853358,71756824,487211596,276970060,S100001308,2131403570,12110657.0,K100000001,11,N,원주삼육중학교,,,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,52317160,N,31327000,복식부기,결산세출,125828628,630853350,59029050,280682630,357082440,S100001312,1758310450,12342437.1,K100000001,11,N,육민관중학교,,,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,43258540,N,1971801670,복식부기,결산세출,238473110,306028380,269528420,335790400,504191730,S100001315,3040116540,18084066.8,K100000001,11,N,진광중학교,중,3.0,
사립,3,강원특별자치도 정선군,강원특별자치도정선교육지원청,강원특별자치도교육청,K100000228,7127290,N,244880070,복식부기,결산세출,109332180,51903520,28572480,85350480,194521600,S100001571,859132530,46494710.3,K100000001,11,N,문곡중학교,,,
사립,3,강원특별자치도 춘천시,강원특별자치도춘천교육지원청,강원특별자치도교육청,K100000257,28735790,N,1022037020,복식부기,결산세출,181106280,744564560,211218150,346045930,698961990,S100001798,2870250200,11386044.6,K100000001,11,N,강원중학교,,,
사립,3,강원특별자치도 춘천시,강원특별자치도춘천교육지원청,강원특별자치도교육청,K100000257,127554770,N,726322322,미지정,결산세출,275577178,349629992,246669252,293503105,634627410,S100001810,3188197300,15056910.6,K100000001,11,N,유봉여자중학교,,,
사립,3,강원특별자치도 홍천군,강원특별자치도홍천교육지원청,강원특별자치도교육청,K100000306,54217681,N,225164920,복식부기,결산세출,54267644,132887200,11464700,151480640,372309390,S100002153,735419830,29444271.3,K100000001,11,N,팔렬중학교,중,3.0,
사립,3,강원특별자치도 횡성군,강원특별자치도횡성교육지원청,강원특별자치도교육청,K100000336,33530140,N,117844920,미지정,결산세출,163494740,513462450,160012840,294718040,533764730,S100002402,1926857900,14074006.6,K100000001,11,N,대동여자중학교,,,
