FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,N,복식부기,예산세입,119800000,1536000,0,71359000,0,S100000768,2993067000,K100000001,11,N,동해광희중학교,,
사립,3,강원특별자치도 동해시,강원특별자치도동해교육지원청,강원특별자치도교육청,K100000121,N,복식부기,예산세입,19278000,800000,0,50252000,7695000,S100000769,1040680000,K100000001,11,N,동해삼육중학교,,
사립,3,강원특별자치도 삼척시,강원특별자치도삼척교육지원청,강원특별자치도교육청,K100000137,N,복식부기,예산세입,500000,5600000,0,41118000,0,S100000835,2347020000,K100000001,11,N,삼일중학교,중,3.0
사립,3,강원특별자치도 영월군,강원특별자치도영월교육지원청,강원특별자치도교육청,K100000184,N,복식부기,예산세입,2000000,5442000,0,32373000,7581000,S100001146,2352907000,K100000001,11,N,석정여자중학교,중,3.0
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,N,복식부기,예산세입,3000000,100000,0,13956000,0,S100001297,1027399000,K100000001,11,N,귀래중학교,중,3.0
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,N,복식부기,예산세입,13000000,7080000,0,392108000,3200000,S100001299,4651683000,K100000001,11,N,원주대성중학교,중,3.0
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,N,복식부기,예산세입,0,0,0,0,0,S100001304,3214998000,K100000001,11,N,상지여자중학교,중,3.0
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,N,복식부기,예산세입,7000000,19000000,0,170998000,13900000,S100001308,2648841000,K100000001,11,N,원주삼육중학교,,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,N,복식부기,예산세입,14500000,5540000,0,93087000,4500000,S100001312,2494101000,K100000001,11,N,육민관중학교,,
사립,3,강원특별자치도 원주시,강원특별자치도원주교육지원청,강원특별자치도교육청,K100000198,N,복식부기,예산세입,11000000,3600000,0,32466000,3896000,S100001315,3638723000,K100000001,11,N,진광중학교,중,3.0
사립,3,강원특별자치도 정선군,강원특별자치도정선교육지원청,강원특별자치도교육청,K100000228,N,복식부기,예산세입,12000000,1780000,0,16511000,5000000,S100001571,1166531000,K100000001,11,N,문곡중학교,,
사립,3,강원특별자치도 춘천시,강원특별자치도춘천교육지원청,강원특별자치도교육청,K100000257,N,복식부기,예산세입,0,1000000,0,41175000,10000000,S100001798,3941533000,K100000001,11,N,강원중학교,,
사립,3,강원특별자치도 춘천시,강원특별자치도춘천교육지원청,강원특별자치도교육청,K100000257,N,복식부기,예산세입,0,11000000,0,83734000,1000000,S100001810,3734347000,K100000001,11,N,유봉여자중학교,,
사립,3,강원특별자치도 홍천군,강원특별자치도홍천교육지원청,강원특별자치도교육청,K100000306,N,복식부기,예산세입,17900000,2750000,0,407387000,71051000,S100002153,1046809000,K100000001,11,N,팔렬중학교,중,3.0
사립,3,강원특별자치도 횡성군,강원특별자치도횡성교육지원청,강원특별자치도교육청,K100000336,N,복식부기,예산세입,4000000,1520000,0,103899000,4260000,S100002402,2535501000,K100000001,11,N,대동여자중학교,,
