FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
사립,3,경기도 고양시 덕양구,경기도고양교육지원청,경기도교육청,J100000098,N,복식부기,결산세입,31549564,38810391,0,231872570,5507610,S090000956,9550039380,J100000001,10,N,고양제일중학교,중,3.0,
사립,3,경기도 광주시,경기도광주하남교육지원청,경기도교육청,J100000132,N,미지정,결산세입,6141350,108079290,0,111628010,11000000,S090001268,9696701880,J100000001,10,N,경화여자중학교,중,3.0,
사립,3,경기도 김포시,경기도김포교육지원청,경기도교육청,J100000158,N,미지정,결산세입,64192410,1216190,0,24248940,0,S090001492,2744405510,J100000001,10,N,분진중학교,중,3.0,
사립,3,경기도 김포시,경기도김포교육지원청,경기도교육청,J100000158,N,복식부기,결산세입,661163640,15163520,0,103970000,21000000,S090001493,4749672510,J100000001,10,N,양곡중학교,중,3.0,
사립,3,경기도 김포시,경기도김포교육지원청,경기도교육청,J100000158,N,미지정,결산세입,22387140,15910100,0,64001000,10832400,S090001495,6087830720,J100000001,10,N,통진중학교,중,3.0,
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,N,복식부기,결산세입,665540127,20035538,0,46888990,4000000,S090001575,7299456610,J100000001,10,N,광동중학교,중,3.0,
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,N,복식부기,결산세입,11976271,29371234,0,154202270,29015030,S090001584,6538378050,J100000001,10,N,동화중학교,중,3.0,
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,N,복식부기,결산세입,63531610,2929920,0,31864000,2500000,S090001588,3109954920,J100000001,10,N,수동중학교,중,3.0,
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,N,복식부기,결산세입,931920840,13613000,0,50153640,51150000,S090001589,6841798950,J100000001,10,N,심석중학교,중,3.0,
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,N,미지정,결산세입,5084449,7984552,0,194571290,2800000,S090001592,2052898240,J100000001,10,N,연세중학교,중,3.0,
사립,3,경기도 양주시,경기도동두천양주교육지원청,경기도교육청,J100000189,N,미지정,결산세입,23956560,10152548,0,79226730,1100000,S090001772,3663946090,J100000001,10,N,남문중학교,,,
사립,3,경기도 동두천시,경기도동두천양주교육지원청,경기도교육청,J100000189,N,복식부기,결산세입,172879828,9520112,0,134230780,150000,S090001775,3913050890,J100000001,10,N,동두천여자중학교,,,
사립,3,경기도 동두천시,경기도동두천양주교육지원청,경기도교육청,J100000189,N,미지정,결산세입,480373257,2728059,0,52691840,0,S090001777,4580209400,J100000001,10,N,동두천중학교,,,
사립,3,경기도 동두천시,경기도동두천양주교육지원청,경기도교육청,J100000189,N,미지정,결산세입,117005100,11709500,0,10381720,5100000,S090001778,5743865540,J100000001,10,N,한빛누리중학교,중,3.0,
사립,3,경기도 동두천시,경기도동두천양주교육지원청,경기도교육청,J100000189,N,복식부기,결산세입,20294280,17101450,0,377520000,8700000,S090001779,4519450690,J100000001,10,N,신흥중학교,중,3.0,
사립,3,경기도 양주시,경기도동두천양주교육지원청,경기도교육청,J100000189,N,미지정,결산세입,23467120,17131070,0,36925200,81000000,S090001781,3657361930,J100000001,10,N,조양중학교,,,
사립,3,경기도 부천시 원미구,경기도부천교육지원청,경기도교육청,J100000201,N,복식부기,결산세입,673621210,8162070,0,31065350,4300000,S090001902,4225643270,J100000001,10,N,소명여자중학교,,,
사립,3,경기도 성남시 중원구,경기도성남교육지원청,경기도교육청,J100000233,N,미지정,결산세입,2886450,19071620,0,60174530,10000000,S090002190,3882422240,J100000001,10,N,동광중학교,,,
사립,3,경기도 성남시 중원구,경기도성남교육지원청,경기도교육청,J100000233,N,복식부기,결산세입,9389990,10145620,0,317330150,3485570,S090002191,5733040730,J100000001,10,N,성일중학교,,,
사립,3,경기도 성남시 분당구,경기도성남교육지원청,경기도교육청,J100000233,N,복식부기,결산세입,3244320,103867070,0,27488280,1100000,S090002192,3869674040,J100000001,10,N,송림중학교,중,3.0,
사립,3,경기도 성남시 중원구,경기도성남교육지원청,경기도교육청,J100000233,N,복식부기,결산세입,8434770,1428900,0,24817450,7000000,S090002194,3404417360,J100000001,10,N,숭신여자중학교,,,
사립,3,경기도 성남시 수정구,경기도성남교육지원청,경기도교육청,J100000233,N,복식부기,결산세입,43710440,7233780,0,270367550,63486200,S090002207,4384089130,J100000001,10,N,풍생중학교,중,3.0,
사립,3,경기도 수원시 팔달구,경기도수원교육지원청,경기도교육청,J100000250,N,미지정,결산세입,355445310,11032780,0,582484510,17506000,S090002415,4542804750,J100000001,10,N,매향중학교,중,3.0,
사립,3,경기도 수원시 팔달구,경기도수원교육지원청,경기도교육청,J100000250,N,복식부기,결산세입,42606465,15702072,0,223949890,19257000,S090002420,6089396350,J100000001,10,N,삼일중학교,중,3.0,
사립,3,경기도 수원시 팔달구,경기도수원교육지원청,경기도교육청,J100000250,N,복식부기,결산세입,869201437,63642043,0,318269100,6148000,S090002425,9519878305,J100000001,10,N,수원중학교,,,
사립,3,경기도 수원시 팔달구,경기도수원교육지원청,경기도교육청,J100000250,N,복식부기,결산세입,10787720,9224150,0,54544870,12560960,S090002431,5355235980,J100000001,10,N,영복여자중학교,중,3.0,
사립,3,경기도 수원시 권선구,경기도수원교육지원청,경기도교육청,J100000250,N,복식부기,결산세입,12210160,16018230,0,87200650,28260830,S090002432,6612333630,J100000001,10,N,영신중학교,,,
사립,3,경기도 시흥시,경기도시흥교육지원청,경기도교육청,J100005083,N,복식부기,결산세입,94175910,13202690,0,7285680,1500000,S090002695,3460635060,J100000001,10,N,한국글로벌중학교,,,
사립,3,경기도 안산시 상록구,경기도안산교육지원청,경기도교육청,J100000268,N,복식부기,결산세입,90830500,205969,0,10489700,6468000,S090002705,2714450420,J100000001,10,N,안산중학교,중,3.0,
사립,3,경기도 안성시,경기도안성교육지원청,경기도교육청,J100000287,N,복식부기,결산세입,10214110,14134950,0,46676260,12390400,S090002918,4984475570,J100000001,10,N,명륜여자중학교,,,
사립,3,경기도 안성시,경기도안성교육지원청,경기도교육청,J100000287,N,미지정,결산세입,31166650,8015080,0,41809380,1100000,S090002922,5120161010,J100000001,10,N,안청중학교,,,
사립,3,경기도 안양시 만안구,경기도안양과천교육지원청,경기도교육청,J100000299,N,복식부기,결산세입,10357640,547306720,0,186694420,72584000,S090003020,6228741140,J100000001,10,N,근명중학교,중,3.0,
사립,3,경기도 안양시 만안구,경기도안양과천교육지원청,경기도교육청,J100000299,N,복식부기,결산세입,6185170,6499440,0,43556740,7750000,S090003029,3327572330,J100000001,10,N,성문중학교,중,3.0,
사립,3,경기도 안양시 만안구,경기도안양과천교육지원청,경기도교육청,J100000299,N,미지정,결산세입,792300880,29939610,0,141763530,43750000,S090003031,12992705640,J100000001,10,N,신성중학교,중,3.0,
사립,3,경기도 안양시 만안구,경기도안양과천교육지원청,경기도교육청,J100000299,N,복식부기,결산세입,39635160,1072090,0,55871210,15340000,S090003036,4133800520,J100000001,10,N,안양여자중학교,중,3.0,
사립,3,경기도 양평군,경기도양평교육지원청,경기도교육청,J100000331,N,복식부기,결산세입,3019596766,22079383,0,450624780,337000,S090003200,3664150020,J100000001,10,N,개군중학교,,,
사립,3,경기도 양평군,경기도양평교육지원청,경기도교육청,J100000331,N,복식부기,결산세입,22741770,7053980,0,95829940,33785590,S090003203,3085177820,J100000001,10,N,단월중학교,중,3.0,
사립,3,경기도 양평군,경기도양평교육지원청,경기도교육청,J100000331,N,미지정,결산세입,24784450,5237660,0,49034490,35000000,S090003204,3016355300,J100000001,10,N,서종중학교,,,
사립,3,경기도 양평군,경기도양평교육지원청,경기도교육청,J100000331,N,복식부기,결산세입,40679310,2561950,0,24534380,1606000,S090003205,1822596020,J100000001,10,N,양동중학교,,,
사립,3,경기도 양평군,경기도양평교육지원청,경기도교육청,J100000331,N,복식부기,결산세입,863037279,43788348,0,32191180,25234000,S090003206,6845617520,J100000001,10,N,양일중학교,,,
사립,3,경기도 양평군,경기도양평교육지원청,경기도교육청,J100000331,N,미지정,결산세입,55252710,5107478,0,159575630,2000000,S090003210,3952871263,J100000001,10,N,용문중학교,,,
사립,3,경기도 여주시,경기도여주교육지원청,경기도교육청,J100000343,N,미지정,결산세입,268961320,2539800,0,25282270,10553740,S090003315,1695510440,J100000001,10,N,대신중학교,,,
사립,3,경기도 여주시,경기도여주교육지원청,경기도교육청,J100000343,N,복식부기,결산세입,555950,5416510,0,24501640,40472070,S090003317,3063352610,J100000001,10,N,세정중학교,중,3.0,
사립,3,경기도 여주시,경기도여주교육지원청,경기도교육청,J100000343,N,미지정,결산세입,310439990,8858964,0,114542070,6162860,S090003318,2384603810,J100000001,10,N,여강중학교,,,
사립,3,경기도 여주시,경기도여주교육지원청,경기도교육청,J100000343,N,미지정,결산세입,274634089,12909192,0,53993760,5700000,S090003319,4123677180,J100000001,10,N,여주제일중학교,,,
사립,3,경기도 여주시,경기도여주교육지원청,경기도교육청,J100000343,N,미지정,결산세입,5906259,2923587,0,13093860,10400000,S090003324,2390844080,J100000001,10,N,창명여자중학교,,,
사립,3,경기도 용인시 처인구,경기도용인교육지원청,경기도교육청,J100000364,N,복식부기,결산세입,8046740,8495830,0,25805180,110442390,S090003471,2270366010,J100000001,10,N,남사중학교,,,
사립,3,경기도 용인시 수지구,경기도용인교육지원청,경기도교육청,J100000364,N,복식부기,결산세입,819487180,16452310,0,80317140,507790150,S090003474,4149242150,J100000001,10,N,문정중학교,중,3.0,
사립,3,경기도 용인시 처인구,경기도용인교육지원청,경기도교육청,J100000364,N,복식부기,결산세입,575900170,13086830,0,97591100,4337000,S090003485,4933531620,J100000001,10,N,용동중학교,,,
사립,3,경기도 용인시 처인구,경기도용인교육지원청,경기도교육청,J100000364,N,미지정,결산세입,6903900,31452350,0,91624120,590000,S090003492,3387359340,J100000001,10,N,태성중학교,,,
사립,3,경기도 의정부시,경기도의정부교육지원청,경기도교육청,J100000377,N,미지정,결산세입,8472100,1983690,0,9321900,16650000,S090003639,3858618660,J100000001,10,N,경민여자중학교,,,
사립,3,경기도 의정부시,경기도의정부교육지원청,경기도교육청,J100000377,N,미지정,결산세입,8689420,7371170,0,610323140,257979570,S090003640,8381042500,J100000001,10,N,경민중학교,,,
사립,3,경기도 이천시,경기도이천교육지원청,경기도교육청,J100000389,N,복식부기,결산세입,54862120,4372050,0,30409760,94600000,S090003751,6405661900,J100000001,10,N,이천양정여자중학교,중,3.0,
사립,3,경기도 파주시,경기도파주교육지원청,경기도교육청,J100000400,N,미지정,결산세입,7540867,9545512,0,26880640,10375000,S090003860,3659348630,J100000001,10,N,광탄중학교,중,3.0,
사립,3,경기도 파주시,경기도파주교육지원청,경기도교육청,J100000400,N,미지정,결산세입,4277070,640820,0,22593500,5000000,S090003862,2371235330,J100000001,10,N,문산동중학교,중,3.0,
사립,3,경기도 파주시,경기도파주교육지원청,경기도교육청,J100000400,N,복식부기,결산세입,75991470,32389303,0,194527820,57500000,S090003864,6652042710,J100000001,10,N,문산수억중학교,중,3.0,
사립,3,경기도 파주시,경기도파주교육지원청,경기도교육청,J100000400,N,미지정,결산세입,3136300,5982540,0,6718500,0,S090003868,3131614880,J100000001,10,N,삼광중학교,중,3.0,
사립,3,경기도 파주시,경기도파주교육지원청,경기도교육청,J100000400,N,복식부기,결산세입,42979420,2637800,0,210314660,1100000,S090003870,2145206900,J100000001,10,N,율곡중학교,중,3.0,
사립,3,경기도 파주시,경기도파주교육지원청,경기도교육청,J100000400,N,복식부기,결산세입,11789950,2357750,0,23164270,166017880,S090003872,3814463070,J100000001,10,N,파주광일중학교,중,3.0,
