FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,경기도 고양시 덕양구,경기도고양교육지원청,경기도교육청,J100000098,10000,N,0,복식부기,예산세출,308697000,164722000,306828000,212051000,1020867000,S090000956,5985320000,9730529.2,J100000001,10,N,고양제일중학교,중,3.0
사립,3,경기도 광주시,경기도광주하남교육지원청,경기도교육청,J100000132,500000,N,0,복식부기,예산세출,332948000,104172000,30980000,300664000,1238375000,S090001268,4849803000,8029791.6,J100000001,10,N,경화여자중학교,중,3.0
사립,3,경기도 김포시,경기도김포교육지원청,경기도교육청,J100000158,0,N,0,복식부기,예산세출,193086000,25392000,15760000,54165000,200664000,S090001492,1461669000,46446095.2,J100000001,10,N,분진중학교,중,3.0
사립,3,경기도 김포시,경기도김포교육지원청,경기도교육청,J100000158,300000,N,0,복식부기,예산세출,296070000,44908000,123800000,149710000,372827000,S090001493,2628247000,9391849.4,J100000001,10,N,양곡중학교,중,3.0
사립,3,경기도 김포시,경기도김포교육지원청,경기도교육청,J100000158,0,N,39380000,복식부기,예산세출,291784000,40258000,26790000,183687000,424173000,S090001495,3648908000,9841395.3,J100000001,10,N,통진중학교,중,3.0
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,10000000,N,0,복식부기,예산세출,547428000,39849000,58127000,207950000,525901000,S090001575,4156177000,9120776.3,J100000001,10,N,광동중학교,중,3.0
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,0,N,0,복식부기,예산세출,329742000,46940000,79200000,99611000,367089000,S090001584,3427821000,7552783.0,J100000001,10,N,동화중학교,중,3.0
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,0,N,0,복식부기,예산세출,185686000,113873000,16294000,67409000,292639000,S090001588,1809083000,19413937.5,J100000001,10,N,수동중학교,중,3.0
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,3000000,N,30000000,복식부기,예산세출,387800000,48211000,19700000,185300000,107753000,S090001589,4654892000,6838561.0,J100000001,10,N,심석중학교,중,3.0
사립,3,경기도 남양주시,경기도구리남양주교육지원청,경기도교육청,J100000170,10000,N,36795000,복식부기,예산세출,246498000,40430000,17050000,66619000,226746000,S090001592,1541120000,31989235.3,J100000001,10,N,연세중학교,중,3.0
사립,3,경기도 양주시,경기도동두천양주교육지원청,경기도교육청,J100000189,0,N,46100000,복식부기,예산세출,218064000,89209000,53413000,103200000,38280000,S090001772,1625366000,12350181.8,J100000001,10,N,남문중학교,,
사립,3,경기도 동두천시,경기도동두천양주교육지원청,경기도교육청,J100000189,1063000,N,0,복식부기,예산세출,403950000,60388000,18590000,166659000,66545000,S090001775,2432338000,9750876.2,J100000001,10,N,동두천여자중학교,,
