SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,경상남도 거제시,4.0,경상남도교육청,경상남도교육청,S100000001,0,N,497135090,복식부기,결산세출,459102370,245512040,176437300,801915730,1841344960,S160000464,4822215810,11138115.0,S100000001,17,일반고등학교,N,거제고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,0,N,996448580,복식부기,결산세출,226915350,251365520,103229550,219727470,2097424870,S160000472,2150805800,22065391.0,S100000001,17,일반고등학교,N,거창고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,184194780,N,1249696910,복식부기,결산세출,415097970,335020860,183863590,603993220,2941907890,S160000473,3510970360,20052650.2,S100000001,17,일반고등학교,N,거창대성고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,446510,N,530654590,미지정,결산세출,302479100,920669300,90760310,386645110,798477710,S160000475,2984158570,20387427.8,S100000001,17,일반고등학교,N,대성일고등학교
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,3887550,N,2114716900,복식부기,결산세출,259967050,276475450,126473600,380895270,1325148060,S160000480,3783386700,18797615.0,S100000001,17,일반고등학교,N,거창중앙고등학교
고,사립,4,경상남도 진주시,4.0,경상남도교육청,경상남도교육청,S100000001,59588000,N,1338582500,미지정,결산세출,281326340,263115020,33630810,1019513940,989166100,S160000485,2600655420,22866590.7,S100000001,17,특수목적고등학교,N,경남예술고등학교
,사립,4,경상남도 양산시,,경상남도교육청,경상남도교육청,S100000001,282738980,N,3898304680,복식부기,결산세출,468482730,356984610,184227620,306024980,3220982020,S160000486,4743056240,24341413.9,S100000001,17,특수목적고등학교,N,경남외국어고등학교
고,사립,4,경상남도 창원시 의창구,4.0,경상남도교육청,경상남도교육청,S100000001,0,N,1286568110,복식부기,결산세출,398761028,498260200,168551460,456166560,1303731905,S160000492,4344775960,16138960.3,S100000001,17,일반고등학교,N,경상고등학교
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,0,N,0,복식부기,결산세출,605750800,3915987900,11645870,401064550,1325051340,S160000493,5142124520,16103990.1,S100000001,17,일반고등학교,N,경해여자고등학교
,사립,4,경상남도 고성군,,경상남도교육청,경상남도교육청,S100000001,0,N,1383665760,복식부기,결산세출,330575621,181272700,40571950,342292300,1208367060,S160000495,3484685380,19099810.3,S100000001,17,일반고등학교,N,고성고등학교
,사립,4,경상남도 함안군,,경상남도교육청,경상남도교육청,S100000001,0,N,654342350,복식부기,결산세출,189808460,1021537590,18815660,325866360,678223460,S160000505,1473553010,33298831.2,S100000001,17,일반고등학교,N,군북고등학교
,사립,4,경상남도 김해시,,경상남도교육청,경상남도교육청,S100000001,1296683670,N,2505118000,미지정,결산세출,350781300,391756170,13778400,311847950,918462670,S160000515,2943683030,27202838.6,S100000001,17,일반고등학교,N,김해중앙여자고등학교
,사립,4,경상남도 김해시,,경상남도교육청,경상남도교육청,S100000001,0,N,959727590,미지정,결산세출,406542200,335610690,695969830,252614980,1244705520,S160000516,5181327810,21818506.3,S100000001,17,특성화고등학교,N,김해한일여자고등학교
,사립,4,경상남도 창녕군,,경상남도교육청,경상남도교육청,S100000001,244876610,N,2016679480,미지정,결산세출,204807480,191588410,77548620,256623010,1028345860,S160000519,2639619700,19762875.9,S100000001,17,일반고등학교,N,남지고등학교
,사립,4,경상남도 남해군,,경상남도교육청,경상남도교육청,S100000001,0,N,377248640,미지정,결산세출,211722040,311203220,33717740,221667760,923232570,S160000521,2242786990,19292763.2,S100000001,17,일반고등학교,N,남해고등학교
고,사립,4,경상남도 남해군,4.0,경상남도교육청,경상남도교육청,S100000001,0,N,22307000,복식부기,결산세출,119548990,800745750,128562160,347675730,1785271690,S160000528,2267648570,20570525.9,S100000001,17,일반고등학교,N,남해해성고등학교
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,37844850,N,62236000,복식부기,결산세출,500987640,3198222530,2174575410,342758960,988763110,S160000532,3860571630,35335316.9,S100000001,17,특성화고등학교,N,경남자동차고등학교
고,사립,4,경상남도 진주시,4.0,경상남도교육청,경상남도교육청,S100000001,80024710,N,1808463050,미지정,결산세출,367179800,361960810,62330160,476902420,2152536570,S160000536,5141352920,14414828.2,S100000001,17,일반고등학교,N,대아고등학교
,사립,4,경상남도 창원시 마산회원구,,경상남도교육청,경상남도교육청,S100000001,22812330,N,3007606380,미지정,결산세출,525172310,144879490,4199767842,616066000,1031281930,S160000548,5219449990,30198438.2,S100000001,17,특성화고등학교,N,마산공업고등학교
,사립,4,경상남도 창원시 마산회원구,,경상남도교육청,경상남도교육청,S100000001,0,N,2326550970,복식부기,결산세출,397274020,145721670,73688660,415643970,1651998760,S160000550,3825387310,16960202.2,S100000001,17,일반고등학교,N,마산무학여자고등학교
