SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,경상남도 거제시,4.0,경상남도교육청,경상남도교육청,S100000001,10000000,N,30000000,복식부기,예산세출,346955000,220058000,155725000,317795000,1780669000,S160000464,5019790000,9925682.6,S100000001,17,일반고등학교,N,거제고등학교,
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,6000000,N,0,복식부기,예산세출,226549000,82784000,169120000,126192000,1883012000,S160000472,2227823000,17231678.8,S100000001,17,일반고등학교,N,거창고등학교,
,사립,4,경상남도 거창군,,경상남도교육청,경상남도교육청,S100000001,30000000,N,15000000,복식부기,예산세출,252956000,154258000,184340000,439245000,2454533000,S160000473,3498734000,14955459.6,S100000001,17,일반고등학교,N,거창대성고등학교,
,사립,4,경상남도 거창군,,경상남도교육청,경상남도교육청,S100000001,10550000,N,20000000,복식부기,예산세출,259044000,99743000,70530000,192315000,737890000,S160000475,2798499000,14198545.8,S100000001,17,일반고등학교,N,대성일고등학교,
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,6000000,N,0,복식부기,예산세출,262772000,207663000,164984000,266884000,1114146000,S160000480,3895144000,13449075.0,S100000001,17,일반고등학교,N,거창중앙고등학교,
고,사립,4,경상남도 진주시,4.0,경상남도교육청,경상남도교육청,S100000001,5000000,N,54480000,복식부기,예산세출,221393000,200968000,61849000,1031641000,904053000,S160000485,2643788000,17788791.7,S100000001,17,특수목적고등학교,N,경남예술고등학교,
,사립,4,경상남도 양산시,,경상남도교육청,경상남도교육청,S100000001,20000000,N,45000000,복식부기,예산세출,355243000,168950000,316775000,188485000,3135364000,S160000486,4722512000,16188660.0,S100000001,17,특수목적고등학교,N,경남외국어고등학교,
,사립,4,경상남도 창원시 의창구,,경상남도교육청,경상남도교육청,S100000001,8000000,N,46000000,복식부기,예산세출,294658000,159497000,218583000,248162000,1158659000,S160000492,4557279000,12768774.8,S100000001,17,일반고등학교,N,경상고등학교,
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,8000000,N,0,복식부기,예산세출,541831000,144941000,22134000,303665000,1362961000,S160000493,5754120000,11493858.8,S100000001,17,일반고등학교,N,경해여자고등학교,
,사립,4,경상남도 고성군,,경상남도교육청,경상남도교육청,S100000001,7000000,N,0,복식부기,예산세출,303145000,54618000,137454000,204783000,1228878000,S160000495,3739113000,15547920.5,S100000001,17,일반고등학교,N,고성고등학교,
