SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,경상북도 구미시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,9950970,55706096,0,718393690,156118279,S150000718,8829242170,R100000001,16,일반고등학교,N,경구고등학교
고,사립,4,경상북도 봉화군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,221771607,10658093,0,361421500,2557000,S150000722,6243778590,R100000001,16,특성화고등학교,N,한국펫고등학교
,사립,4,경상북도 경산시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,3074747920,91682402,0,767818540,233373210,S150000726,11069495870,R100000001,16,일반고등학교,N,경산여자고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,690024572,45509991,0,208424360,60014558,S150000728,8214344630,R100000001,16,특성화고등학교,N,경산제일고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,12876330,59290970,0,411268000,28205000,S150000730,8107903540,R100000001,16,일반고등학교,N,경안고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,14797362,24427096,0,291962710,18785000,S150000732,5310799870,R100000001,16,일반고등학교,N,경안여자고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,47219884,24199640,0,163088190,1200000,S150000733,4689324960,R100000001,16,일반고등학교,N,경일고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,179500966,40071429,0,1111554800,441597900,S150000734,9858984030,R100000001,16,일반고등학교,N,경주고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,122247184,40403887,0,301234510,33906000,S150000740,9198854300,R100000001,16,특성화고등학교,N,경주여자정보고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,4756401674,126356094,0,399422240,407372986,S150000741,12003108740,R100000001,16,특성화고등학교,N,경주정보고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,7408067,12581057,0,227401390,98110000,S150000743,3522683780,R100000001,16,특성화고등학교,N,경주화랑고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1824538,64810819,0,646499450,346071710,S150000764,8749284540,R100000001,16,일반고등학교,N,근화여자고등학교
고,사립,4,경상북도 구미시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,12370201,27836212,0,1037109750,24683840,S150000770,8689674230,R100000001,16,일반고등학교,N,구미제일고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,1711573748,36451321,0,134562746,395769090,S150000773,7582550060,R100000001,16,특성화고등학교,N,경북휴먼테크고등학교
,사립,4,경상북도 안동시,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1265641535,65937604,0,374309840,14712000,S150000776,7338862440,R100000001,16,일반고등학교,N,길원여자고등학교
고,사립,4,경상북도 김천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,424963937,176767775,0,6807918830,1733116640,S150000777,5315327320,R100000001,16,자율고등학교,N,김천고등학교
고,사립,4,경상북도 김천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,373026731,34783933,0,795333270,2800000,S150000782,5133832830,R100000001,16,일반고등학교,N,김천예술고등학교
,사립,4,경상북도 고령군,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,7216005,18241114,0,252725060,128253000,S150000790,9418144820,R100000001,16,일반고등학교,N,대가야고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,321313949,106120779,0,1070612760,521788920,S150000791,12270447340,R100000001,16,일반고등학교,N,대구가톨릭대학교사범대학부속무학고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,903687413,37018546,0,725009450,348108066,S150000793,9692929480,R100000001,16,일반고등학교,N,대동고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,2107107,30382232,0,627415330,339592490,S150000794,4562862730,R100000001,16,일반고등학교,N,대영고등학교
고,사립,4,경상북도 예천군,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,438844604,22595039,0,203016500,123341990,S150000797,5830188310,R100000001,16,일반고등학교,N,대창고등학교
고,사립,4,경상북도 구미시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,329328610,21919091,0,774784090,109584633,S150000798,6936929840,R100000001,16,일반고등학교,N,도개고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,10037805,34524313,0,217063980,285241720,S150000804,8066837680,R100000001,16,특성화고등학교,N,한국미래산업고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,576166652,49117445,0,717822540,265520800,S150000805,8387439950,R100000001,16,일반고등학교,N,동지고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,38677317,50874225,0,553178630,168111900,S150000806,8052882850,R100000001,16,일반고등학교,N,동지여자고등학교
,사립,4,경상북도 성주군,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1802236650,15793470,0,181345310,62499530,S150000810,4517233730,R100000001,16,특성화고등학교,N,명인고등학교
고,사립,4,경상북도 청도군,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,71578801,38654965,0,418331130,178235097,S150000811,7527623710,R100000001,16,일반고등학교,N,모계고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,21487895,7086342,0,64093590,96905030,S150000812,1742938930,R100000001,16,일반고등학교,N,무산고등학교
고,사립,4,경상북도 문경시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,983786500,75135500,0,310550810,1804919440,S150000816,6628615040,R100000001,16,일반고등학교,N,문경여자고등학교
