SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,경상북도 구미시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,18500000,0,903487000,102000000,S150000718,6544821000,R100000001,16,일반고등학교,N,경구고등학교
고,사립,4,경상북도 봉화군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,200000,2000000,0,303060000,1550000,S150000722,1700813000,R100000001,16,특성화고등학교,N,한국펫고등학교
,사립,4,경상북도 경산시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,11380000,0,1053800000,588753000,S150000726,7943694000,R100000001,16,일반고등학교,N,경산여자고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,2000000,0,168357000,53741000,S150000728,3676491000,R100000001,16,특성화고등학교,N,경산제일고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,13620000,0,460788000,5800000,S150000730,3645325000,R100000001,16,일반고등학교,N,경안고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,100000,22365000,0,419307000,5500000,S150000732,3514769000,R100000001,16,일반고등학교,N,경안여자고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,14100000,0,246577000,550000,S150000733,3880167000,R100000001,16,일반고등학교,N,경일고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,10000000,0,1366587000,265721000,S150000734,5790390000,R100000001,16,일반고등학교,N,경주고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,4000000,11950000,0,604716000,4500000,S150000740,7152381000,R100000001,16,특성화고등학교,N,경주여자정보고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,1000,15910000,0,516690000,298183000,S150000741,6173191000,R100000001,16,특성화고등학교,N,경주정보고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,7000000,7600000,0,223807000,11019000,S150000743,1830236000,R100000001,16,특성화고등학교,N,경주화랑고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,3000000,4850000,0,763854000,233500000,S150000764,4474961000,R100000001,16,일반고등학교,N,근화여자고등학교
고,사립,4,경상북도 구미시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,11000000,25100000,0,1387720000,1000000,S150000770,6607674000,R100000001,16,일반고등학교,N,구미제일고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,100000,8800000,0,160021000,113443000,S150000773,2380935000,R100000001,16,특성화고등학교,N,경북휴먼테크고등학교
,사립,4,경상북도 안동시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,48000000,16800000,0,534338000,6000000,S150000776,4646103000,R100000001,16,일반고등학교,N,길원여자고등학교
고,사립,4,경상북도 김천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,73900000,0,7387045000,892924000,S150000777,0,R100000001,16,자율고등학교,N,김천고등학교
고,사립,4,경상북도 김천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,15400000,0,873177000,1800000,S150000782,2366984000,R100000001,16,일반고등학교,N,김천예술고등학교
,사립,4,경상북도 고령군,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,4800000,0,240001000,42000000,S150000790,3281449000,R100000001,16,일반고등학교,N,대가야고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,22980000,0,1206932000,333500000,S150000791,4845412000,R100000001,16,일반고등학교,N,대구가톨릭대학교사범대학부속무학고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,16950000,0,616153000,219574000,S150000793,6144022000,R100000001,16,일반고등학교,N,대동고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,11083000,0,702535000,266744000,S150000794,2872198000,R100000001,16,일반고등학교,N,대영고등학교
고,사립,4,경상북도 예천군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,0,0,269762000,5000000,S150000797,3228744000,R100000001,16,일반고등학교,N,대창고등학교
고,사립,4,경상북도 구미시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,7500000,0,788456000,102494000,S150000798,3662402000,R100000001,16,일반고등학교,N,도개고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,0,0,187419000,214673000,S150000804,3510477000,R100000001,16,특성화고등학교,N,한국미래산업고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,35862000,0,756832000,146962000,S150000805,6562358000,R100000001,16,일반고등학교,N,동지고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,12000000,0,569100000,51765000,S150000806,6088400000,R100000001,16,일반고등학교,N,동지여자고등학교
,사립,4,경상북도 성주군,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,9739000,5660000,0,108693000,35197000,S150000810,2734500000,R100000001,16,특성화고등학교,N,명인고등학교
고,사립,4,경상북도 청도군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,3350000,0,456288000,14000000,S150000811,3012989000,R100000001,16,일반고등학교,N,모계고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,700000,0,97287000,76619000,S150000812,1451842000,R100000001,16,일반고등학교,N,무산고등학교
고,사립,4,경상북도 문경시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,5940000,0,225470000,353304000,S150000816,3844694000,R100000001,16,일반고등학교,N,문경여자고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,12000000,22100000,0,571376000,141925000,S150000818,4049669000,R100000001,16,일반고등학교,N,문명고등학교
고,사립,4,경상북도 문경시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,16360000,0,594375000,307812000,S150000819,5081774000,R100000001,16,일반고등학교,N,문창고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,17000000,0,849723000,118732000,S150000820,5710999000,R100000001,16,일반고등학교,N,문화고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,0,0,384800000,0,S150000838,1953558000,R100000001,16,특성화고등학교,N,삼성생활예술고등학교
고,사립,4,경상북도 상주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,3241000,0,601941000,43000000,S150000841,4497111000,R100000001,16,일반고등학교,N,상주고등학교
,사립,4,경상북도 상주시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,45305000,0,501463000,262248000,S150000842,5572947000,R100000001,16,특성화고등학교,N,상주공업고등학교
고,사립,4,경상북도 상주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,9000000,0,372203000,280899000,S150000844,3826583000,R100000001,16,일반고등학교,N,우석여자고등학교
고,사립,4,경상북도 상주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,6100000,0,460701000,63121000,S150000846,3235193000,R100000001,16,특성화고등학교,N,상지미래경영고등학교
,사립,4,경상북도 경주시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,7500000,0,895545000,26000000,S150000847,4975375000,R100000001,16,일반고등학교,N,선덕여자고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,500000,8435000,0,680720000,1700000,S150000852,2918329000,R100000001,16,특성화고등학교,N,한국국제조리고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,2000000,0,304175000,119000000,S150000853,3546844000,R100000001,16,일반고등학교,N,동국대학교사범대학부속선화여자고등학교
,사립,4,경상북도 김천시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,8700000,0,468890000,180092000,S150000855,3548816000,R100000001,16,일반고등학교,N,성의고등학교
고,사립,4,경상북도 김천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,10500000,0,346925000,291726000,S150000856,3106256000,R100000001,16,일반고등학교,N,성의여자고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,195968000,6390000,0,177107000,500000,S150000865,2090328000,R100000001,16,일반고등학교,N,성창여자고등학교
,사립,4,경상북도 안동시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,8780000,0,290960000,16500000,S150000866,3996060000,R100000001,16,일반고등학교,N,성희여자고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,11500000,0,421294000,4000000,S150000867,6204126000,R100000001,16,일반고등학교,N,세명고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,33248000,0,187008000,6250000,S150000868,3655534000,R100000001,16,일반고등학교,N,세화고등학교
,사립,4,경상북도 칠곡군,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,3620000,0,314044000,19851000,S150000874,5849369000,R100000001,16,일반고등학교,N,순심고등학교
,사립,4,경상북도 칠곡군,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,3662000,0,195812000,168367000,S150000875,4612794000,R100000001,16,일반고등학교,N,순심여자고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,1500000,0,681064000,1000000,S150000879,4415491000,R100000001,16,일반고등학교,N,신라고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,31300000,0,1122875000,11800000,S150000880,6968790000,R100000001,16,특성화고등학교,N,신라공업고등학교
,사립,4,경상북도 경주시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,2300000,0,355680000,52228000,S150000885,3584084000,R100000001,16,일반고등학교,N,경주예일고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,6570000,18620000,0,133834000,100000000,S150000893,4872658000,R100000001,16,특성화고등학교,N,경북하이텍고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,6400000,0,590499000,326666000,S150000897,3826417000,R100000001,16,일반고등학교,N,안동중앙고등학교
,사립,4,경상북도 영주시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,15825000,0,789339000,3386000,S150000901,4441546000,R100000001,16,일반고등학교,N,영광고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,2000,15770000,0,727554000,8750000,S150000902,4969492000,R100000001,16,일반고등학교,N,영광여자고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,8363000,0,592520000,511765000,S150000903,1593898000,R100000001,16,일반고등학교,N,영남삼육고등학교
고,사립,4,경상북도 영덕군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,2360000,0,107564000,124966000,S150000904,2490898000,R100000001,16,일반고등학교,N,영덕여자고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,0,0,581386000,273150000,S150000906,4583630000,R100000001,16,일반고등학교,N,영동고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,27000000,14023000,0,678077000,1500000,S150000907,3220653000,R100000001,16,특성화고등학교,N,예일메디텍고등학교
고,사립,4,경상북도 영양군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,4032000,0,468623000,8660000,S150000909,2279097000,R100000001,16,일반고등학교,N,영양여자고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,27182000,0,410072000,2000000,S150000910,5216746000,R100000001,16,일반고등학교,N,영일고등학교
,사립,4,경상북도 영주시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,13212000,0,306286000,1700000,S150000912,3381998000,R100000001,16,일반고등학교,N,한국철도고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,30000000,5000000,0,2481915000,3000000,S150000914,3749700000,R100000001,16,특성화고등학교,N,경북항공고등학교
,사립,4,경상북도 영천시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,4253000,0,339620000,46360000,S150000920,2519735000,R100000001,16,특성화고등학교,N,영천전자고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,5500000,0,390020000,510544000,S150000923,3334316000,R100000001,16,일반고등학교,N,영천성남여자고등학교
,사립,4,경상북도 구미시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,12000000,0,1852230000,144306000,S150000931,6383691000,R100000001,16,일반고등학교,N,오상고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,9000000,0,1440109000,47120000,S150000934,5346690000,R100000001,16,일반고등학교,N,오천고등학교
고,사립,4,경상북도 상주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,9500000,0,293340000,750000,S150000936,3180313000,R100000001,16,특성화고등학교,N,경북자연과학고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,11500000,0,683397000,6200000,S150000941,6262511000,R100000001,16,일반고등학교,N,유성여자고등학교
고,사립,4,경상북도 의성군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,4085000,0,233119000,3500000,S150000944,2177347000,R100000001,16,일반고등학교,N,의성고등학교
고,사립,4,경상북도 청도군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,25449000,0,837977000,84720000,S150000949,3770936000,R100000001,16,일반고등학교,N,이서고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,800000,0,131943000,52087000,S150000956,1559798000,R100000001,16,특성화고등학교,N,포항보건고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,20500000,0,811320000,354842000,S150000961,4374617000,R100000001,16,일반고등학교,N,진량고등학교
고,사립,4,경상북도 청도군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,2300000,0,280290000,131542000,S150000964,3370401000,R100000001,16,일반고등학교,N,청도고등학교
고,사립,4,경상북도 청송군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,550000,0,45034000,700000,S150000968,1516544000,R100000001,16,특성화고등학교,N,경북골프경영고등학교
고,사립,4,경상북도 청송군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,1577000,0,69360000,1075000,S150000969,1574955000,R100000001,16,일반고등학교,N,청송여자종합고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,8000000,9250000,0,146838000,2048000,S150000977,3205154000,R100000001,16,특성화고등학교,N,효청보건고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,9794000,0,1394374000,54016000,S150000989,5380549000,R100000001,16,일반고등학교,N,포항영신고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,13230000,0,950686000,8000000,S150000990,2989681000,R100000001,16,일반고등학교,N,포항예술고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,4100000,0,1008966000,3000000,S150000991,4648406000,R100000001,16,일반고등학교,N,포항동성고등학교
,사립,4,경상북도 포항시 남구,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,40531000,0,9721520000,780352000,S150000992,142530000,R100000001,16,자율고등학교,N,포항제철고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,38292000,0,1669820000,1208013000,S150000993,7538538000,R100000001,16,특수목적고등학교,N,포항제철공업고등학교
,사립,4,경상북도 포항시 북구,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,5360000,0,543886000,3000000,S150000994,6420412000,R100000001,16,일반고등학교,N,포항중앙고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,20898000,0,575330000,3000000,S150000995,6212946000,R100000001,16,일반고등학교,N,포항중앙여자고등학교
,사립,4,경상북도 안동시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,5240000,0,1611847000,593681000,S150000999,2663272000,R100000001,16,일반고등학교,N,풍산고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,11100000,0,617895000,472786000,S150001001,4562909000,R100000001,16,일반고등학교,N,하양여자고등학교
고,사립,4,경상북도 김천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,4400000,0,416212000,220494000,S150001003,3705123000,R100000001,16,일반고등학교,N,한일여자고등학교
,사립,4,경상북도 상주시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,7700000,0,419622000,278142000,S150001004,2587037000,R100000001,16,일반고등학교,N,함창고등학교
고,사립,4,경상북도 구미시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,25506000,0,1471392000,401263000,S150001008,6226367000,R100000001,16,일반고등학교,N,현일고등학교
고,사립,4,경상북도 성주군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,1560000,0,246300000,6950000,S150005954,2835006000,R100000001,16,일반고등학교,N,성주여자고등학교
