FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,경상북도 경산시,경상북도경산교육지원청,경상북도교육청,R100000147,10000000,N,50000000,복식부기,예산세출,246270000,136710000,53300000,294070000,425870000,S150001020,5580981000,7959251.8,R100000001,16,N,경산여자중학교,중,3.0
사립,3,경상북도 경산시,경상북도경산교육지원청,경상북도교육청,R100000147,0,N,2500000,복식부기,예산세출,293285000,113500000,105000000,390855000,215471000,S150001022,3775001000,8297647.5,R100000001,16,N,대구가톨릭대학교사범대학부속무학중학교,중,3.0
사립,3,경상북도 경산시,경상북도경산교육지원청,경상북도교육청,R100000147,0,N,23257000,복식부기,예산세출,23315000,32685000,26900000,32269000,31962000,S150001025,841767000,25952692.3,R100000001,16,N,경산제일중학교,중,3.0
사립,3,경상북도 경산시,경상북도경산교육지원청,경상북도교육청,R100000147,0,N,50000000,복식부기,예산세출,295814000,37446000,34550000,108560000,133589000,S150001028,2848730000,9161067.9,R100000001,16,N,진량중학교,중,3.0
사립,3,경상북도 경산시,경상북도경산교육지원청,경상북도교육청,R100000147,0,N,64453000,복식부기,예산세출,223410000,101190000,56335000,90760000,292666000,S150001029,3351556000,8745543.9,R100000001,16,N,하양여자중학교,,
사립,3,경상북도 경주시,경상북도경주교육지원청,경상북도교육청,R100000168,0,N,0,복식부기,예산세출,177432000,90476000,53737000,127825000,97661000,S150001124,2903199000,8540420.8,R100000001,16,N,경주중학교,중,3.0
사립,3,경상북도 경주시,경상북도경주교육지원청,경상북도교육청,R100000168,0,N,0,복식부기,예산세출,182227000,78430000,23570000,107987000,194804000,S150001126,2461412000,7836581.0,R100000001,16,N,근화여자중학교,중,3.0
사립,3,경상북도 경주시,경상북도경주교육지원청,경상북도교육청,R100000168,5000000,N,0,복식부기,예산세출,58376000,41247000,11790000,90850000,108116000,S150001128,1197605000,14009111.1,R100000001,16,N,무산중학교,,
사립,3,경상북도 경주시,경상북도경주교육지원청,경상북도교육청,R100000168,4464000,N,310920000,복식부기,예산세출,210787000,104741000,59900000,176834000,117981000,S150001129,2613873000,9422774.9,R100000001,16,N,문화중학교,중,3.0
사립,3,경상북도 경주시,경상북도경주교육지원청,경상북도교육청,R100000168,5000000,N,20000000,복식부기,예산세출,214276000,84441000,17540000,133142000,170646000,S150001133,2626950000,8679031.8,R100000001,16,N,선덕여자중학교,중,3.0
사립,3,경상북도 경주시,경상북도경주교육지원청,경상북도교육청,R100000168,0,N,3000000,복식부기,예산세출,185999000,55840000,12568000,132780000,100950000,S150001136,2011618000,9167600.7,R100000001,16,N,안강여자중학교,중,3.0
사립,3,경상북도 경주시,경상북도경주교육지원청,경상북도교육청,R100000168,0,N,836863000,복식부기,예산세출,297120000,44461000,97585000,206830000,277989000,S150001141,2985293000,12424452.9,R100000001,16,N,월성중학교,중,3.0
사립,3,경상북도 고령군,경상북도고령교육지원청,경상북도교육청,R100000194,5000000,N,0,복식부기,예산세출,203180000,47980000,13000000,86418000,243506000,S150001330,1487995000,9317317.0,R100000001,16,N,다산중학교,중,3.0
사립,3,경상북도 구미시,경상북도구미교육지원청,경상북도교육청,R100000213,300000,N,15500000,복식부기,예산세출,89882000,64100000,63620000,109520000,145946000,S150001391,1550920000,16188793.7,R100000001,16,N,경구중학교,,
사립,3,경상북도 구미시,경상북도구미교육지원청,경상북도교육청,R100000213,1000000,N,0,복식부기,예산세출,67730000,35310000,72300000,67120000,112781000,S150001397,933851000,18696985.5,R100000001,16,N,도개중학교,중,3.0
