FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,935561200,복식부기,결산세출,347890638,124816020,56583930,222716470,860560370,S050000171,2605379760,11554951.5,F100000001,5,N,고려중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,1606333460,복식부기,결산세출,321797184,1281944065,129549510,324081677,892812320,S050000172,3654751360,15038955.3,F100000001,5,N,광주경신중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,598536050,복식부기,결산세출,341725277,378779950,57697910,293513291,804279880,S050000173,2714725500,12474177.5,F100000001,5,N,광주동신여자중학교,중,3.0
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,1860963170,복식부기,결산세출,420824979,489828560,74832180,298359640,898743830,S050000174,3125975260,15125585.7,F100000001,5,N,광주동신중학교,중,3.0
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,51528930,N,0,복식부기,결산세출,337554907,1065925670,53410980,354628270,945536423,S050000178,3496622900,10852337.5,F100000001,5,N,광주숭일중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,12474190,N,674719160,미지정,결산세출,448744890,356026570,81901230,330130260,1053657300,S050000180,3893453080,10396216.5,F100000001,5,N,금호중앙중학교,중,3.0
사립,3,광주광역시 광산구,광주광역시서부교육지원청,광주광역시교육청,F100000072,0,N,15916100,미지정,결산세출,323883062,92934650,541543590,458997619,813823330,S050000181,3667985500,7813849.2,F100000001,5,N,광주진흥중학교,중,3.0
사립,3,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,480260,N,0,복식부기,결산세출,293250070,395023040,6119580,190603350,266825090,S050000191,2112632390,17459538.9,F100000001,5,N,살레시오여자중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,0,복식부기,결산세출,393845139,33027550,68608258,254006360,538333540,S050000192,2907274880,10108664.4,F100000001,5,N,살레시오중학교,중,3.0
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,59879000,미지정,결산세출,363540431,276252540,51322030,364343240,975244420,S050000193,3372676620,8713330.6,F100000001,5,N,서강중학교,중,3.0
사립,3,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,819000000,N,890840450,미지정,결산세출,331936280,534390750,190087740,185438280,685782920,S050000205,2629142420,18989754.1,F100000001,5,N,조선대학교부속중학교,중,3.0
사립,3,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,249268630,미지정,결산세출,263412420,79640850,222292810,128160800,564852570,S050000206,2440225700,16728194.0,F100000001,5,N,조선대학교여자중학교,중,3.0
사립,3,광주광역시 서구,광주광역시서부교육지원청,광주광역시교육청,F100000072,0,N,120090440,복식부기,결산세출,292639213,120850500,62364870,391650020,969682210,S050000363,3126274230,9555547.9,F100000001,5,N,광덕중학교,,
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,17819000,N,239588000,미지정,결산세출,376856934,114730481,90527790,312465870,600718330,S050000369,3213513420,9699648.1,F100000001,5,N,광주동성여자중학교,,
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,50972120,N,392144870,복식부기,결산세출,339966846,326645360,373971270,295933230,615311850,S050000370,3304334540,12023797.6,F100000001,5,N,광주동성중학교,,
사립,3,광주광역시 서구,광주광역시서부교육지원청,광주광역시교육청,F100000072,0,N,539816700,미지정,결산세출,335426646,170678140,189492970,204735490,950529970,S050000374,3407366220,10757042.9,F100000001,5,N,광주서석중학교,,
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,68355940,N,0,복식부기,결산세출,342448530,1634779080,51112810,276879307,801163520,S050000375,3455982280,11219494.9,F100000001,5,N,광주송원중학교,중,3.0
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,0,N,223278460,복식부기,결산세출,417561410,95815120,139632220,267981460,719683980,S050000376,3004454010,12612452.5,F100000001,5,N,광주수피아여자중학교,,
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,0,N,786267360,미지정,결산세출,305369440,267127880,5900000,262466650,580250010,S050000386,3385207000,10224110.3,F100000001,5,N,대성여자중학교,중,3.0
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,22934420,N,1614460040,미지정,결산세출,359143400,149266450,49409920,287257220,784038830,S050000388,3116368350,13052921.5,F100000001,5,N,동아여자중학교,,
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,0,N,299278970,미지정,결산세출,340741740,486994420,141859660,394681460,920300960,S050000390,3326372440,10243032.3,F100000001,5,N,문성중학교,,
사립,3,광주광역시 남구,광주광역시서부교육지원청,광주광역시교육청,F100000072,15889900,N,602538100,미지정,결산세출,422275547,646522930,35842950,310462400,915122710,S050000399,3582876360,12050795.0,F100000001,5,N,숭의중학교,,
사립,3,광주광역시 광산구,광주광역시서부교육지원청,광주광역시교육청,F100000072,14170990,N,341153680,복식부기,결산세출,155223470,130147020,31224080,61555120,181877690,S050000403,1077485640,52443097.1,F100000001,5,N,임곡중학교,중,3.0
사립,3,광주광역시 광산구,광주광역시서부교육지원청,광주광역시교육청,F100000072,137475750,N,1338327790,미지정,결산세출,344491200,154805910,135701650,323129260,913708900,S050000404,3723158000,12950180.3,F100000001,5,N,정광중학교,중,3.0
