FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,1000000,N,0,복식부기,예산세출,395569000,73949000,49320000,186976000,812542000,S050000171,2844952000,9613013.2,F100000001,5,N,고려중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,1000000,N,0,복식부기,예산세출,286417000,924252000,82827000,160459000,832669000,S050000172,3589281000,10589018.0,F100000001,5,N,광주경신중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,3000000,N,218430000,복식부기,예산세출,279993000,114094000,55358000,204755000,626355000,S050000173,2595025000,9550139.9,F100000001,5,N,광주동신여자중학교,중,3.0
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,5000000,N,106237000,복식부기,예산세출,346980000,85893000,59886000,202310000,828915000,S050000174,2948128000,9469729.3,F100000001,5,N,광주동신중학교,중,3.0
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,5000000,N,465000000,복식부기,예산세출,328969000,136215000,54100000,242482000,909253000,S050000178,3506121000,9702989.7,F100000001,5,N,광주숭일중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,2000000,N,0,복식부기,예산세출,368840000,247426000,62922000,317680000,990855000,S050000180,3815393000,8269396.0,F100000001,5,N,금호중앙중학교,중,3.0
사립,3,광주광역시 광산구,광주광역시서부교육지원청,광주광역시교육청,F100000072,3000000,N,1358200000,복식부기,예산세출,321833000,122707000,397504000,256375000,809439000,S050000181,3531540000,9715140.0,F100000001,5,N,광주진흥중학교,중,3.0
사립,3,광주광역시 동구,광주광역시동부교육지원청,광주광역시교육청,F100000057,1500000,N,0,복식부기,예산세출,241527000,84038000,5200000,99748000,272590000,S050000191,2281522000,15716447.4,F100000001,5,N,살레시오여자중학교,,
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,1000000,N,135000000,복식부기,예산세출,380745000,63740000,35124000,102145000,598328000,S050000192,2756028000,9233809.5,F100000001,5,N,살레시오중학교,중,3.0
사립,3,광주광역시 북구,광주광역시동부교육지원청,광주광역시교육청,F100000057,0,N,639040000,복식부기,예산세출,314418000,111468000,65956000,323104000,979711000,S050000193,3211088000,8889425.2,F100000001,5,N,서강중학교,중,3.0
