FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,25269290,N,42754000,복식부기,결산세출,378902651,158548864,17161080,574562624,938707251,S030000367,3383001830,10393423.0,D100000001,3,N,경일여자중학교,중,3.0
사립,3,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,30769500,N,0,복식부기,결산세출,566732980,220843380,52338240,312816430,306392870,S030000369,1726375890,15171081.6,D100000001,3,N,경암중학교,,
사립,3,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,415630,N,0,복식부기,결산세출,217315460,200910527,9038840,217113528,185547920,S030000371,1802702720,26330446.3,D100000001,3,N,구남중학교,,
사립,3,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,466821620,복식부기,결산세출,373123295,131772625,319516297,392401588,1064900749,S030000373,4251686800,10294445.6,D100000001,3,N,대건중학교,중,3.0
사립,3,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,851850,N,0,미지정,결산세출,275039970,638055370,121140260,429693047,400798240,S030000383,2380778560,11795436.9,D100000001,3,N,상서중학교,,
사립,3,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,41559710,복식부기,결산세출,335563660,237001660,72047110,210943526,538710430,S030000390,2156018570,17351906.6,D100000001,3,N,송현여자중학교,,
사립,3,대구광역시 달성군,대구광역시달성교육지원청,대구광역시교육청,D100000143,0,N,9997650,미지정,결산세출,664359160,179449534,143652440,527651668,567773075,S030000392,2713846370,9388144.3,D100000001,3,N,심인중학교,,
사립,3,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,3425000,복식부기,결산세출,401889471,305190596,191866610,466996320,1177313560,S030000393,4314375030,8807518.1,D100000001,3,N,영남중학교,중,3.0
사립,3,대구광역시 달서구,대구광역시남부교육지원청,대구광역시교육청,D100000117,11265530,N,29012810,미지정,결산세출,425346703,146401612,223947602,565702412,749889320,S030000396,3035802620,10416402.8,D100000001,3,N,원화중학교,중,3.0
사립,3,대구광역시 남구,대구광역시남부교육지원청,대구광역시교육청,D100000117,0,N,116053000,미지정,결산세출,369455086,183825630,487947150,554396034,634642210,S030000403,3638501330,11228556.2,D100000001,3,N,협성경복중학교,,
