FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,대전광역시 대덕구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,1000000,3086000,0,90748000,4710000,S060000245,2366344000,G100000001,6,N,대전경덕중학교,중,3.0
사립,3,대전광역시 동구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,4543000,2900000,0,36136000,10000000,S060000247,3207051000,G100000001,6,N,대전대성여자중학교,,
사립,3,대전광역시 중구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,1106000,8900000,0,14430000,28000000,S060000248,4212275000,G100000001,6,N,대전대성중학교,,
사립,3,대전광역시 중구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,4310000,16324000,0,207750000,2500000,S060000253,4308841000,G100000001,6,N,대전동산중학교,중,3.0
사립,3,대전광역시 동구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,3320000,6371000,0,44390000,6960000,S060000254,3363629000,G100000001,6,N,우송중학교,,
사립,3,대전광역시 중구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,5000000,9520000,0,128086000,10000000,S060000265,2596369000,G100000001,6,N,대전중앙중학교,중,3.0
사립,3,대전광역시 중구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,5000000,2600000,0,46253000,8496000,S060000269,3950902000,G100000001,6,N,동명중학교,중,3.0
사립,3,대전광역시 동구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,2540000,1990000,0,74453000,13200000,S060000271,2442510000,G100000001,6,N,보문중학교,,
사립,3,대전광역시 중구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,4844000,2600000,0,93727000,3000000,S060000272,2061501000,G100000001,6,N,대전신일중학교,,
사립,3,대전광역시 대덕구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,6001000,3550000,0,76300000,3400000,S060000274,3421987000,G100000001,6,N,신탄진중학교,중,3.0
사립,3,대전광역시 중구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,3000000,800000,0,25516000,1000000,S060000275,1717537000,G100000001,6,N,청란여자중학교,,
사립,3,대전광역시 중구,대전광역시동부교육지원청,대전광역시교육청,G100000108,N,복식부기,예산세입,1279000,4670000,0,64327000,20300000,S060000280,2769686000,G100000001,6,N,호수돈여자중학교,,
사립,3,대전광역시 서구,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,예산세입,25102000,12200000,0,218584000,12000000,S060000456,4395054000,G100000001,6,N,대전대신중학교,,
사립,3,대전광역시 서구,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,예산세입,2755000,9300000,0,297030000,559742000,S060000468,2848747000,G100000001,6,N,대전삼육중학교,,
사립,3,대전광역시 서구,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,예산세입,5010000,7856000,0,125325000,30900000,S060000480,3442909000,G100000001,6,N,동방여자중학교,중,3.0
사립,3,대전광역시 유성구,대전광역시서부교육지원청,대전광역시교육청,G100000138,N,복식부기,예산세입,100000,5430000,0,136619000,10000000,S060000482,3338110000,G100000001,6,N,성덕중학교,중,3.0
