FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,부산광역시 중구,부산광역시서부교육지원청,부산광역시교육청,C100000284,0,N,620109150,복식부기,결산세출,226839553,201280130,29883000,474441202,375035933,S020000608,1990577080,16058057.6,C100000001,2,N,덕원중학교,중,3.0
사립,3,부산광역시 동구,부산광역시남부교육지원청,부산광역시교육청,C100000175,67708300,N,756227265,미지정,결산세출,184166349,194926260,27430760,297391500,341383135,S020000613,1384313470,33891115.0,C100000001,2,N,부산동여자중학교,중,3.0
사립,3,부산광역시 동구,부산광역시남부교육지원청,부산광역시교육청,C100000175,2968350,N,138670000,미지정,결산세출,308149430,181232750,149094290,427263510,401614630,S020000618,2275870320,13924241.1,C100000001,2,N,선화여자중학교,,
사립,3,부산광역시 남구,부산광역시남부교육지원청,부산광역시교육청,C100000175,7472220,N,27677470,복식부기,결산세출,366934160,265957230,43802450,486060100,1000337260,S020000624,3134820350,8671644.3,C100000001,2,N,해연중학교,중,3.0
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,119,N,1523552930,미지정,결산세출,345168642,225700750,142737230,289912876,650084898,S020000769,2704208720,20855908.4,C100000001,2,N,금정중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,363486090,N,1248645600,복식부기,결산세출,475097910,183622170,54807770,263880460,757871720,S020000772,3335002200,13527153.7,C100000001,2,N,동래여자중학교,중,3.0
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,0,N,57520010,미지정,결산세출,351641140,178719030,18694760,332519770,843028000,S020000775,3156817030,8819535.3,C100000001,2,N,동해중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,0,N,875809710,미지정,결산세출,203902889,273652638,215452480,597457100,503154610,S020000779,1090431670,14350614.9,C100000001,2,N,부산예술중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,0,N,353163520,복식부기,결산세출,194181520,90313330,22002800,491536220,607179330,S020000780,1244849040,11731350.6,C100000001,2,N,브니엘예술중학교,,
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,98786000,N,977340000,복식부기,결산세출,285890550,164942000,67492190,204954200,486387180,S020000798,2737547170,19173050.7,C100000001,2,N,학산여자중학교,,
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,23688530,N,35359840,복식부기,결산세출,157546022,95783900,33005210,318521647,291307920,S020000799,1945786250,12504307.4,C100000001,2,N,혜화여자중학교,,
사립,3,부산광역시 연제구,부산광역시동래교육지원청,부산광역시교육청,C100000202,0,N,2425500,복식부기,결산세출,310959230,247702510,20687070,301345260,459142570,S020000958,2859929730,12811560.6,C100000001,2,N,거성중학교,중,3.0
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,0,N,415015540,미지정,결산세출,495526630,137166760,17432830,328977740,405681420,S020000961,2274724920,12853393.8,C100000001,2,N,덕명여자중학교,,
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,0,N,833277910,복식부기,결산세출,200209340,182435080,98978830,282500220,421501470,S020000963,2302156260,14849000.4,C100000001,2,N,동의중학교,중,3.0
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,180,N,16858020,복식부기,결산세출,315961810,270707480,204366840,283553248,535705400,S020000971,2718960740,10838188.8,C100000001,2,N,부산동중학교,,
사립,3,부산광역시 사상구,부산광역시북부교육지원청,부산광역시교육청,C100000258,0,N,900228300,복식부기,결산세출,344162140,131937921,30820760,239582260,583873540,S020000975,2507488510,15689051.1,C100000001,2,N,신라중학교,,
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,0,N,0,미지정,결산세출,224106160,556084490,35161020,224595440,312066990,S020000976,1869054340,14127493.2,C100000001,2,N,서면중학교,,
사립,3,부산광역시 연제구,부산광역시동래교육지원청,부산광역시교육청,C100000202,0,N,115417680,복식부기,결산세출,281392320,223233490,84872170,389344092,566343950,S020000983,3148721970,9411596.2,C100000001,2,N,이사벨중학교,,
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,0,N,0,복식부기,결산세출,281181930,203455984,149074950,389500270,552808950,S020000988,2752008580,10901840.5,C100000001,2,N,항도중학교,중,3.0
사립,3,부산광역시 강서구,부산광역시북부교육지원청,부산광역시교육청,C100000258,0,N,426834950,복식부기,결산세출,188816953,239738290,34799042,167581410,118720200,S020001211,1006860980,48518929.4,C100000001,2,N,녹산중학교,,
사립,3,부산광역시 강서구,부산광역시북부교육지원청,부산광역시교육청,C100000258,632520,N,384263830,복식부기,결산세출,217287692,181541400,13085050,145569650,173016760,S020001212,1368520540,21599282.1,C100000001,2,N,대저중학교,,
사립,3,부산광역시 사하구,부산광역시서부교육지원청,부산광역시교육청,C100000284,0,N,1062515820,미지정,결산세출,266333490,227558300,273061460,237961260,413505070,S020001400,2643925680,15672358.0,C100000001,2,N,건국중학교,,
