FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,부산광역시 중구,부산광역시서부교육지원청,부산광역시교육청,C100000284,N,복식부기,예산세입,0,0,0,29507000,12000000,S020000608,2934292000,C100000001,2,N,덕원중학교,중,3.0
사립,3,부산광역시 동구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,0,2100000,0,21167000,1000000,S020000613,2207716000,C100000001,2,N,부산동여자중학교,,
사립,3,부산광역시 동구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,5000000,4700000,0,14850000,0,S020000618,3358617000,C100000001,2,N,선화여자중학교,,
사립,3,부산광역시 남구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,0,28250000,0,170360000,8400000,S020000624,4764843000,C100000001,2,N,해연중학교,중,3.0
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,0,16100000,0,35008000,26793000,S020000769,3756756000,C100000001,2,N,금정중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,0,11000000,0,43013000,14968000,S020000772,4602292000,C100000001,2,N,동래여자중학교,,
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,100000,3000000,0,84656000,1600000,S020000775,4355860000,C100000001,2,N,동해중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,0,0,0,2506014000,0,S020000779,296784000,C100000001,2,N,부산예술중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,300001000,13605000,0,1851135000,1000000,S020000780,0,C100000001,2,N,브니엘예술중학교,,
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,0,7903000,0,36000000,400000,S020000798,3520121000,C100000001,2,N,학산여자중학교,,
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,0,0,0,15903000,5000000,S020000799,2651398000,C100000001,2,N,혜화여자중학교,,
사립,3,부산광역시 연제구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,0,18000000,0,59307000,19556000,S020000958,3726947000,C100000001,2,N,거성중학교,중,3.0
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,0,8228000,0,55675000,30000000,S020000961,3305421000,C100000001,2,N,덕명여자중학교,,
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,0,5100000,0,80900000,232600000,S020000963,2992995000,C100000001,2,N,동의중학교,,
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,101000,3545000,0,49745000,25707000,S020000971,3909902000,C100000001,2,N,부산동중학교,,
사립,3,부산광역시 사상구,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,예산세입,0,67800000,0,68627000,5000000,S020000975,3566170000,C100000001,2,N,신라중학교,,
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,0,1700000,0,65705000,60000000,S020000976,2782967000,C100000001,2,N,서면중학교,,
사립,3,부산광역시 연제구,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,예산세입,0,1700000,0,69960000,85000000,S020000983,3946261000,C100000001,2,N,이사벨중학교,,
사립,3,부산광역시 부산진구,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,예산세입,10000,7850000,0,46080000,2100000,S020000988,3537105000,C100000001,2,N,항도중학교,,
사립,3,부산광역시 강서구,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,예산세입,4000000,380000,0,15885000,1500000,S020001211,1439857000,C100000001,2,N,녹산중학교,,
사립,3,부산광역시 강서구,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,예산세입,3000000,80000,0,21240000,3650000,S020001212,1832751000,C100000001,2,N,대저중학교,,
