FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,부산광역시 중구,부산광역시서부교육지원청,부산광역시교육청,C100000284,4667000,N,31782000,복식부기,예산세출,213766000,214882000,11422000,110651000,232411000,S020000608,2115167000,11881570.9,C100000001,2,N,덕원중학교,중,3.0
사립,3,부산광역시 동구,부산광역시남부교육지원청,부산광역시교육청,C100000175,500000,N,500000,복식부기,예산세출,148046000,131090000,8100000,116063000,295243000,S020000613,1305575000,18064117.1,C100000001,2,N,부산동여자중학교,,
사립,3,부산광역시 동구,부산광역시남부교육지원청,부산광역시교육청,C100000175,3000000,N,0,복식부기,예산세출,211260000,91029000,25560000,136880000,319152000,S020000618,2376530000,11420256.3,C100000001,2,N,선화여자중학교,,
사립,3,부산광역시 남구,부산광역시남부교육지원청,부산광역시교육청,C100000175,500000,N,0,복식부기,예산세출,292922000,235103000,66990000,189801000,817562000,S020000624,3241652000,7714219.7,C100000001,2,N,해연중학교,중,3.0
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,500000,N,10000000,복식부기,예산세출,204366000,166423000,69521000,141217000,555722000,S020000769,2522086000,12071825.7,C100000001,2,N,금정중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,2000000,N,0,복식부기,예산세출,415427000,129352000,21070000,130725000,655367000,S020000772,3619415000,9619644.1,C100000001,2,N,동래여자중학교,,
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,500000,N,0,복식부기,예산세출,318761000,159680000,18099000,276605000,670729000,S020000775,2846827000,7873763.3,C100000001,2,N,동해중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,0,N,50000000,복식부기,예산세출,133312000,68750000,220418000,209017000,426004000,S020000779,1300861000,10336317.6,C100000001,2,N,부산예술중학교,,
사립,3,부산광역시 금정구,부산광역시동래교육지원청,부산광역시교육청,C100000202,5001000,N,28000000,복식부기,예산세출,192641000,67153000,24705000,279605000,54463000,S020000780,1473041000,8078361.2,C100000001,2,N,브니엘예술중학교,,
사립,3,부산광역시 동래구,부산광역시동래교육지원청,부산광역시교육청,C100000202,2001000,N,10000000,복식부기,예산세출,258584000,179928000,20637000,129019000,412956000,S020000798,2317982000,12383297.4,C100000001,2,N,학산여자중학교,,
