SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,29824000,0,0,1500000,S010000371,3989002000,B100000001,1,일반고등학교,N,강동고등학교,
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,23044000,0,0,111000000,S010000372,6625814000,B100000001,1,일반고등학교,N,강서고등학교,
,사립,4,서울특별시 광진구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,22001000,48180000,0,72072000,361162000,S010000374,7394170000,B100000001,1,일반고등학교,N,건국대학교사범대학부속고등학교,
고,사립,4,서울특별시 동작구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,2800000000,144060000,0,500659000,336800000,S010000378,4462820000,B100000001,1,일반고등학교,N,경문고등학교,
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,15824000,0,308416000,591080000,S010000380,5603076000,B100000001,1,일반고등학교,N,경복여자고등학교,
고,사립,4,서울특별시 마포구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,8680000,0,370000000,31000000,S010000381,5174111000,B100000001,1,일반고등학교,N,경성고등학교,
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,29000000,151629000,0,0,40000000,S010000382,5504247000,B100000001,1,일반고등학교,N,경신고등학교,
고,사립,4,서울특별시 동대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,21602000,0,5264990000,346408000,S010000384,0,B100000001,1,자율고등학교,N,경희고등학교,
,사립,4,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,12090000,0,0,152765000,S010000385,4779203000,B100000001,1,일반고등학교,N,경희여자고등학교,
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,7374000,0,446350000,381535000,S010000386,5667105000,B100000001,1,일반고등학교,N,계성고등학교,
,사립,4,서울특별시 성북구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,33480000,8012000,0,254020000,401714000,S010000387,6006385000,B100000001,1,일반고등학교,N,고려대학교사범대학부속고등학교,
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,49575000,0,0,84210000,S010000392,7582398000,B100000001,1,일반고등학교,N,광문고등학교,
,사립,4,서울특별시 마포구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,35233000,129100000,0,672110000,369896000,S010000393,5497716000,B100000001,1,일반고등학교,N,광성고등학교,
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,17360000,0,48371000,11850000,S010000394,5124804000,B100000001,1,일반고등학교,N,광신고등학교,
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,0,0,0,15000000,S010000396,7360215000,B100000001,1,일반고등학교,N,광영고등학교,
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,8518000,0,2000,12000000,S010000397,8020816000,B100000001,1,일반고등학교,N,광영여자고등학교,
고,사립,4,서울특별시 관악구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,59671000,0,62302000,62975000,S010000403,6475245000,B100000001,1,일반고등학교,N,남강고등학교,
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,45000000,58740000,0,0,488444000,S010000405,7036012000,B100000001,1,일반고등학교,N,단국대학교사범대학부속고등학교,
고,사립,4,서울특별시 동대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,50000000,155614000,0,5401588000,400533000,S010000407,0,B100000001,1,자율고등학교,N,대광고등학교,
고,사립,4,서울특별시 은평구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,39250000,0,740424000,106000000,S010000408,6100302000,B100000001,1,일반고등학교,N,대성고등학교,
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,30030000,0,57350000,51900000,S010000409,5163097000,B100000001,1,일반고등학교,N,대신고등학교,
