SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,300000,N,0,복식부기,예산세출,327951000,115705000,15900000,106810000,87712000,S010000371,4136233000,7789611.4,B100000001,1,일반고등학교,N,강동고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,50000000,복식부기,예산세출,391127000,183067000,28322000,84880000,577766000,S010000372,5378074000,6752254.0,B100000001,1,일반고등학교,N,강서고등학교
,사립,4,서울특별시 광진구,,서울특별시교육청,서울특별시교육청,B100000001,1000,N,147139000,복식부기,예산세출,557319000,201500000,20750000,53640000,235794000,S010000374,6327604000,7809261.9,B100000001,1,일반고등학교,N,건국대학교사범대학부속고등학교
고,사립,4,서울특별시 동작구,4.0,서울특별시교육청,서울특별시교육청,B100000001,6000000,N,2570000000,복식부기,예산세출,464358000,90830000,132800000,242995000,422765000,S010000378,4150970000,12949868.6,B100000001,1,일반고등학교,N,경문고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,25000000,복식부기,예산세출,480219000,130282000,46600000,38200000,661722000,S010000380,4662051000,10039990.0,B100000001,1,일반고등학교,N,경복여자고등학교
고,사립,4,서울특별시 마포구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,225697000,107908000,350650000,126010000,185581000,S010000381,4032158000,7880884.0,B100000001,1,일반고등학교,N,경성고등학교
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,30495000,N,1000000,복식부기,예산세출,651768000,150603000,1046200000,37185000,392106000,S010000382,4744778000,15170182.8,B100000001,1,일반고등학교,N,경신고등학교
고,사립,4,서울특별시 동대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,20000000,복식부기,예산세출,370273000,183712000,89200000,127800000,280212000,S010000384,3860803000,6975954.7,B100000001,1,자율고등학교,N,경희고등학교
,사립,4,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,415216000,165983000,38080000,89631000,47724000,S010000385,3988260000,12166394.9,B100000001,1,일반고등학교,N,경희여자고등학교
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,37000000,복식부기,예산세출,529950000,116258000,53575000,244298000,358526000,S010000386,4844448000,7778685.5,B100000001,1,일반고등학교,N,계성고등학교
