FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,5000000,N,0,복식부기,예산세출,349451000,235500000,43100000,155318000,76897000,S010000704,2801231000,6050325.1,B100000001,1,N,단국대학교사범대학부속중학교,,
사립,3,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,30000000,N,3000000,복식부기,예산세출,358970000,98010000,50684000,126212000,717570000,S010000710,3450048000,10791281.3,B100000001,1,N,동덕여자중학교,,
사립,3,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,2000000,N,0,복식부기,예산세출,308955000,267087000,29100000,182327000,73830000,S010000714,3536701000,7017543.9,B100000001,1,N,서문여자중학교,,
사립,3,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,1283000,N,0,복식부기,예산세출,284754000,131499000,94930000,441047000,132091000,S010000718,4026739000,6853006.7,B100000001,1,N,세화여자중학교,중,3.0
사립,3,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,20000000,복식부기,예산세출,383901000,63061000,82945000,278848000,39049000,S010000720,3845010000,5253973.2,B100000001,1,N,숙명여자중학교,중,3.0
사립,3,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,3000000,N,0,복식부기,예산세출,266453000,115120000,113500000,379160000,94380000,S010000731,2304103000,6740156.4,B100000001,1,N,은성중학교,중,3.0
사립,3,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,57260000,복식부기,예산세출,561597000,189962000,30543000,249396000,76887000,S010000733,4398875000,5701352.5,B100000001,1,N,중동중학교,,
사립,3,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,5000000,N,60000000,복식부기,예산세출,696228000,381054000,40600000,745148000,217328000,S010000734,4027687000,6191619.9,B100000001,1,N,진선여자중학교,중,3.0
사립,3,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,0,N,0,복식부기,예산세출,487282000,120322000,870132000,134405000,48652000,S010000736,3668305000,6546803.4,B100000001,1,N,휘문중학교,,
사립,3,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,2000000,N,0,복식부기,예산세출,211370000,174775000,468300000,213906000,31040000,S010000861,3756429000,20849012.9,B100000001,1,N,동북중학교,,
