SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,울산광역시 남구,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,미지정,결산세입,13965261,44400835,0,0,25549870,S070000087,7533840130,H100000001,7,일반고등학교,N,울산삼일고등학교
,사립,4,울산광역시 남구,,울산광역시교육청,울산광역시교육청,H100000001,N,미지정,결산세입,19187839,41960128,0,295056610,28227000,S070000089,7079986800,H100000001,7,일반고등학교,N,성광여자고등학교
고,사립,4,울산광역시 중구,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,152495716,47884637,0,336602960,137180000,S070000090,6997663510,H100000001,7,일반고등학교,N,성신고등학교
고,사립,4,울산광역시 남구,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,55345452,44729047,0,185916620,1750000,S070000095,7442025990,H100000001,7,일반고등학교,N,우신고등학교
,사립,4,울산광역시 울주군,,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,8223157,41107302,0,167305080,17549875,S070000096,8297681120,H100000001,7,특성화고등학교,N,울산기술공업고등학교
고,사립,4,울산광역시 울주군,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,23943430,48899098,0,96791010,100000,S070000097,6230180730,H100000001,7,일반고등학교,N,울산경의고등학교
고,사립,4,울산광역시 중구,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,14960307,53273974,0,488263530,51689710,S070000098,6995033680,H100000001,7,일반고등학교,N,울산고등학교
고,사립,4,울산광역시 울주군,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,15777467,48720283,0,251016990,17382913,S070000108,5680389510,H100000001,7,일반고등학교,N,울산예술고등학교
고,사립,4,울산광역시 남구,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,15167602,65442787,0,92843620,4580000,S070000111,8654608270,H100000001,7,일반고등학교,N,울산제일고등학교
,사립,4,울산광역시 동구,,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,69560194,83361301,0,440464060,458875900,S070000120,7567930280,H100000001,7,일반고등학교,N,현대고등학교
고,사립,4,울산광역시 동구,4.0,울산광역시교육청,울산광역시교육청,H100000001,N,복식부기,결산세입,46081056,130707649,0,951464560,434658910,S070000123,8445778820,H100000001,7,특수목적고등학교,N,현대공업고등학교
,사립,4,울산광역시 동구,,울산광역시교육청,울산광역시교육청,H100000001,N,미지정,결산세입,6521459,194193463,0,5556381940,3984007000,S070000124,3275690220,H100000001,7,자율고등학교,N,현대청운고등학교
