SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,29240020,N,487349000,미지정,결산세출,348005322,1573343270,252137700,79846965,741016690,S040000187,4380266430,19107034.9,E100000001,4,특성화고등학교,N,인천보건고등학교,
,사립,4,인천광역시 중구,,인천광역시교육청,인천광역시교육청,E100000001,23366760,N,0,복식부기,결산세출,400132320,809395660,155337570,461319340,1113546220,S040000192,4251313080,14201596.4,E100000001,4,일반고등학교,N,광성고등학교,
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,7607400,N,322934520,복식부기,결산세출,139198818,106151110,53012880,122156730,428803360,S040000195,1186132360,53772663.1,E100000001,4,특성화고등학교,N,산마을고등학교,
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,4800340,N,77094400,복식부기,결산세출,475568125,1394264150,56833430,504557877,1611100860,S040000198,7384908360,11520648.2,E100000001,4,일반고등학교,N,대인고등학교,
고,사립,4,인천광역시 동구,4.0,인천광역시교육청,인천광역시교육청,E100000001,120922450,N,0,복식부기,결산세출,786631508,1593958200,1192561500,1080579512,1251937900,S040000201,5715111710,21504950.1,E100000001,4,특성화고등학교,N,재능고등학교,
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,19992810,N,0,복식부기,결산세출,271379080,771392370,196749300,240380270,531948430,S040000202,2219254700,20437966.2,E100000001,4,일반고등학교,N,덕신고등학교,
,사립,4,인천광역시 동구,,인천광역시교육청,인천광역시교육청,E100000001,25587490,N,504305360,미지정,결산세출,461465890,842622480,626074740,807590750,1375434990,S040000204,4501742440,19415762.5,E100000001,4,일반고등학교,N,동산고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,70415830,N,0,복식부기,결산세출,385283890,533102750,97622390,419516830,835937550,S040000207,4955152620,14507021.6,E100000001,4,일반고등학교,N,명신여자고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,41130430,N,0,복식부기,결산세출,423636300,246045320,502959420,1239615560,886226270,S040000209,5033646540,14767654.0,E100000001,4,특성화고등학교,N,인천금융고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,81050040,N,30000000,복식부기,결산세출,439168780,712325660,33215320,578854330,1308133980,S040000210,7462191430,10644939.5,E100000001,4,일반고등학교,N,문일여자고등학교,
고,사립,4,인천광역시 서구,4.0,인천광역시교육청,인천광역시교육청,E100000001,31215880,N,141707160,미지정,결산세출,466440785,944656524,1303376290,215307986,877501065,S040000219,5724799250,19410009.9,E100000001,4,특성화고등학교,N,문곡고등학교,
고,사립,4,인천광역시 강화군,4.0,인천광역시교육청,인천광역시교육청,E100000001,33200180,N,299311690,복식부기,결산세출,404179280,449883640,319077200,426130950,1277513870,S040000225,2767958990,25875566.2,E100000001,4,특성화고등학교,N,한국글로벌셰프고등학교,
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,75653570,N,153144660,복식부기,결산세출,692417630,248114470,246315800,335376220,1684071310,S040000230,7013962940,8495168.0,E100000001,4,일반고등학교,N,서인천고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,45347870,N,1236355090,복식부기,결산세출,297849330,666219570,89139650,186529740,1338748050,S040000235,4978140760,15238500.1,E100000001,4,일반고등학교,N,세일고등학교,
,사립,4,인천광역시 연수구,,인천광역시교육청,인천광역시교육청,E100000001,103839780,N,1128257910,복식부기,결산세출,491607690,393135110,399290070,469834430,1440868900,S040000236,5887330390,12308071.9,E100000001,4,일반고등학교,N,송도고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,174842610,N,2479954840,복식부기,결산세출,450433250,618790670,110202110,410324700,1409403920,S040000237,6158671970,15604523.2,E100000001,4,일반고등학교,N,숭덕여자고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,0,N,177670560,복식부기,결산세출,537957980,218933280,139641790,403139310,1190370770,S040000238,5282403440,9671675.3,E100000001,4,일반고등학교,N,신명여자고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,71928650,N,0,미지정,결산세출,693890840,1451975850,191233000,602455090,2178656980,S040000244,4763728080,16291110.5,E100000001,4,특수목적고등학교,N,인천외국어고등학교,
고,사립,4,인천광역시 동구,4.0,인천광역시교육청,인천광역시교육청,E100000001,30079720,N,1770887190,미지정,결산세출,616612538,1363115420,456464470,544339312,1356183080,S040000248,5471242910,19676143.5,E100000001,4,특성화고등학교,N,영화국제관광고등학교,
,사립,4,인천광역시 미추홀구,,인천광역시교육청,인천광역시교육청,E100000001,54033740,N,587200610,복식부기,결산세출,392646400,1134979530,109643850,390790330,1544191010,S040000254,7356352850,12440686.4,E100000001,4,일반고등학교,N,인명여자고등학교,
,사립,4,인천광역시 중구,,인천광역시교육청,인천광역시교육청,E100000001,39589880,N,315282930,복식부기,결산세출,468073397,282928760,104803240,461167103,999883260,S040000255,4601715150,13671886.7,E100000001,4,일반고등학교,N,인성여자고등학교,
고,사립,4,인천광역시 남동구,4.0,인천광역시교육청,인천광역시교육청,E100000001,33562080,N,20060890,복식부기,결산세출,524085420,1187077130,112662390,584675720,1084024470,S040000257,5764495150,12931449.0,E100000001,4,일반고등학교,N,인제고등학교,
,사립,4,인천광역시 연수구,,인천광역시교육청,인천광역시교육청,E100000001,61244570,N,0,미지정,결산세출,552228040,1187479430,312579000,553318790,1368680400,S040000263,5621428790,12026100.9,E100000001,4,일반고등학교,N,인천대건고등학교,
