FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,39204390,N,236042920,미지정,결산세출,122679650,59459220,219279090,59916840,235152790,S040000323,1096487010,33358417.9,E100000001,4,N,동광중학교,,
사립,3,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,15193170,N,42767020,복식부기,결산세출,116749073,299884300,62522900,148177309,474005270,S040000325,1070796530,29734607.6,E100000001,4,N,승영중학교,,
사립,3,인천광역시 중구,인천광역시남부교육지원청,인천광역시교육청,E100000082,36276580,N,484248630,복식부기,결산세출,155685050,238367690,168093210,132135110,437516360,S040000414,3106489730,11170921.0,E100000001,4,N,광성중학교,,
사립,3,인천광역시 동구,인천광역시남부교육지원청,인천광역시교육청,E100000082,7328880,N,58824690,복식부기,결산세출,213987520,88111360,452329560,98841550,372912320,S040000419,2517974350,10554876.0,E100000001,4,N,재능중학교,중,3.0
사립,3,인천광역시 동구,인천광역시남부교육지원청,인천광역시교육청,E100000082,0,N,0,복식부기,결산세출,258681350,355104440,624474240,277296720,373903500,S040000421,3265987080,10229062.2,E100000001,4,N,동산중학교,,
사립,3,인천광역시 중구,인천광역시남부교육지원청,인천광역시교육청,E100000082,37602430,N,37000000,복식부기,결산세출,366804500,200697960,182053660,140894860,389832530,S040000426,3027484570,16920349.5,E100000001,4,N,송도중학교,,
사립,3,인천광역시 중구,인천광역시남부교육지원청,인천광역시교육청,E100000082,0,N,0,복식부기,결산세출,199157730,253247870,122296290,95244160,296981210,S040000435,2019534620,10123599.6,E100000001,4,N,인성여자중학교,,
사립,3,인천광역시 연수구,인천광역시동부교육지원청,인천광역시교육청,E100000117,78061840,N,251353880,복식부기,결산세출,257946070,229950410,46696600,308910260,926549500,S040000439,3578132450,7114788.2,E100000001,4,N,박문중학교,중,3.0
사립,3,인천광역시 미추홀구,인천광역시남부교육지원청,인천광역시교육청,E100000082,176027920,N,1805057560,복식부기,결산세출,301190020,415042600,115728600,312989420,659579540,S040000440,3945601150,9836153.7,E100000001,4,N,인하대학교사범대학부속중학교,,
사립,3,인천광역시 남동구,인천광역시동부교육지원청,인천광역시교육청,E100000117,0,N,54820000,미지정,결산세출,184216050,199390070,20477960,156876390,312755560,S040000629,1883209170,7246766.0,E100000001,4,N,숭덕여자중학교,,
