FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,3500000,N,0,복식부기,예산세출,116353000,18413000,58435000,44615000,65672000,S040000323,1282812000,26062295.1,E100000001,4,N,동광중학교,,
사립,3,인천광역시 강화군,인천광역시강화교육지원청,인천광역시교육청,E100000070,4000000,N,139586000,복식부기,예산세출,128542000,61212000,17984000,67454000,625303000,S040000325,1235490000,32106633.8,E100000001,4,N,승영중학교,,
사립,3,인천광역시 중구,인천광역시남부교육지원청,인천광역시교육청,E100000082,1051000,N,0,복식부기,예산세출,213564000,98353000,65424000,174037000,107137000,S040000414,2851903000,11744043.5,E100000001,4,N,광성중학교,,
사립,3,인천광역시 동구,인천광역시남부교육지원청,인천광역시교육청,E100000082,1000000,N,0,복식부기,예산세출,237972000,41650000,9000000,112665000,149987000,S040000419,2806939000,10464838.0,E100000001,4,N,재능중학교,중,3.0
사립,3,인천광역시 동구,인천광역시남부교육지원청,인천광역시교육청,E100000082,2000000,N,0,복식부기,예산세출,316421000,56344000,823900000,122801000,52105000,S040000421,3391547000,8824292.6,E100000001,4,N,동산중학교,,
사립,3,인천광역시 중구,인천광역시남부교육지원청,인천광역시교육청,E100000082,10000000,N,0,복식부기,예산세출,358782000,93010000,115018000,77385000,355321000,S040000426,2810246000,18909712.9,E100000001,4,N,송도중학교,,
사립,3,인천광역시 중구,인천광역시남부교육지원청,인천광역시교육청,E100000082,1000000,N,0,복식부기,예산세출,286139000,35471000,109250000,72720000,66500000,S040000435,2396328000,9924441.5,E100000001,4,N,인성여자중학교,,
사립,3,인천광역시 연수구,인천광역시동부교육지원청,인천광역시교육청,E100000117,8000000,N,0,복식부기,예산세출,359109000,124461000,13500000,186650000,144906000,S040000439,3650845000,6164108.5,E100000001,4,N,박문중학교,중,3.0
사립,3,인천광역시 미추홀구,인천광역시남부교육지원청,인천광역시교육청,E100000082,10000000,N,0,복식부기,예산세출,433056000,138264000,123241000,181361000,202373000,S040000440,3825122000,6648737.5,E100000001,4,N,인하대학교사범대학부속중학교,,
사립,3,인천광역시 남동구,인천광역시동부교육지원청,인천광역시교육청,E100000117,2000000,N,0,복식부기,예산세출,233727000,65093000,12325000,455126000,352007000,S040000629,1933321000,8625985.9,E100000001,4,N,숭덕여자중학교,,
