SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,전라남도 나주시,,전라남도교육청,전라남도교육청,Q100000001,34532000,N,309108080,복식부기,결산세출,246961140,124905690,228196460,95828860,353623520,S140000173,1229545680,30145993.4,Q100000001,15,일반고등학교,N,광남고등학교
고,사립,4,전라남도 광양시,4.0,전라남도교육청,전라남도교육청,Q100000001,66657990,N,200000000,복식부기,결산세출,745229628,344754660,477813943,140441770,2681584664,S140000177,5381067863,14653358.4,Q100000001,15,자율고등학교,N,광양제철고등학교
,사립,4,전라남도 나주시,,전라남도교육청,전라남도교육청,Q100000001,81725000,N,1978861460,복식부기,결산세출,255371210,920908140,267471130,280392990,1087420119,S140000182,3097921160,20864060.8,Q100000001,15,일반고등학교,N,금성고등학교
,사립,4,전라남도 나주시,,전라남도교육청,전라남도교육청,Q100000001,46437000,N,1244029740,복식부기,결산세출,391558860,298477960,1154210800,315452072,1363787341,S140000185,3135526510,20383282.8,Q100000001,15,특성화고등학교,N,나주공업고등학교
고,사립,4,전라남도 화순군,4.0,전라남도교육청,전라남도교육청,Q100000001,58972000,N,142209150,복식부기,결산세출,598451980,1230467030,277072310,76603300,2697509250,S140000188,3604110480,17475644.9,Q100000001,15,일반고등학교,N,능주고등학교
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,66424250,N,498485270,복식부기,결산세출,343016160,902900770,186818060,432057860,1564534470,S140000199,4040070460,16497550.9,Q100000001,15,일반고등학교,N,목포덕인고등학교
고,사립,4,전라남도 목포시,4.0,전라남도교육청,전라남도교육청,Q100000001,81002000,N,337524340,복식부기,결산세출,400583690,169374640,122568750,200586300,1103303930,S140000200,4244341100,13787339.0,Q100000001,15,일반고등학교,N,목포마리아회고등학교
고,사립,4,전라남도 목포시,4.0,전라남도교육청,전라남도교육청,Q100000001,114396050,N,900213040,복식부기,결산세출,165064210,202728067,27236980,149169050,356581476,S140000202,3526633420,37274125.3,Q100000001,15,특성화고등학교,N,목포성신고등학교
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,141598300,N,1756736460,복식부기,결산세출,401891331,151051190,310368130,400839080,816974260,S140000204,3273973690,25361651.9,Q100000001,15,특성화고등학교,N,목포중앙고등학교
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,209059000,N,477531930,복식부기,결산세출,381326636,571431790,1181681685,81282090,1474883130,S140000206,5985011450,19332477.1,Q100000001,15,특성화고등학교,N,목포여자상업고등학교
