FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
사립,3,전라남도 고흥군,전라남도고흥교육지원청,전라남도교육청,Q100000055,7653000,N,186088810,미지정,결산세출,145986330,178007400,22913640,74638710,140573290,S140000386,898490410,38473292.8,Q100000001,15,N,고흥대서중학교,,,
사립,3,전라남도 고흥군,전라남도고흥교육지원청,전라남도교육청,Q100000055,444000,N,0,미지정,결산세출,200055780,994621510,35485730,92369410,144897560,S140000401,1082077000,72855742.6,Q100000001,15,N,동강중학교,,,
사립,3,전라남도 광양시,전라남도광양교육지원청,전라남도교육청,Q100000065,23197400,N,0,미지정,결산세출,365631759,247716333,114523830,196912710,665245830,S140000546,3081577280,11072653.6,Q100000001,15,N,광양제철중학교,,,
사립,3,전라남도 나주시,전라남도나주교육지원청,전라남도교육청,Q100000076,25843000,N,26716890,복식부기,결산세출,120207294,132021530,216029190,113064060,159869301,S140000671,1139544760,13908604.5,Q100000001,15,N,금성중학교,,,
사립,3,전라남도 나주시,전라남도나주교육지원청,전라남도교육청,Q100000076,38545760,N,92296170,미지정,결산세출,172895210,84907830,355062460,224620160,353299370,S140000687,1060857720,20190548.1,Q100000001,15,N,세지중학교,,,
사립,3,전라남도 나주시,전라남도나주교육지원청,전라남도교육청,Q100000076,13732800,N,218193810,미지정,결산세출,253864920,350933430,203176070,85655240,124378810,S140000689,1371706050,27889799.3,Q100000001,15,N,영산중학교,,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,39828000,N,0,미지정,결산세출,250880670,626404700,120224420,305436800,474245290,S140000827,2773279260,10456262.3,Q100000001,15,N,목포덕인중학교,,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,37069000,N,193586140,미지정,결산세출,320921010,91499940,133649930,521515470,538558040,S140000830,3689271280,10668090.4,Q100000001,15,N,목포영화중학교,,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,40166000,N,406524200,복식부기,결산세출,338918590,1218612980,94953800,282618430,604891510,S140000833,3268293850,11982719.1,Q100000001,15,N,목포정명여자중학교,중,3.0,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,33963800,N,0,미지정,결산세출,329233400,650459040,76224790,363102660,541544900,S140000839,2591048170,9358319.9,Q100000001,15,N,목포혜인여자중학교,,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,55632000,N,1110431140,복식부기,결산세출,301708475,198201480,157846570,369261965,551990680,S140000841,2944336900,11221714.4,Q100000001,15,N,목포홍일중학교,중,3.0,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,14620510,N,19750000,복식부기,결산세출,261187740,285237880,142307360,280204050,542459050,S140000842,3202872270,8713098.8,Q100000001,15,N,문태중학교,,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,26524700,N,0,복식부기,결산세출,359935070,370597470,265386610,315309940,897203670,S140000843,3451409750,9127395.2,Q100000001,15,N,영흥중학교,중,3.0,
사립,3,전라남도 무안군,전라남도무안교육지원청,전라남도교육청,Q100000091,3779000,N,0,복식부기,결산세출,145812090,352050100,49238890,75166310,324913960,S140000925,645617560,28010138.8,Q100000001,15,N,망운중학교,,,
사립,3,전라남도 무안군,전라남도무안교육지원청,전라남도교육청,Q100000091,1465000,N,713868180,미지정,결산세출,205122480,144253670,22416640,119709560,236544830,S140000933,1001589010,42154644.3,Q100000001,15,N,해제중학교,,,
사립,3,전라남도 보성군,전라남도보성교육지원청,전라남도교육청,Q100000096,33992000,N,387650570,미지정,결산세출,126655800,61633500,8014990,43883220,142833190,S140000998,971233520,104464517.1,Q100000001,15,N,득량중학교,중,3.0,
사립,3,전라남도 보성군,전라남도보성교육지원청,전라남도교육청,Q100000096,33640000,N,403213960,미지정,결산세출,195447340,331343720,18032360,62368240,100155570,S140001011,842803320,40551112.4,Q100000001,15,N,삼광중학교,,,
사립,3,전라남도 보성군,전라남도보성교육지원청,전라남도교육청,Q100000096,60562000,N,384339530,미지정,결산세출,162104150,255555930,59432110,114734760,67823850,S140001013,894243120,39192067.6,Q100000001,15,N,예당중학교,중,3.0,
사립,3,전라남도 순천시,전라남도순천교육지원청,전라남도교육청,Q100000102,190794760,N,943763950,복식부기,결산세출,364910250,148983880,42731200,310069400,987336060,S140001084,3684404880,10592054.6,Q100000001,15,N,순천매산중학교,,,
사립,3,전라남도 여수시,전라남도여수교육지원청,전라남도교육청,Q100000110,24638200,N,396839210,미지정,결산세출,231999450,485605470,57179090,228715660,347154200,S140001376,2310959760,12373003.2,Q100000001,15,N,여수종고중학교,,,
사립,3,전라남도 여수시,전라남도여수교육지원청,전라남도교육청,Q100000110,13746000,N,0,미지정,결산세출,169807250,505621900,30527670,161733470,290432710,S140001377,2298222220,12996596.3,Q100000001,15,N,여수중앙중학교,중,3.0,
사립,3,전라남도 여수시,전라남도여수교육지원청,전라남도교육청,Q100000110,15728220,N,442733550,미지정,결산세출,176301170,151158990,36968270,190109350,388694300,S140001383,2457777910,12530752.5,Q100000001,15,N,여수진성중학교,중,3.0,
사립,3,전라남도 여수시,전라남도여수교육지원청,전라남도교육청,Q100000110,21703800,N,1191863400,복식부기,결산세출,359958210,638250650,318009620,287985500,829315120,S140001561,3358287420,12853896.7,Q100000001,15,N,여도중학교,,,
사립,3,전라남도 여수시,전라남도여수교육지원청,전라남도교육청,Q100000110,19944000,N,59065790,미지정,결산세출,117621150,627043160,21814240,90127400,57784000,S140001562,757061880,35723706.5,Q100000001,15,N,여양중학교,,,
사립,3,전라남도 영광군,전라남도영광교육지원청,전라남도교육청,Q100000117,30980000,N,261186430,복식부기,결산세출,239108600,217123580,77348900,105451680,439274960,S140001651,1227171010,54117607.5,Q100000001,15,N,성지송학중학교,,,
사립,3,전라남도 영광군,전라남도영광교육지원청,전라남도교육청,Q100000117,127059340,N,1420357490,복식부기,결산세출,247075960,251609450,126023020,140431720,227155800,S140001663,1646197000,20825421.8,Q100000001,15,N,해룡중학교,중,3.0,
사립,3,전라남도 영암군,전라남도영암교육지원청,전라남도교육청,Q100000122,12767560,N,0,미지정,결산세출,161267040,152647520,21189210,121780530,196081880,S140001735,1167800970,87311176.7,Q100000001,15,N,시종중학교,,,
사립,3,전라남도 영암군,전라남도영암교육지원청,전라남도교육청,Q100000122,27559450,N,431476190,복식부기,결산세출,164558560,68649390,19566700,134850090,190632640,S140001742,900685340,13842702.6,Q100000001,15,N,영암여자중학교,,,
사립,3,전라남도 진도군,전라남도진도교육지원청,전라남도교육청,Q100000141,6037000,N,0,복식부기,결산세출,164189620,556851410,15365780,55243150,207572130,S140002016,1057704470,76406057.8,Q100000001,15,N,의신중학교,,,
사립,3,전라남도 진도군,전라남도진도교육지원청,전라남도교육청,Q100000141,63645410,N,222027010,복식부기,결산세출,250318820,478886050,60053720,235820120,702132760,S140002020,2435689150,12710208.7,Q100000001,15,N,진도중학교,,,
사립,3,전라남도 진도군,전라남도진도교육지원청,전라남도교육청,Q100000141,4612000,N,182008070,미지정,결산세출,159343410,79981250,39874980,94674870,229069950,S140002021,970812210,44009418.5,Q100000001,15,N,진도지산중학교,,,
사립,3,전라남도 해남군,전라남도해남교육지원청,전라남도교육청,Q100000152,5788000,N,86023680,복식부기,결산세출,138093140,114885500,22399600,60307830,78295280,S140002156,916441690,24521288.3,Q100000001,15,N,화원중학교,,,
사립,3,전라남도 화순군,전라남도화순교육지원청,전라남도교육청,Q100000157,35602070,N,530622680,복식부기,결산세출,163138870,182831950,40846980,118103670,346548500,S140002255,1166842720,13821055.8,Q100000001,15,N,능주중학교,,,
사립,3,전라남도 보성군,전라남도보성교육지원청,전라남도교육청,Q100000096,28901400,N,362088680,미지정,결산세출,149326910,110206910,172770240,219155200,832832310,S140004883,1297903300,24039279.9,Q100000001,15,N,용정중학교,,,
