FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,전라남도 고흥군,전라남도고흥교육지원청,전라남도교육청,Q100000055,1680000,N,90955000,복식부기,예산세출,136371000,51900000,8020000,46074000,122587000,S140000386,880581000,31120186.0,Q100000001,15,N,고흥대서중학교,,
사립,3,전라남도 고흥군,전라남도고흥교육지원청,전라남도교육청,Q100000055,2000000,N,0,복식부기,예산세출,189252000,262805000,7900000,47900000,112443000,S140000401,1079820000,48632000.0,Q100000001,15,N,동강중학교,,
사립,3,전라남도 광양시,전라남도광양교육지원청,전라남도교육청,Q100000065,3784000,N,0,복식부기,예산세출,252173000,127581000,48260000,109816000,544881000,S140000546,3222260000,10162158.0,Q100000001,15,N,광양제철중학교,,
사립,3,전라남도 나주시,전라남도나주교육지원청,전라남도교육청,Q100000076,3000000,N,31633000,복식부기,예산세출,87300000,68160000,52047000,91186000,99918000,S140000671,1016522000,10429971.2,Q100000001,15,N,금성중학교,,
사립,3,전라남도 나주시,전라남도나주교육지원청,전라남도교육청,Q100000076,0,N,0,복식부기,예산세출,140134000,31900000,176750000,64538000,137796000,S140000687,1065406000,13699355.9,Q100000001,15,N,세지중학교,,
사립,3,전라남도 나주시,전라남도나주교육지원청,전라남도교육청,Q100000076,2000000,N,6373000,복식부기,예산세출,142406000,51600000,51362000,49988000,71911000,S140000689,882095000,13380159.6,Q100000001,15,N,영산중학교,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,3500000,N,0,복식부기,예산세출,201914000,191281000,151400000,242649000,292578000,S140000827,2845586000,8949676.5,Q100000001,15,N,목포덕인중학교,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,5000000,N,0,복식부기,예산세출,188805000,99796000,16480000,143928000,267602000,S140000830,4038242000,9188905.4,Q100000001,15,N,목포영화중학교,,
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,0,N,0,복식부기,예산세출,194667000,180531000,58956000,175742000,334800000,S140000833,3312917000,8156346.7,Q100000001,15,N,목포정명여자중학교,중,3.0
사립,3,전라남도 목포시,전라남도목포교육지원청,전라남도교육청,Q100000086,2840000,N,0,복식부기,예산세출,286132000,553215000,155943000,188528000,328409000,S140000839,2749733000,8703673.5,Q100000001,15,N,목포혜인여자중학교,,
