SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,전북특별자치도 고창군,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,9371681,14117006,0,1373302430,89884000,S130000299,8965482590,P100000001,14,특성화고등학교,N,강호항공고등학교,
고,사립,4,전북특별자치도 고창군,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,262277131,13253283,0,525895700,30100000,S130000303,4865201110,P100000001,14,일반고등학교,N,고창북고등학교,
고,사립,4,전북특별자치도 고창군,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,12714671,14315190,0,131502768,29838337,S130000304,6380331690,P100000001,14,일반고등학교,N,자유고등학교,
,사립,4,전북특별자치도 군산시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,398977520,17687718,0,164147350,63512050,S130000312,8714332110,P100000001,14,일반고등학교,N,군산영광여자고등학교,
,사립,4,전북특별자치도 군산시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,247567570,37403160,0,461178440,28123610,S130000313,9102379480,P100000001,14,일반고등학교,N,군산제일고등학교,
고,사립,4,전북특별자치도 군산시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,214091180,41830500,0,637968170,7399000,S130000314,7538809070,P100000001,14,일반고등학교,N,군산중앙고등학교,
,사립,4,전북특별자치도 군산시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,366962554,22470518,0,263010030,7404735,S130000315,9094440920,P100000001,14,일반고등학교,N,군산중앙여자고등학교,
고,사립,4,전북특별자치도 김제시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,32563576,17992864,0,9875870,23929000,S130000316,1485734020,P100000001,14,일반고등학교,N,동국대학교사범대학부속금산고등학교,
,사립,4,전북특별자치도 김제시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,97731900,3627884,0,64192100,6491000,S130000321,3567533450,P100000001,14,일반고등학교,N,김제서고등학교,
고,사립,4,전북특별자치도 익산시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,736660924,53560006,0,1145737500,72551200,S130000324,12368184040,P100000001,14,일반고등학교,N,남성고등학교,
고,사립,4,전북특별자치도 남원시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,36248220,2510874,0,96611050,18141000,S130000328,5284530320,P100000001,14,일반고등학교,N,남원서진여자고등학교,
고,사립,4,전북특별자치도 남원시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,242086436,7766300,0,64661610,13101000,S130000331,6231992650,P100000001,14,특성화고등학교,N,남원제일고등학교,
