FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,322000,N,0,복식부기,예산세출,73848000,73699000,6390000,30338000,25637000,S130000466,879734000,57366736.8,P100000001,14,N,고창남중학교,,
사립,3,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,1639000,N,2269604000,복식부기,예산세출,125395000,92248000,59700000,89322000,378129000,S130000467,1599448000,26834215.1,P100000001,14,N,고창북중학교,,
사립,3,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,3000000,N,0,복식부기,예산세출,152066000,68292000,47460000,166475000,109961000,S130000468,2672784000,8822021.9,P100000001,14,N,자유중학교,중,3.0
사립,3,전북특별자치도 고창군,전북특별자치도고창교육지원청,전북특별자치도교육청,P100000097,2000000,N,0,복식부기,예산세출,108240000,500934000,79380000,118345000,582794000,S130000477,1966348000,16067181.8,P100000001,14,N,영선중학교,중,3.0
사립,3,전북특별자치도 군산시,전북특별자치도군산교육지원청,전북특별자치도교육청,P100000108,8000000,N,0,복식부기,예산세출,169405000,79497000,10290000,155669000,121330000,S130000551,3053008000,8250456.4,P100000001,14,N,군산영광중학교,중,3.0
사립,3,전북특별자치도 군산시,전북특별자치도군산교육지원청,전북특별자치도교육청,P100000108,3000000,N,44500000,복식부기,예산세출,229545000,125218000,4500000,99650000,437858000,S130000555,2747504000,6568994.7,P100000001,14,N,군산제일중학교,,
사립,3,전북특별자치도 군산시,전북특별자치도군산교육지원청,전북특별자치도교육청,P100000108,0,N,0,복식부기,예산세출,216052000,104000000,31700000,107858000,507429000,S130000557,2689328000,8705635.7,P100000001,14,N,군산중앙중학교,,
사립,3,전북특별자치도 군산시,전북특별자치도군산교육지원청,전북특별자치도교육청,P100000108,2774000,N,0,복식부기,예산세출,82659000,93713000,5870000,16888000,27327000,S130000562,1032211000,66391684.2,P100000001,14,N,군산대성중학교,,
사립,3,전북특별자치도 김제시,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,18000000,복식부기,예산세출,113214000,72679000,4752000,36056000,178227000,S130000686,1119043000,16580333.3,P100000001,14,N,동국대학교사범대학부속금산중학교,,
사립,3,전북특별자치도 김제시,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,0,복식부기,예산세출,136891000,70302000,57284000,139601000,343485000,S130000687,2697368000,10102437.0,P100000001,14,N,금성중학교,,
사립,3,전북특별자치도 김제시,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,0,복식부기,예산세출,125623000,69475000,23840000,127911000,80881000,S130000694,1435546000,7543627.5,P100000001,14,N,덕암중학교,중,3.0
사립,3,전북특별자치도 김제시,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,0,복식부기,예산세출,63379000,61143000,9700000,50726000,24843000,S130000695,1031967000,53989478.3,P100000001,14,N,만경여자중학교,,
사립,3,전북특별자치도 김제시,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,800000,N,0,복식부기,예산세출,79661000,106819000,5600000,49013000,68849000,S130000696,933837000,28285886.4,P100000001,14,N,만경중학교,,
사립,3,전북특별자치도 남원시,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,0,N,0,복식부기,예산세출,121043000,84666000,13380000,54064000,496459000,S130000800,1388059000,15088608.4,P100000001,14,N,용북중학교,,
사립,3,전북특별자치도 부안군,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,0,N,67860000,복식부기,예산세출,102590000,71219000,7700000,60842000,280483000,S130000921,1203305000,15736833.3,P100000001,14,N,백산중학교,,
사립,3,전북특별자치도 부안군,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,83000,N,0,복식부기,예산세출,86715000,79125000,25450000,52358000,32523000,S130000922,957280000,22843222.2,P100000001,14,N,변산서중학교,,
사립,3,전북특별자치도 부안군,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,10000000,N,0,복식부기,예산세출,155807000,82262000,25600000,111084000,299096000,S130000925,3025914000,9919152.4,P100000001,14,N,낭주중학교,,
사립,3,전북특별자치도 부안군,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,0,N,0,복식부기,예산세출,136473000,90427000,10020000,63450000,142696000,S130000927,1706039000,11193255.2,P100000001,14,N,삼남중학교,,
사립,3,전북특별자치도 순창군,전북특별자치도순창교육지원청,전북특별자치도교육청,P100000176,1118000,N,0,복식부기,예산세출,106371000,76141000,12700000,64305000,50179000,S130001005,1386004000,11312120.0,P100000001,14,N,순창북중학교,,
사립,3,전북특별자치도 완주군,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,1000000,N,0,복식부기,예산세출,166321000,69587000,24350000,90921000,170818000,S130001049,1504092000,10237823.2,P100000001,14,N,삼우중학교,,
사립,3,전북특별자치도 완주군,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,1000000,N,0,복식부기,예산세출,78751000,63409000,58180000,110689000,209125000,S130001056,1573606000,21159191.9,P100000001,14,N,전주예술중학교,,
사립,3,전북특별자치도 완주군,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,3000000,N,0,복식부기,예산세출,220709000,70714000,345150000,216190000,1267943000,S130001057,2354870000,15604794.4,P100000001,14,N,화산중학교,중,3.0
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,4000000,N,0,복식부기,예산세출,225769000,101749000,39650000,216255000,82736000,S130001126,3313352000,7903791.7,P100000001,14,N,이리남성여자중학교,,
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,2000000,N,27343000,복식부기,예산세출,203738000,86459000,51710000,233484000,105692000,S130001127,3424541000,8253427.1,P100000001,14,N,남성중학교,,
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,15000000,N,0,복식부기,예산세출,196085000,143312000,20268000,197459000,256835000,S130001135,2982297000,8074694.9,P100000001,14,N,원광여자중학교,중,3.0
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,3000000,N,0,복식부기,예산세출,209247000,79411000,36742000,134694000,397760000,S130001136,2946638000,9263970.8,P100000001,14,N,원광중학교,중,3.0
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,701000,N,7000000,복식부기,예산세출,162744000,87121000,37140000,105185000,42398000,S130001142,2745132000,8978650.7,P100000001,14,N,이리중학교,,
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,2118000,N,0,복식부기,예산세출,163701000,76273000,38348000,259784000,134012000,S130001143,2909722000,8982350.9,P100000001,14,N,이일여자중학교,중,3.0
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,6000000,N,0,복식부기,예산세출,123112000,63547000,10808000,94352000,29986000,S130001144,1575943000,15352806.5,P100000001,14,N,익산중학교,,
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,2008000,N,0,복식부기,예산세출,84332000,63883000,5100000,17572000,31715000,S130001146,1037915000,27011413.0,P100000001,14,N,진경여자중학교,,
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,500000,N,0,복식부기,예산세출,124996000,98356000,8100000,43796000,45580000,S130001148,1413510000,16522266.7,P100000001,14,N,함열여자중학교,,
사립,3,전북특별자치도 익산시,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,2000000,N,70000000,복식부기,예산세출,71923000,98527000,5100000,44483000,31145000,S130001150,1304283000,19374535.7,P100000001,14,N,황등중학교,,
사립,3,전북특별자치도 전주시 완산구,전북특별자치도전주교육지원청,전북특별자치도교육청,P100000246,1000000,N,0,복식부기,예산세출,207056000,93029000,20956000,187000000,133288000,S130001386,1736157000,5356950.5,P100000001,14,N,완산중학교,,
사립,3,전북특별자치도 전주시 완산구,전북특별자치도전주교육지원청,전북특별자치도교육청,P100000246,0,N,0,복식부기,예산세출,344672000,64037000,33625000,158449000,149104000,S130001395,3765756000,7826071.1,P100000001,14,N,전주근영중학교,,
사립,3,전북특별자치도 전주시 완산구,전북특별자치도전주교육지원청,전북특별자치도교육청,P100000246,0,N,25000000,복식부기,예산세출,312369000,82946000,26750000,196100000,154047000,S130001396,4211528000,6364345.6,P100000001,14,N,전주기전중학교,,
사립,3,전북특별자치도 전주시 덕진구,전북특별자치도전주교육지원청,전북특별자치도교육청,P100000246,1000000,N,0,복식부기,예산세출,250780000,80546000,15240000,203699000,412773000,S130001399,3108653000,9090828.1,P100000001,14,N,전주덕진중학교,중,3.0
사립,3,전북특별자치도 전주시 완산구,전북특별자치도전주교육지원청,전북특별자치도교육청,P100000246,1000,N,26000000,복식부기,예산세출,192051000,45425000,23800000,62738000,65199000,S130001403,2302037000,8360772.3,P100000001,14,N,전주성심여자중학교,,
사립,3,전북특별자치도 전주시 완산구,전북특별자치도전주교육지원청,전북특별자치도교육청,P100000246,5000000,N,0,복식부기,예산세출,290559000,98327000,7900000,77739000,251345000,S130001405,2984261000,7837829.1,P100000001,14,N,전주신흥중학교,,
