SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,충청남도 논산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,27000000,8528000,0,512397000,237430000,S120000128,3245269000,N100000001,13,일반고등학교,N,건양대학교병설건양고등학교
고,사립,4,충청남도 공주시,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,15000000,11500000,0,451589000,2000000,S120000133,5068520000,N100000001,13,일반고등학교,N,공주금성여자고등학교
,사립,4,충청남도 공주시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,0,8500000,0,387668000,52364000,S120000137,4651424000,N100000001,13,일반고등학교,N,공주영명고등학교
,사립,4,충청남도 공주시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,12000000,20100000,0,296508000,10000000,S120000138,3218077000,N100000001,13,특성화고등학교,N,공주정보고등학교
,사립,4,충청남도 홍성군,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,0,1350000,0,608297000,6000000,S120000139,2557707000,N100000001,13,특성화고등학교,N,한국K-POP고등학교
,사립,4,충청남도 논산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,11000000,4950000,0,1601598000,30000000,S120000151,5515805000,N100000001,13,일반고등학교,N,논산대건고등학교
고,사립,4,충청남도 논산시,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,23000000,2900000,0,278593000,80000000,S120000153,4844142000,N100000001,13,특성화고등학교,N,논산여자상업고등학교
고,사립,4,충청남도 예산군,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,5000000,2395000,0,272824000,2063000,S120000162,2181932000,N100000001,13,일반고등학교,N,대흥고등학교
,사립,4,충청남도 천안시 동남구,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,23000000,3633000,0,310820000,5800000,S120000168,5453170000,N100000001,13,일반고등학교,N,복자여자고등학교
고,사립,4,충청남도 예산군,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,8000000,8750000,0,376079000,2135000,S120000175,4127459000,N100000001,13,일반고등학교,N,삽교고등학교
,사립,4,충청남도 서산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,14000000,14182000,0,1136955000,90400000,S120000176,6622877000,N100000001,13,일반고등학교,N,서령고등학교
,사립,4,충청남도 당진시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,36000000,4150000,0,130734000,24824000,S120000181,3362484000,N100000001,13,일반고등학교,N,서야고등학교
,사립,4,충청남도 서산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,30000000,5545000,0,385634000,900000,S120000182,4582219000,N100000001,13,일반고등학교,N,서일고등학교
,사립,4,충청남도 서천군,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,5000000,1978000,0,171439000,29763000,S120000186,2818222000,N100000001,13,특성화고등학교,N,서천여자정보고등학교
고,사립,4,충청남도 홍성군,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,14000000,7500000,0,343380000,241685000,S120000187,2839746000,N100000001,13,일반고등학교,N,서해삼육고등학교
고,사립,4,충청남도 당진시,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,20500000,5280000,0,187294000,4740000,S120000190,3909565000,N100000001,13,일반고등학교,N,송악고등학교
고,사립,4,충청남도 당진시,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,0,8300000,0,488625000,106326000,S120000191,4594685000,N100000001,13,일반고등학교,N,신평고등학교
고,사립,4,충청남도 논산시,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,2500000,5000000,0,596018000,64613000,S120000193,4189539000,N100000001,13,일반고등학교,N,쌘뽈여자고등학교
,사립,4,충청남도 아산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,100000000,5992000,0,513227000,128878000,S120000194,7253872000,N100000001,13,일반고등학교,N,아산고등학교
,사립,4,충청남도 논산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,30000000,7025000,0,1049588000,102799000,S120000197,4906057000,N100000001,13,일반고등학교,N,연무고등학교
,사립,4,충청남도 예산군,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,85000000,7600000,0,1132242000,27070000,S120000206,5691446000,N100000001,13,일반고등학교,N,예산고등학교
,사립,4,충청남도 예산군,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,0,17700000,0,318090000,23110000,S120000209,4230465000,N100000001,13,일반고등학교,N,예산예화여자고등학교
,사립,4,충청남도 아산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,10000000,18800000,0,201199000,64321000,S120000217,6890615000,N100000001,13,일반고등학교,N,한올고등학교
,사립,4,충청남도 서천군,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,30000000,1960000,0,199615000,4058000,S120000226,2860136000,N100000001,13,일반고등학교,N,장항고등학교
고,사립,4,충청남도 천안시 서북구,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,5000000,16600000,0,61020000,8500000,S120000237,8055164000,N100000001,13,특성화고등학교,N,천안상업고등학교
,사립,4,충청남도 천안시 동남구,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,1000000,25400000,0,507024000,250510000,S120000238,6947799000,N100000001,13,일반고등학교,N,천안고등학교
고,사립,4,충청남도 천안시 동남구,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,0,94615000,0,9717479000,7121411000,S120000241,0,N100000001,13,자율고등학교,N,북일고등학교
,사립,4,충청남도 천안시 동남구,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,0,30760000,0,1276620000,909000000,S120000242,5328880000,N100000001,13,일반고등학교,N,북일여자고등학교
고,사립,4,충청남도 천안시 동남구,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,75000000,30000000,0,250296000,211534000,S120000245,7987024000,N100000001,13,특성화고등학교,N,천안여자상업고등학교
고,사립,4,충청남도 태안군,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,20000000,6437000,0,602340000,18206000,S120000260,6292207000,N100000001,13,일반고등학교,N,태안여자고등학교
,사립,4,충청남도 공주시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,25000000,58420000,0,2651142000,13942000,S120000264,4185438000,N100000001,13,일반고등학교,N,한일고등학교
,사립,4,충청남도 당진시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,12000000,19012000,0,361500000,38500000,S120000269,6298317000,N100000001,13,일반고등학교,N,호서고등학교
,사립,4,충청남도 홍성군,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,15000000,9600000,0,564871000,65965000,S120000276,5596031000,N100000001,13,일반고등학교,N,홍주고등학교
,사립,4,충청남도 천안시 동남구,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,2900000,2310000,0,101818000,1000000,S120002527,1625810000,N100000001,13,특성화고등학교,N,한마음고등학교
고,사립,4,충청남도 서천군,4.0,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,12000000,560000,0,586763000,3000000,S120002528,1981108000,N100000001,13,특성화고등학교,N,비전고등학교
,사립,4,충청남도 아산시,,충청남도교육청,충청남도교육청,N100000001,N,복식부기,예산세입,0,20202000,0,7255287000,11435748000,S120002870,0,N100000001,13,자율고등학교,N,충남삼성고등학교
