FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,2482010,N,1619086750,복식부기,결산세출,225119680,131495070,50012080,85414530,161250942,S120000277,808222720,77077094.6,N100000001,13,N,경천중학교,중,3.0
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,63410840,N,2551785580,미지정,결산세출,144141490,207674130,58329770,194902540,340390210,S120000278,1892373630,23204290.2,N100000001,13,N,공주북중학교,,
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,252270,N,979379890,복식부기,결산세출,221108120,107468650,20668920,215483240,105769210,S120000280,1479150820,19681013.3,N100000001,13,N,공주영명중학교,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,2168340,N,190900000,복식부기,결산세출,115351260,118528200,49948640,157769160,118041760,S120000423,1084124150,14129473.2,N100000001,13,N,건양대학교병설건양중학교,중,3.0
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,665390,N,1642458800,복식부기,결산세출,159844300,231770710,88038080,143918160,365812740,S120000425,2043548300,14256269.8,N100000001,13,N,기민중학교,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,3346200,N,209942090,복식부기,결산세출,189566800,216876940,15313830,122534900,149830400,S120000427,1705451030,8510951.8,N100000001,13,N,논산대건중학교,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,4700810,N,0,미지정,결산세출,162996900,364023660,29878000,117349740,227482630,S120000432,2072123250,7817729.6,N100000001,13,N,쌘뽈여자중학교,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,9639470,N,26860000,복식부기,결산세출,203916600,331090010,84412020,375229890,100954220,S120000436,1434029080,15094889.9,N100000001,13,N,연무여자중학교,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,102018630,복식부기,결산세출,209037400,379863900,136098230,118761180,385427430,S120000505,1569096060,12034451.6,N100000001,13,N,백제중학교,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,38000000,복식부기,결산세출,131265680,75000030,196917640,55753230,83977650,S120000511,756675880,27297757.3,N100000001,13,N,외산중학교,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,121896180,복식부기,결산세출,115785370,109045290,67573260,91468080,101821610,S120000512,774727530,29411006.8,N100000001,13,N,용강중학교,중,3.0
사립,3,충청남도 아산시,충청남도아산교육지원청,충청남도교육청,N100000066,1259370,N,229667820,복식부기,결산세출,233246130,197307520,90194920,118357730,257855010,S120000580,1533905710,16132086.1,N100000001,13,N,둔포중학교,,
사립,3,충청남도 아산시,충청남도아산교육지원청,충청남도교육청,N100000066,1414380,N,172227000,복식부기,결산세출,251350690,502270990,336738010,219845970,366468840,S120000585,4016562250,6853829.6,N100000001,13,N,아산중학교,중,3.0
사립,3,충청남도 아산시,충청남도아산교육지원청,충청남도교육청,N100000066,534420,N,362730000,복식부기,결산세출,477349330,381695070,222212440,279709450,303861070,S120000590,3843341250,7860017.4,N100000001,13,N,한올중학교,,
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,126030,N,44976000,복식부기,결산세출,100357000,129728520,146562870,92108940,119797900,S120000683,877329370,55962467.8,N100000001,13,N,광시중학교,중,3.0
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,1329420,N,28526030,복식부기,결산세출,128569230,304246410,68815520,143345400,370810170,S120000685,1127201380,18571312.5,N100000001,13,N,대흥중학교,,
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,537160,N,1149667000,복식부기,결산세출,181740710,237483920,68104040,299385480,95603160,S120000689,807707360,78895245.3,N100000001,13,N,신양중학교,,
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,432430,N,298224000,복식부기,결산세출,132186770,106154320,87941140,73284020,95397560,S120000692,848782750,46925799.7,N100000001,13,N,임성중학교,,
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,2947710,N,223850000,복식부기,결산세출,313363253,298315980,158922380,196949860,221593160,S120000735,3149979090,8647578.5,N100000001,13,N,천안계광중학교,중,3.0
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,131020,N,1064720760,복식부기,결산세출,155307990,90820530,46802130,71820420,244127160,S120000736,1342913950,16852759.6,N100000001,13,N,광풍중학교,중,3.0
사립,3,충청남도 천안시 서북구,충청남도천안교육지원청,충청남도교육청,N100000079,645750,N,816974100,복식부기,결산세출,249275880,441154130,97088170,172831230,389780790,S120000737,2624451800,14053377.9,N100000001,13,N,천안동성중학교,,
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,287790,N,0,복식부기,결산세출,184659570,193675090,39402330,199094600,201540540,S120000740,2489255320,6550327.2,N100000001,13,N,복자여자중학교,중,3.0
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,352700,N,5588000,복식부기,결산세출,316519630,331018200,151770100,125440470,446524190,S120000745,2757564250,8404019.4,N100000001,13,N,천성중학교,,
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,1652860,N,67394770,복식부기,결산세출,280816210,407614570,179302320,156793120,245973840,S120000751,3198205630,10960756.8,N100000001,13,N,천안서여자중학교,,
사립,3,충청남도 청양군,충청남도청양교육지원청,충청남도교육청,N100000086,34058920,N,438341850,복식부기,결산세출,85113525,96967930,65596500,49720520,104398460,S120000822,675008215,103280394.7,N100000001,13,N,동영중학교,,
사립,3,충청남도 청양군,충청남도청양교육지원청,충청남도교육청,N100000086,7495950,N,446503130,복식부기,결산세출,186535850,211995640,68526860,211270030,180453330,S120000826,1142083250,54552534.2,N100000001,13,N,청신여자중학교,,
사립,3,충청남도 당진시,충청남도당진교육지원청,충청남도교육청,N100000090,485900,N,99363240,복식부기,결산세출,144211720,82897330,163388820,112311790,66754170,S120000874,1328029780,16927480.9,N100000001,13,N,서야중학교,,
사립,3,충청남도 당진시,충청남도당진교육지원청,충청남도교육청,N100000090,6476020,N,1057988450,복식부기,결산세출,215573550,210440560,24781720,126270890,235226510,S120000875,1709610280,27801302.2,N100000001,13,N,석문중학교,,
사립,3,충청남도 당진시,충청남도당진교육지원청,충청남도교육청,N100000090,1671580,N,4745081440,복식부기,결산세출,293538760,248585600,85985000,183660320,447510280,S120000877,2948395690,12266340.6,N100000001,13,N,송악중학교,,
사립,3,충청남도 당진시,충청남도당진교육지원청,충청남도교육청,N100000090,15781400,N,2474201540,복식부기,결산세출,307762730,490317510,565863810,222816040,232858590,S120000879,3442293050,11962800.4,N100000001,13,N,신평중학교,중,3.0
사립,3,충청남도 당진시,충청남도당진교육지원청,충청남도교육청,N100000090,11322250,N,816112000,복식부기,결산세출,325534730,291032180,55637740,203223170,507859710,S120000882,3045057910,9402110.4,N100000001,13,N,호서중학교,,
사립,3,충청남도 서산시,충청남도서산교육지원청,충청남도교육청,N100000094,1508870,N,970301830,미지정,결산세출,265095442,250932880,56100000,314849130,295073370,S120000930,1794448958,23785002.9,N100000001,13,N,대산중학교,,
사립,3,충청남도 서산시,충청남도서산교육지원청,충청남도교육청,N100000094,992200,N,139852250,복식부기,결산세출,227038700,480444740,59276000,163869690,197713650,S120000931,1405631330,25474462.5,N100000001,13,N,대철중학교,중,3.0
사립,3,충청남도 서산시,충청남도서산교육지원청,충청남도교육청,N100000094,2742040,N,745620240,복식부기,결산세출,360466860,126202500,231692720,279098430,473563790,S120000933,2524069370,9986223.1,N100000001,13,N,서령중학교,중,3.0
사립,3,충청남도 서산시,충청남도서산교육지원청,충청남도교육청,N100000094,8832780,N,564371840,복식부기,결산세출,161245420,215852940,63806120,173369350,108171550,S120000938,1425475690,12539749.7,N100000001,13,N,서일중학교,중,3.0
사립,3,충청남도 서산시,충청남도서산교육지원청,충청남도교육청,N100000094,4485500,N,581468990,복식부기,결산세출,229126760,259119420,97719420,124072180,276904970,S120000943,1309466190,18962917.3,N100000001,13,N,팔봉중학교,중,3.0
사립,3,충청남도 서천군,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,564443700,복식부기,결산세출,282464510,259763140,87318650,169151910,403826670,S120000998,715079040,44322278.9,N100000001,13,N,동강중학교,중,3.0
사립,3,충청남도 서천군,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,148560670,복식부기,결산세출,93076580,264936480,40115600,69047840,55174690,S120001000,923326920,22142205.3,N100000001,13,N,서림여자중학교,중,3.0
사립,3,충청남도 서천군,충청남도서천교육지원청,충청남도교육청,N100000099,994490,N,588843000,복식부기,결산세출,128001450,281146310,57451150,107294150,115767450,S120001008,816269370,48738776.0,N100000001,13,N,판교중학교,,
사립,3,충청남도 보령시,충청남도보령교육지원청,충청남도교육청,N100000103,134950,N,240477550,복식부기,결산세출,214079870,358682310,132378860,252980860,637235630,S120001054,2216871750,11747367.5,N100000001,13,N,대명중학교,,
사립,3,충청남도 홍성군,충청남도홍성교육지원청,충청남도교육청,N100000113,600950,N,87797190,복식부기,결산세출,88383990,142218260,41398000,182292760,222078770,S120001202,760746290,17140631.6,N100000001,13,N,서해삼육중학교,중,3.0
사립,3,충청남도 홍성군,충청남도홍성교육지원청,충청남도교육청,N100000113,1638170,N,1844006180,복식부기,결산세출,159658770,591800420,49220150,137466960,294287270,S120001208,2261460180,19001914.9,N100000001,13,N,홍주중학교,중,3.0
