FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,2000000,N,0,복식부기,결산세출,183948500,661090480,33758520,126296340,181297080,S120000277,797945790,42262483.2,N100000001,13,N,경천중학교,중,3.0,
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,3921840,N,18487090,복식부기,결산세출,171302310,430452380,20522320,210951110,295861640,S120000278,2111162960,14002839.7,N100000001,13,N,공주북중학교,,,
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,990110,N,1507928250,미지정,결산세출,258334090,38465760,56540190,269375460,96478790,S120000280,1319402000,25159678.4,N100000001,13,N,공주영명중학교,,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,17750180,N,1038880040,미지정,결산세출,115606530,246047870,48437340,204818710,127986800,S120000423,1165972160,26716212.9,N100000001,13,N,건양대학교병설건양중학교,중,3.0,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,2030080,N,539752470,복식부기,결산세출,158474510,331172340,118028100,333580820,492298980,S120000425,2248936120,14080911.4,N100000001,13,N,기민중학교,,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,40484890,N,195028800,복식부기,결산세출,176882010,693880370,79250000,146726980,166125420,S120000427,1765916490,10954009.9,N100000001,13,N,논산대건중학교,,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,946760,N,80992590,복식부기,결산세출,188940690,436437060,28408740,200609430,223245220,S120000432,2255539660,9082766.4,N100000001,13,N,쌘뽈여자중학교,,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,1773450,N,847491900,복식부기,결산세출,193508860,455665690,63818090,383225690,114026690,S120000436,1374777140,21874442.7,N100000001,13,N,연무여자중학교,,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,521470,N,196227790,미지정,결산세출,275884840,481256190,106397830,201053150,415113550,S120000505,1680524000,13536204.9,N100000001,13,N,백제중학교,,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,1016670,N,411367530,미지정,결산세출,135399690,82241890,279879970,76368460,92107340,S120000511,779459950,48890565.8,N100000001,13,N,외산중학교,,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,939850,N,83125100,미지정,결산세출,126813500,103868910,66718930,70892390,142401830,S120000512,877251400,35047902.6,N100000001,13,N,용강중학교,중,3.0,
사립,3,충청남도 아산시,충청남도아산교육지원청,충청남도교육청,N100000066,728950,N,591310010,복식부기,결산세출,204510250,341916150,66770480,232778980,262436510,S120000580,1513229410,21424538.3,N100000001,13,N,둔포중학교,,,
