FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,예산세입,10000000,200000,0,24509000,8309000,S120000277,1374544000,N100000001,13,N,경천중학교,중,3.0
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,예산세입,25600000,9500000,0,102706000,2000000,S120000278,2520504000,N100000001,13,N,공주북중학교,,
사립,3,충청남도 공주시,충청남도공주교육지원청,충청남도교육청,N100000049,N,복식부기,예산세입,4500000,2192000,0,106384000,15000000,S120000280,1799788000,N100000001,13,N,공주영명중학교,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,예산세입,0,2900000,0,78024000,61654000,S120000423,1278964000,N100000001,13,N,건양대학교병설건양중학교,중,3.0
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,예산세입,0,4700000,0,117097000,2700000,S120000425,2531306000,N100000001,13,N,기민중학교,중,3.0
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,예산세입,8000000,4050000,0,142458000,10000000,S120000427,2483546000,N100000001,13,N,논산대건중학교,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,예산세입,501000,6200000,0,110380000,12000000,S120000432,2768429000,N100000001,13,N,쌘뽈여자중학교,,
사립,3,충청남도 논산시,충청남도논산계룡교육지원청,충청남도교육청,N100000058,N,복식부기,예산세입,0,0,0,76895000,0,S120000436,1716892000,N100000001,13,N,연무여자중학교,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,예산세입,6500000,11995000,0,129594000,4653000,S120000505,2907379000,N100000001,13,N,백제중학교,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,예산세입,6000000,400000,0,173320000,1600000,S120000511,1162204000,N100000001,13,N,외산중학교,,
사립,3,충청남도 부여군,충청남도부여교육지원청,충청남도교육청,N100000062,N,복식부기,예산세입,11000000,1650000,0,15303000,14500000,S120000512,1261297000,N100000001,13,N,용강중학교,중,3.0
사립,3,충청남도 아산시,충청남도아산교육지원청,충청남도교육청,N100000066,N,복식부기,예산세입,11150000,5500000,0,31197000,120624000,S120000580,2453757000,N100000001,13,N,둔포중학교,,
사립,3,충청남도 아산시,충청남도아산교육지원청,충청남도교육청,N100000066,N,복식부기,예산세입,21100000,15900000,0,157026000,178900000,S120000585,5057137000,N100000001,13,N,아산중학교,중,3.0
사립,3,충청남도 아산시,충청남도아산교육지원청,충청남도교육청,N100000066,N,복식부기,예산세입,0,14100000,0,241383000,5000000,S120000590,4860493000,N100000001,13,N,한올중학교,중,3.0
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,예산세입,4000000,600000,0,15315000,1200000,S120000683,1173049000,N100000001,13,N,광시중학교,중,3.0
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,예산세입,3000000,6200000,0,226120000,1200000,S120000685,2005331000,N100000001,13,N,대흥중학교,,
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,예산세입,2700000,1800000,0,19051000,2700000,S120000689,1452343000,N100000001,13,N,신양중학교,,
사립,3,충청남도 예산군,충청남도예산교육지원청,충청남도교육청,N100000075,N,복식부기,예산세입,5500000,2676000,0,46420000,2859000,S120000692,1167294000,N100000001,13,N,임성중학교,,
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,예산세입,0,52672000,0,35040000,90000000,S120000735,3913428000,N100000001,13,N,천안계광중학교,중,3.0
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,예산세입,6000000,19373000,0,97721000,11101000,S120000736,2457574000,N100000001,13,N,광풍중학교,중,3.0
사립,3,충청남도 천안시 서북구,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,예산세입,800000,5000000,0,40285000,9000000,S120000737,3142535000,N100000001,13,N,천안동성중학교,,
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,예산세입,8000000,8020000,0,226943000,7682000,S120000740,3258348000,N100000001,13,N,복자여자중학교,중,3.0
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,예산세입,2000000,4900000,0,209060000,5800000,S120000745,4044571000,N100000001,13,N,천성중학교,,
사립,3,충청남도 천안시 동남구,충청남도천안교육지원청,충청남도교육청,N100000079,N,복식부기,예산세입,13000000,26371000,0,113679000,100279000,S120000751,4074389000,N100000001,13,N,천안서여자중학교,,
사립,3,충청남도 청양군,충청남도청양교육지원청,충청남도교육청,N100000086,N,복식부기,예산세입,6000000,750000,0,10450000,4920000,S120000822,986768000,N100000001,13,N,동영중학교,,
사립,3,충청남도 청양군,충청남도청양교육지원청,충청남도교육청,N100000086,N,복식부기,예산세입,8830000,2558000,0,19716000,11600000,S120000826,1584929000,N100000001,13,N,청신여자중학교,,
