SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,충청북도 청주시 상당구,,충청북도교육청,충청북도교육청,M100000001,10000000,N,0,복식부기,예산세출,356212000,329866000,217074000,411783000,886133000,S110000141,4880219000,11220390.8,M100000001,12,특성화고등학교,N,대성여자상업고등학교
고,사립,4,충청북도 충주시,4.0,충청북도교육청,충청북도교육청,M100000001,9500000,N,829594000,복식부기,예산세출,349880000,159890000,270513000,471612000,1184337000,S110000143,4292641000,12325679.2,M100000001,12,일반고등학교,N,충주대원고등학교
,사립,4,충청북도 음성군,,충청북도교육청,충청북도교육청,M100000001,10000000,N,0,복식부기,예산세출,311095000,115277000,50496000,89346000,799046000,S110000144,3537390000,14752702.7,M100000001,12,일반고등학교,N,매괴고등학교
고,사립,4,충청북도 보은군,4.0,충청북도교육청,충청북도교육청,M100000001,18500000,N,10000000,복식부기,예산세출,233510000,96341000,42176000,182452000,610289000,S110000151,2227353000,13792826.6,M100000001,12,일반고등학교,N,보은고등학교
고,사립,4,충청북도 청주시 서원구,4.0,충청북도교육청,충청북도교육청,M100000001,0,N,0,복식부기,예산세출,329005000,172411000,624671000,307619000,1667622000,S110000161,4707802000,10510269.2,M100000001,12,일반고등학교,N,세광고등학교
,사립,4,충청북도 제천시,,충청북도교육청,충청북도교육청,M100000001,5010000,N,0,복식부기,예산세출,346676000,233436000,107506000,207151000,861497000,S110000162,4281704000,11295289.7,M100000001,12,일반고등학교,N,세명고등학교
고,사립,4,충청북도 청주시 청원구,4.0,충청북도교육청,충청북도교육청,M100000001,15351000,N,0,복식부기,예산세출,518952000,115632000,283235000,312547000,1307161000,S110000164,4547680000,9367490.8,M100000001,12,일반고등학교,N,청주신흥고등학교
,사립,4,충청북도 청주시 흥덕구,,충청북도교육청,충청북도교육청,M100000001,15000000,N,0,복식부기,예산세출,183524000,97632000,5960000,159755000,649927000,S110000167,1587508000,22875474.6,M100000001,12,특성화고등학교,N,양업고등학교
,사립,4,충청북도 영동군,,충청북도교육청,충청북도교육청,M100000001,10000000,N,44405000,복식부기,예산세출,483183000,53737000,84800000,144119000,318825000,S110000173,2064906000,13518881.9,M100000001,12,특성화고등학교,N,영동미래고등학교
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,17000000,N,0,복식부기,예산세출,406550000,264368000,212040000,269246000,1156596000,S110000181,4718700000,9330463.6,M100000001,12,일반고등학교,N,운호고등학교
