SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,충청북도 청주시 상당구,,충청북도교육청,충청북도교육청,M100000001,10000000,N,0,복식부기,예산세출,386605000,413268000,230556000,333442000,942421000,S110000141,4973784000,11682814.1,M100000001,12,특성화고등학교,N,대성여자상업고등학교,
고,사립,4,충청북도 충주시,4.0,충청북도교육청,충청북도교육청,M100000001,7446000,N,143698000,복식부기,예산세출,365752000,207965000,78384000,537706000,1269559000,S110000143,4333656000,11421325.7,M100000001,12,일반고등학교,N,충주대원고등학교,
,사립,4,충청북도 음성군,,충청북도교육청,충청북도교육청,M100000001,10000000,N,0,복식부기,예산세출,323490000,207815000,80660000,264475000,1030894000,S110000144,2989281000,15285405.0,M100000001,12,일반고등학교,N,매괴고등학교,
고,사립,4,충청북도 보은군,4.0,충청북도교육청,충청북도교육청,M100000001,15500000,N,40214000,복식부기,예산세출,283202000,110798000,44248000,208789000,689813000,S110000151,2239688000,14244125.5,M100000001,12,일반고등학교,N,보은고등학교,
고,사립,4,충청북도 청주시 서원구,4.0,충청북도교육청,충청북도교육청,M100000001,0,N,0,복식부기,예산세출,496107000,176346000,641616000,866548000,1593743000,S110000161,4765297000,11493481.8,M100000001,12,일반고등학교,N,세광고등학교,
,사립,4,충청북도 제천시,,충청북도교육청,충청북도교육청,M100000001,5010000,N,0,복식부기,예산세출,384046000,413064000,133838000,373604000,873306000,S110000162,3969484000,11877127.4,M100000001,12,일반고등학교,N,세명고등학교,
고,사립,4,충청북도 청주시 청원구,4.0,충청북도교육청,충청북도교육청,M100000001,49982000,N,3741389000,복식부기,예산세출,605579000,111245000,116646000,508103000,1514929000,S110000164,4496488000,14379820.6,M100000001,12,일반고등학교,N,청주신흥고등학교,
,사립,4,충청북도 청주시 흥덕구,,충청북도교육청,충청북도교육청,M100000001,15000000,N,0,복식부기,예산세출,209378000,96800000,14656000,217525000,689043000,S110000167,1691947000,24867364.4,M100000001,12,특성화고등학교,N,양업고등학교,
,사립,4,충청북도 영동군,,충청북도교육청,충청북도교육청,M100000001,10000000,N,3492250000,복식부기,예산세출,513211000,89596000,44526000,283976000,366218000,S110000173,2013780000,29368780.2,M100000001,12,특성화고등학교,N,영동미래고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,23000000,N,0,복식부기,예산세출,439762000,277480000,192281000,510753000,1270132000,S110000181,4734309000,9903879.0,M100000001,12,일반고등학교,N,운호고등학교,
고,사립,4,충청북도 청주시 상당구,4.0,충청북도교육청,충청북도교육청,M100000001,1012000,N,80000000,복식부기,예산세출,588556000,159534000,230174000,624287000,1435794000,S110000187,4846545000,9655638.8,M100000001,12,일반고등학교,N,일신여자고등학교,
,사립,4,충청북도 충주시,,충청북도교육청,충청북도교육청,M100000001,6500000,N,20000000,복식부기,예산세출,431101000,345624000,88456000,536970000,996843000,S110000198,3345580000,12968705.6,M100000001,12,일반고등학교,N,충주중산고등학교,
고,사립,4,충청북도 청주시 상당구,4.0,충청북도교육청,충청북도교육청,M100000001,20000000,N,0,복식부기,예산세출,428902000,377063000,209460000,388655000,1661673000,S110000211,4263957000,9683412.4,M100000001,12,일반고등학교,N,청석고등학교,
,사립,4,충청북도 청주시 청원구,,충청북도교육청,충청북도교육청,M100000001,10000000,N,0,복식부기,예산세출,451867000,255201000,242423000,375015000,1557432000,S110000217,4585856000,9930669.3,M100000001,12,일반고등학교,N,청주대성고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,8000000,N,0,복식부기,예산세출,578909000,183096000,79588000,340091000,613050000,S110000223,3984522000,11129338.5,M100000001,12,특성화고등학교,N,청주여자상업고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,25314000,N,134370000,복식부기,예산세출,463250000,289848000,41552000,481210000,1237712000,S110000235,4588972000,9670077.2,M100000001,12,일반고등학교,N,충북여자고등학교,
고,사립,4,충청북도 충주시,4.0,충청북도교육청,충청북도교육청,M100000001,500000,N,0,복식부기,예산세출,210561000,172702000,36818000,217852000,739583000,S110000241,1961752000,15320036.7,M100000001,12,일반고등학교,N,충원고등학교,
,사립,4,충청북도 충주시,,충청북도교육청,충청북도교육청,M100000001,19100000,N,0,복식부기,예산세출,432868000,183943000,287184000,465559000,650645000,S110000246,4166245000,13945042.7,M100000001,12,특성화고등학교,N,충주상업고등학교,
,사립,4,충청북도 충주시,,충청북도교육청,충청북도교육청,M100000001,10200000,N,100000000,복식부기,예산세출,270450000,209704000,205840000,422182000,1031463000,S110000249,3967690000,12714783.2,M100000001,12,특성화고등학교,N,한림디자인고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,700000,N,0,복식부기,예산세출,310800000,248798000,84534000,252496000,576471000,S110000257,3625532000,11942227.2,M100000001,12,특성화고등학교,N,청주IT과학고등학교,
,사립,4,충청북도 증평군,,충청북도교육청,충청북도교육청,M100000001,2000,N,0,복식부기,예산세출,320633000,141810000,86574000,199012000,1062310000,S110000258,2414823000,12842443.8,M100000001,12,일반고등학교,N,형석고등학교,
